ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-560.6875,546.9031,1498.3651,116
2,2,-1470.0355,382.684,-2171.6396,-96
3,3,-1144.2448,382.684,-1733.941,0
4,3,-663.62305,382.684,-1411.2712,0
5,3,-1031.4519,382.684,-601.70795,0
6,3,-1061.7578,382.684,77.43785,0
7,3,-74.2526,382.684,-73.741486,0
8,3,-78.0661,427.1307,-952.7837,0
9,3,491.6069,427.1307,-1341.308,0
10,3,200.21112,382.684,396.48172,0
11,3,1094.9124,446.8333,103.97351,0
12,3,1707.8159,469.9118,286.13458,0
13,3,1141.2457,546.9031,1139.0928,0
14,3,342.36954,546.9031,1141.765,0
15,3,-376.5676,546.9031,1302.4535,0
16,4,-165.52855,546.9031,1501.1936,-84
17,5,-174.21167,382.69498,-205.1203,0
18,6,-6.034502,382.684,-138.58542,-124
19,7,-53.000454,546.9031,1594.1204,0
20,8,5.860531,546.9031,1596.7488,-115
21,9,90.37851,382.684,-214.38477,-16
22,10,-271.48663,382.684,-311.04712,0
23,11,148.38756,382.684,-199.57822,-137
24,12,43.940468,382.684,-185.79521,-83
25,12,127.09949,382.684,-207.8566,-109
26,13,676.2576,546.9031,1285.7152,-55
27,14,687.7766,546.9031,1288.692,0
28,15,-705.6685,382.684,-1357.2896,0
29,16,1030.0037,546.9031,1347.1879,0
30,17,-1078.6924,382.684,585.95465,0
31,18,-870.40125,382.684,356.5185,0
32,19,1638.6409,469.9118,239.7801,0
33,20,-260.21793,382.68402,19.695793,-45
34,21,110.88483,427.1307,-1274.9713,0
35,22,-1064.9747,382.684,-1196.9468,0
36,22,-1047.0796,382.684,-1415.1681,0
37,22,-728.2459,382.684,-1461.8585,0
38,22,-837.91876,382.684,-1620.617,0
39,22,-997.13635,382.684,-1722.4812,0
40,22,-1119.7991,382.684,-1584.1976,0
41,22,-1004.8463,382.684,-1572.5929,0
42,22,-890.0158,382.684,-1364.2068,0
43,22,-1110.4979,382.684,-957.7657,0
44,22,-948.3428,382.684,-21.682318,0
45,22,-810.7551,382.684,129.00858,0
46,22,-896.43964,382.684,244.90471,0
47,22,-660.7233,382.684,427.8282,0
48,22,-713.2485,382.684,326.98486,0
49,22,-813.2202,382.684,422.36755,0
50,22,-989.54675,382.684,497.3472,0
51,22,-681.31824,382.684,695.79,0
52,22,-716.3368,382.684,538.5299,0
53,22,-1074.6682,382.684,-1296.6493,0
54,22,-790.14624,382.684,-1479.726,0
55,22,-1044.85,382.684,-429.19196,0
56,22,-1057.7487,382.684,-719.9316,0
57,23,1454.2924,469.9118,-30.316,0
58,23,1580.1744,469.9118,-60.79458,0
59,23,1506.5524,469.9118,78.503586,0
60,23,1647.0753,469.9118,54.275986,0
61,23,1551.0742,469.9118,187.60466,0
62,23,1602.8801,469.9118,386.71484,0
63,23,1657.5839,469.9118,470.38962,0
64,23,1445.1567,469.9118,474.76657,0
65,23,1509.4004,469.9118,603.6205,0
66,23,1803.0052,469.9118,156.75127,0
67,23,1452.1902,469.9118,261.75873,0
68,23,1269.2231,469.17056,28.788645,0
69,23,1244.9131,463.05234,178.28185,0
70,23,1077.5574,455.19083,178.93286,0
71,23,1033.4127,435.71262,11.223513,0
72,23,930.23145,432.3869,-62.193974,0
73,23,884.24414,424.72244,75.09412,0
74,23,1442.3457,469.9118,-117.69217,0
75,24,45.57094,382.684,559.1171,0
76,24,186.33731,382.684,494.5317,0
77,24,118.24187,382.684,599.6589,0
78,24,245.91304,382.684,679.89996,0
79,24,288.62653,382.684,570.93744,0
80,24,431.6938,382.684,533.6655,0
81,24,494.88992,382.684,364.36633,0
82,24,486.47498,382.684,248.34254,0
83,24,519.0302,382.684,159.1358,0
84,24,424.35242,382.684,281.6182,0
85,24,470.61252,382.684,645.14026,0
86,24,454.25555,382.684,803.6054,0
87,24,231.3844,382.684,757.0397,0
88,24,-9.032734,382.684,697.5576,0
89,24,225.17635,427.1307,-1238.8844,0
90,24,102.8041,427.1307,-1340.2507,0
91,24,408.11935,427.1307,-1346.3904,0
92,24,525.7113,427.1307,-1093.2224,0
93,24,375.5073,427.1307,-979.92944,0
94,24,-57.09842,427.1307,-1018.6332,0
95,24,189.6932,427.13068,-973.5131,0
96,24,463.18994,427.1307,-1244.9814,0
97,24,591.23444,427.1307,-927.9112,0
98,24,404.7926,427.1307,-825.82465,0
99,21,1034.5459,546.9031,1040.7234,0
100,21,312.4499,546.9031,1044.6622,0
101,23,835.0647,546.9031,1000.4085,0
102,23,925.0902,546.9031,1147.7355,0
103,23,1009.0162,546.9031,1025.5504,0
104,23,1157.6102,546.9031,945.00464,0
105,23,1129.5304,546.9031,808.7879,0
106,23,1242.8503,546.9031,780.35236,0
107,23,1256.3175,546.9031,1042.7501,0
108,23,1127.3073,546.9031,1156.026,0
109,25,1075.122,546.9031,1019.3548,0
110,25,-120.18462,546.9031,1024.1465,0
111,24,8.496807,426.48746,-865.0793,0
112,21,447.87494,427.1307,-1027.5662,0
113,22,-1268.501,382.684,-1634.4441,0
114,22,-1276.816,382.684,-1799.0265,0
115,22,-1190.1528,382.684,-1654.562,0
116,23,1676.0386,469.9118,222.54822,0
117,23,1759.3773,469.9118,296.22116,0
118,26,234,546,1479,0
