ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,2378.3882,347.7849,184.85239,34,마나하스
2,2,-2314.7666,289.16714,-647.9147,-105,필그림 들길
3,3,-85.97439,347.78494,1318.946,89,제단로
4,4,-1009.3834,201.76793,-2132.183,0,나무뿌리 수정
5,4,-379.29855,247.1036,-1661.1545,0,나무뿌리 수정
6,4,-84.85939,347.7849,-789.94714,0,나무뿌리 수정
7,4,-894.70056,316.85553,-136.61125,0,나무뿌리 수정
8,4,-1798.5159,304.4291,-317.35815,0,나무뿌리 수정
9,4,265.33597,347.7849,-364.38242,0,나무뿌리 수정
10,4,-25.522402,347.7849,990.8072,0,나무뿌리 수정
11,4,-1218.1726,326.99506,480.82623,0,나무뿌리 수정
12,4,-1236.7085,384.47244,901.5762,0,나무뿌리 수정
13,4,983.09674,486.259,1409.8427,0,나무뿌리 수정
14,4,1688.4888,347.7849,-50.24346,0,나무뿌리 수정
15,4,2065.7778,307.4815,-1313.1234,0,나무뿌리 수정
16,4,1193.0577,347.7849,31.586166,0,나무뿌리 수정
17,5,1423.411,348.6612,-424.82678,-110,안타나스
18,6,-265.89816,347.78494,1170.7515,-56,기에드라
19,7,-1192.1897,201.76793,-2044.803,-58,케스타스
20,8,1397.9355,349.11652,-450.16748,-97,UnvisibleName
21,9,1705.94,347.78494,3.416233,0,UnvisibleName
22,9,1392.1522,347.78494,280.6484,0,UnvisibleName
23,9,1757.5548,347.7849,237.33308,0,UnvisibleName
24,9,1977.9004,307.4815,-1060.2584,0,UnvisibleName
25,9,1713.5747,307.4815,-1288.6501,0,UnvisibleName
26,9,2092.2888,307.48154,-1648.7103,0,UnvisibleName
27,9,2222.2825,307.4815,-1401.4977,0,UnvisibleName
28,9,2581.963,307.4815,-1185.307,0,UnvisibleName
29,9,2220.0757,347.7849,-237.54509,0,UnvisibleName
30,10,-1087.7933,201.76791,-2408.89,0,베카라베
31,10,-943.9082,201.76788,-2567.75,0,베카라베
32,10,-1024.1394,201.76788,-2577.1414,0,베카라베
33,10,-879.3451,201.76788,-2684.4805,0,베카라베
34,10,-777.0493,201.7679,-2567.9678,0,베카라베
35,10,-639.7716,201.7679,-2514.307,0,베카라베
36,10,-952.1457,201.76793,-2309.4766,0,베카라베
37,10,-967.67615,201.76793,-2170.7712,0,베카라베
38,10,-881.4822,201.76794,-2094.028,0,베카라베
39,10,-744.2153,201.7679,-2420.3274,0,베카라베
40,10,-715.8692,201.76793,-2114.5417,0,베카라베
41,10,-783.9944,201.76793,-2309.8801,0,베카라베
42,10,-564.53674,201.76793,-2314.5857,0,베카라베
43,10,-652.2747,201.76791,-1978.422,0,베카라베
44,10,-646.09515,201.76793,-1758.8135,0,베카라베
45,10,-377.9636,234.57799,-1725.1271,0,베카라베
46,10,-415.0408,257.88782,-1576.149,0,베카라베
47,10,-241.83438,280.43246,-1582.113,0,베카라베
48,11,1341.1375,347.7849,-93.53097,0,주황 단델
49,11,1629.5942,347.78494,-296.6161,0,주황 단델
50,11,1810.6317,347.7849,-450.02783,0,주황 단델
51,11,1825.7754,347.78494,-273.08475,0,주황 단델
52,11,1579.9243,347.7849,-107.13173,0,주황 단델
53,11,1523.6475,347.78494,107.55484,0,주황 단델
54,11,1818.5579,347.78494,31.672707,0,주황 단델
55,11,1986.6316,347.7849,52.67576,0,주황 단델
56,11,2097.084,347.78494,42.174988,0,주황 단델
57,11,2154.546,347.7849,-296.17862,0,주황 단델
58,11,2051.8657,347.78494,-506.7033,0,주황 단델
59,11,1537.7019,347.7849,-400.1205,0,주황 단델
60,11,1772.4966,347.78494,-94.88627,0,주황 단델
61,11,1700.7499,347.7849,197.46973,0,주황 단델
62,11,1917.2756,347.7849,238.70454,0,주황 단델
63,11,1236.2913,347.7849,197.12587,0,주황 단델
64,11,2191.0806,347.78488,-150.02255,0,주황 단델
65,11,1371.7355,347.78494,25.9839,0,주황 단델
66,11,1520.1932,347.78494,-199.89374,0,주황 단델
67,11,1670.0991,347.7849,131.35815,0,주황 단델
68,11,1229.5708,486.25903,1781.8971,0,주황 단델
69,11,1024.2069,486.25903,1644.7504,0,주황 단델
70,11,1112.3502,486.259,1802.904,0,주황 단델
71,11,1248.1659,486.25897,1415.6771,0,주황 단델
