ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,514.35614,-61.078125,-360.5854,0
2,1,340.017,-37.043827,329.5915,0
3,1,1063.6421,-85.068405,-44.656765,0
4,2,-1263.6885,41.382744,161.35252,0
5,3,556.81573,-61.078125,-857.8267,0
6,4,867.5897,33.881737,1363.8342,0
7,5,-1263.6885,41.382744,161.35252,0
8,6,556.81573,-61.078125,-857.8267,90
9,7,867.5897,33.881737,1363.8342,-90
10,8,-1459.9532,51.67147,-473.90097,-172
11,9,1764.2367,-25.634598,360.91113,-1
12,10,55.537273,0.7133713,1210.7164,80
13,11,-849.1854,45.424194,-183.20044,0
14,11,-647.01355,27.758049,223.23956,0
15,11,-1189.0554,41.382744,142.67075,0
16,11,-629.9579,65.001945,578.5119,0
17,11,-306.73785,18.033348,-406.67743,0
18,11,-45.15439,0.7133713,842.86145,0
19,11,520.54,-61.078125,141.71292,0
20,11,801.6979,-61.078125,-175.02312,0
21,11,654.5102,-61.078125,-679.13367,0
22,11,680.9726,7.6542892,656.37524,0
23,11,798.3833,33.881737,1242.0559,0
24,11,1267.3904,-0.5634078,727.8347,0
25,11,1103.7916,-5.804443,466.21826,0
26,11,1293.1776,-101.97937,30.254093,0
27,11,1595.0237,-25.634598,379.23853,0
28,20,-964.67175,51.67147,-431.8857,0
29,21,-1259.0474,41.382744,256.91104,0
30,22,-861.975,65.001945,616.01624,0
31,23,-851.0982,65.001945,754.58344,0
32,24,-647.6154,65.001945,697.1719,0
33,25,340.21585,-61.078125,-751.5551,0
35,27,1367.0665,-101.97933,-140.7147,-10
36,28,1603.9084,-1.043082,790.9675,0
37,29,370.85565,1.7650149,670.64014,0
38,30,393.6341,-61.078125,-157.5742,0
39,31,-329.55515,18.033358,-582.366,0
40,32,1470.7598,-25.634598,277.72137,0
41,33,674.10614,33.881737,1332.2767,0
42,34,631.26447,7.6542892,918.47577,0
43,34,561.9928,7.6542892,778.0728,0
44,34,738.88245,7.6542773,535.5019,0
45,34,962.0348,7.6542864,477.10565,0
46,34,1083.4967,7.6542883,955.1766,0
47,34,951.0385,33.881737,1141.4779,0
48,34,844.0875,7.6542892,759.78345,0
49,34,1186.6797,3.339587,700.69214,0
50,35,1766.9438,-25.634598,365.33878,0
51,35,53.41322,0.7133713,1211.167,0
52,35,-1460.1544,51.67147,-479.7151,0
53,36,-40.990433,0.7133713,517.86566,0
54,37,1260.9445,-101.97929,-133.1687,0
55,37,1376.5746,-101.97937,-43.150036,0
56,37,1441.9012,-101.97937,-126.71854,0
57,37,1430.7347,-101.97936,-225.06671,0
58,37,1301.2529,-101.97935,-234.47447,0
59,37,1317.3491,-101.97937,-325.80457,0
60,37,1398.8782,-101.97937,-318.48468,0
61,37,482.51404,-61.078125,-115.27011,0
62,37,643.7076,-61.078125,-143.357,0
63,37,739.50824,-61.078125,-82.1302,0
64,37,659.11896,-61.078125,10.745466,0
65,37,434.2129,-61.078125,131.06,0
66,37,596.724,-61.078125,168.49081,0
67,37,748.8214,-61.078125,88.10883,0
68,37,866.2805,-61.078125,57.263325,0
69,37,881.62744,-61.078125,-87.9308,0
70,37,832.1597,-61.078125,-189.69742,0
71,37,980.98505,-68.9153,-41.875946,0
72,37,555.5581,-61.078125,-7.360428,0
73,38,688.7186,7.6542826,549.81104,0
74,38,885.8255,7.6542892,682.069,0
75,38,791.4312,7.6542892,804.5704,0
76,38,889.7787,7.6542873,934.6917,0
77,38,718.61914,7.6542892,884.7882,0
78,38,508.99472,7.2396345,593.6876,0
79,38,1034.1033,7.6542892,801.3196,0
80,38,761.4172,33.881737,1265.5516,0
81,38,882.9234,33.881737,1276.0453,0
82,38,807.32825,33.881737,1208.224,0
83,38,1086.4518,-0.83742964,490.98947,0
84,38,1337.8536,-25.634598,368.06055,0
85,38,1476.2645,-25.634598,384.1469,0
86,38,1379.5415,-25.634598,224.66745,0
87,38,1299.9099,-25.634598,213.72916,0
88,38,1369.5597,-25.634598,319.35623,0
89,38,1370.0524,-1.0430824,747.5912,0
90,38,1487.9849,-1.0430756,858.73773,0
91,38,1481.1127,-1.043077,707.235,0
92,38,1444.0825,-1.0430764,744.7131,0
93,38,1263.4913,0.32926035,659.2632,0
94,38,602.2951,7.6542892,726.57965,0
95,38,748.34125,7.6542892,747.8207,0
96,38,902.4373,7.654274,518.52155,0
97,38,998.0538,7.6542873,577.2185,0
98,38,910.4078,7.6542892,826.3415,0
99,38,1313.2644,-25.634598,182.77438,0
100,38,1223.6638,-25.634598,396.95264,0
101,37,520.0818,-61.078125,-616.8432,0
102,37,471.63556,-61.078125,-722.87244,0
103,37,547.11884,-61.078125,-733.1397,0
104,37,574.87537,-61.078125,-775.60443,0
105,37,618.9389,-61.078125,-654.06647,0
106,37,656.883,-61.078125,-757.04364,0
107,37,1341.1381,-101.97933,-193.73618,0
108,37,1132.1471,-98.68261,-48.19717,0
109,39,109.00531,0.7133713,655.0179,0
110,39,134.8319,0.7133713,795.6725,0
111,39,186.08682,0.7133713,711.79114,0
112,39,289.45718,0.7133713,676.9941,0
113,39,196.17453,0.7133713,401.39047,0
114,39,-93.74869,0.7133713,761.666,0
115,39,-116.45465,0.7133713,650.296,0
116,39,-119.35152,0.7133713,468.3154,0
121,39,13.306381,0.7133713,916.94696,0
122,38,-162.44012,0.7133713,611.25867,0
123,38,49.909912,0.7133713,632.56335,0
124,38,47.917343,0.7133713,761.0642,0
125,38,-173.72809,0.7133713,744.3894,0
126,38,106.73759,0.7133713,395.30173,0
127,38,80.37749,0.7133713,806.7458,0
128,38,37.68823,0.7133713,568.825,0
129,40,-674.8382,27.758049,-56.659233,0
130,40,-721.7647,27.758049,139.78987,0
131,40,-563.4957,27.758049,44.40377,0
132,40,-552.84143,27.758049,241.56598,0
133,40,-422.87494,27.758049,124.85101,0
134,40,-429.06604,27.758049,-46.714355,0
135,40,-383.78635,18.033348,-397.60663,0
136,40,-428.88867,18.033348,-536.84247,0
137,40,-294.54474,18.033348,-503.19717,0
138,40,-219.55006,18.033348,-448.04584,0
139,40,-384.4518,18.033348,-489.41547,0
140,40,-454.36523,18.033348,-438.90503,0
141,40,-325.92978,18.033358,-598.3844,0
142,40,-1093.7491,51.67147,-487.1377,0
143,40,-967.7573,51.67147,-538.51215,0
144,40,-895.31915,51.67147,-412.96405,0
145,40,-980.3678,51.67147,-355.5686,0
146,40,-1055.2855,51.67147,-406.40408,0
147,41,-1138.4706,51.67147,-406.81488,0
148,41,-926.032,51.67147,-292.06042,0
149,41,-867.1805,51.671463,-534.91907,0
150,41,-1079.6954,51.67147,-545.277,0
151,41,-571.63403,27.758049,85.34673,0
152,41,-669.28625,27.758049,10.1129,0
153,41,-558.34204,27.758049,-51.098427,0
154,41,-434.951,27.758049,34.889,0
155,41,-426.3515,27.758049,170.51991,0
156,41,-764.2821,65.001945,610.6953,0
157,41,-824.25323,65.001945,648.873,0
158,41,-745.80054,65.001945,714.6572,0
159,41,-741.00183,65.001945,655.8578,0
160,41,-682.2648,65.001945,608.4759,0
161,41,-693.31525,65.001945,748.3666,0
162,41,-1137.9117,41.382744,211.10014,0
