ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-794.71106,-43.9683,1714.1968,67
2,2,99.45765,0.2093,-362.88678,-107
3,3,-10.287918,0.2093,-365.31723,-118
4,4,-1143.5116,0.2093,-1374.9333,0
5,5,-97.32806,0.2093,-491.4406,-21
6,6,-1053.6986,-209.7028,553.2155,0
7,7,-1885.54,-209.7,27.54,0
8,8,1270.175,22.2216,432.70682,0
9,9,1638.1625,0.2093,-1425.2197,29
10,10,2333.8328,22.2216,536.91223,0
11,11,905.05206,-43.9683,1758.8915,80
13,13,-889.1417,0.2093,-1503.3768,100
15,13,-54.87921,0.20928955,-1000.6483,0
16,14,53.23785,-117.9135,468.56165,0
18,16,-247.73532,0.2093,-314.53806,-28
19,17,67.28238,0.2093,-502.2321,100
20,18,-121.6255,0.2093,-342.66367,-92
21,19,-247.39963,0.2093,-383.0731,0
22,20,-241.45486,0.2093,-455.53842,20
24,22,1517.9254,39.7087,-327.88593,-162
25,22,1253.9468,39.7087,-430.23608,-63
26,22,1249.7904,39.7087,-475.13382,-67
27,22,1539.8484,39.7087,-329.6375,-157
28,22,1241.1671,39.7087,-412.77155,-68
35,29,1857.5182,22.2216,470.02765,176
43,36,1884.561,22.2216,572.20654,-83
44,37,1891.2817,22.2216,429.45367,83
46,38,1991.0311,22.2216,514.0597,-178
48,39,1837.4122,22.2216,720.39435,-178
50,40,1986.9666,22.2216,721.7297,0
52,41,1879.8784,22.2216,756.30426,-74
53,42,1421.2753,39.7087,-365.5739,0
54,43,1868.28,22.2216,507.22244,0
55,44,1920.9025,22.2216,438.4957,0
56,45,1918.1104,22.2216,561.4652,0
58,46,1839.6127,22.2216,696.5456,0
59,47,1965.2573,22.2216,685.00323,0
60,48,1903.9231,22.2216,749.20703,0
61,49,1978.5404,22.2216,517.79376,0
62,50,1857.9657,22.2216,533.29834,5
63,51,1955.001,22.2216,426.9849,90
64,52,1838.6562,22.2216,661.64215,11
65,53,1941.4464,22.2216,761.11475,-91
66,54,1979.9712,22.2216,660.4097,175
67,55,34.11184,-117.9135,709.51416,-74
85,22,1526.0458,39.7087,-347.69562,-160
86,22,1340.7699,39.7087,-592.8141,-49
87,22,1361.0011,39.7087,-606.4277,-52
88,67,-47.937542,-117.9135,787.2458,-39
90,67,-2.86829,-117.9135,805.4315,-47
93,67,-34.38595,-117.9135,863.36066,-29
96,67,120.62117,-117.9135,746.31586,-34
100,67,174.6075,-117.9135,771.8811,-39
101,67,153.68758,-117.9135,852.45996,-19
102,68,2092.7148,22.2216,551.64935,0
103,69,2096.8394,22.2216,553.4232,0
104,70,-133.15642,-117.9135,279.7528,0
105,70,-155.92453,-117.9135,209.75037,0
108,70,-312.27454,-117.9135,193.92726,0
109,70,-304.07153,-117.9135,302.1412,0
110,70,-352.69897,-117.9135,236.67221,0
112,70,-517.10596,-117.9135,552.4959,0
114,70,-391.25586,-117.9135,559,0
116,70,-455.19708,-117.9135,523.108,0
117,70,-438.34326,-117.9135,572.0122,0
118,70,-343.41617,-117.9135,641.2315,0
120,70,-334.92993,-117.9135,727.4859,0
121,70,-258.387,-117.9135,716.21173,0
122,70,68.67037,-117.9135,254.54819,0
123,70,134.35492,-117.9135,230.52644,0
124,70,246.42882,-117.9135,302.76382,0
125,70,274.27072,-117.9135,366.29584,0
126,71,1951.6495,22.2216,567.2253,-99
127,72,1902.2175,22.2216,632.1721,0
128,73,1911.585,22.2216,618.0828,-87
129,74,143.07669,0.20928955,-1456.4087,0
130,75,68.24359,0.20928955,-1402.3135,0
132,77,146.72081,0.2093,-410.2651,0
133,77,-108.18045,0.2093,-392.09506,0
135,79,359.58334,0.2093,-311.04877,-101
136,80,103.33575,0.2093,-504.51175,63
138,82,215.89716,0.2093,-347.57672,-70
139,83,1700.8667,22.2216,541.6705,0
140,83,1378.0801,39.7087,-398.08185,0
141,83,1783.4387,39.7087,-391.44827,0
142,83,375.6839,-117.9135,503.27698,0
143,83,-189.89192,-117.9135,528.3392,0
144,83,-184.38382,-117.9135,858.8467,0
145,83,-520.6503,-117.9135,380.10196,0
146,83,-31.199749,-117.9135,116.21054,0
147,83,-118.64886,0.2093,-752.0233,0
148,83,119.62401,0.2093,-1182.9574,0
149,83,91.447495,0.2093,-1754.5137,0
150,83,768.8256,0.2093,-1474.461,0
151,83,-450.01337,0.2093,-1454.7064,0
152,83,-937.2481,0.2093,-1541.6554,0
153,87,1262.2604,39.7087,-185.84654,0
155,74,-82.44122,-117.91351,530.1582,0
156,13,-559.6093,0.20928955,-1461.4939,0
157,13,-210.0827,0.2093,-1456.261,0
158,13,62.65081,0.2093,-1861.956,0
159,13,532.0255,0.2093,-1493.3284,0
160,13,417.13235,0.20928955,-1621.0109,0
161,13,196.33998,0.2093,-1282.6556,0
163,87,1416.9105,39.7087,-472.65448,0
164,87,1730.5513,39.7087,-390.06387,0
165,87,1253.4872,39.7087,-397.55923,0
166,87,1557.8555,39.7087,-369.7223,0
167,87,-363.55734,-43.9683,1374.1107,0
168,87,-208.08907,-43.9683,1501.0121,0
169,87,-191.79231,-43.9683,1307.5471,0
170,87,47.81562,-43.9683,1417.5353,0
175,88,-82.746445,-117.91351,482.84958,0
176,89,1593.6427,0.20928955,-1451.5173,0
177,89,2271.084,22.221565,528.3769,0
178,89,897.9595,-43.968323,1711.8755,0
179,89,-813.4186,-43.968323,1662.4857,0
182,13,-5.25465,0.20928955,-1295.974,0
183,13,379.58725,0.20928955,-1219.8994,0
184,13,61.701973,0.20928955,-1475.6985,0
