ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,486.5867,442.1507,-193.05617,0
2,1,543.6804,453.92014,34.99519,0
3,1,271.50314,442.6219,-169.22864,0
4,1,-858.5497,422.4347,-160.28857,0
5,1,-649.2382,405.4657,-100.18603,0
6,1,-787.3096,422.25006,67.92552,0
7,1,-465.50134,371.2591,124.58864,0
8,1,-238.21713,319.4175,-557.00696,0
9,1,29.601654,318.88922,-579.05457,0
10,1,-121.79101,319.96268,-684.8212,0
11,1,-252.7248,313.4685,-366.75305,0
12,1,-1219.0106,416.23,25.776241,0
13,1,-1407.6075,415.3425,-138.8998,0
14,1,-1540.7507,416.23,83.568695,0
15,1,-1401.448,416.23,85.93085,0
16,1,-1022.8401,344.68317,440.1326,0
17,1,-236.62039,328.45386,-70.9395,0
18,1,-199.51344,330.69727,288.49033,0
19,1,-332.39575,383.6744,586.3931,0
20,1,-918.70074,345.37454,681.07477,0
21,1,-480.45947,402.88187,849.62494,0
22,1,-140.55133,438.93124,981.396,0
23,1,232.35068,534.2288,482.34872,0
24,1,296.58154,534.2288,738.1159,0
25,1,504.29538,534.2288,334.1079,0
26,1,801.69214,556.61725,451.11636,0
27,1,1145.8291,595.00366,634.0386,0
28,1,1289.5499,595.00366,680.50714,0
29,1,1344.6727,595.00366,484.9703,0
30,1,1328.186,650.66187,82.37843,0
31,1,1227.2969,650.66187,-56.380733,0
32,1,1345.2937,652.106,-171.73454,0
33,1,1427.6339,652.6869,-5.9960155,0
34,1,1076.2872,595.0027,459.82898,0
35,1,713.2357,442.1507,-121.38043,0
36,1,482.7369,441.92642,-390.23972,0
37,2,-1469.2451,416.23,5.477024,0
38,2,-957.65515,345.37454,618.3165,0
39,2,-959.1733,345.37454,785.20154,0
40,2,-716.27765,382.7784,857.5131,0
41,2,-442.66083,401.23654,661.22485,0
42,2,-246.06021,372.04712,573.99756,0
43,2,-265.52335,330.18362,365.56497,0
44,2,-368.04044,402.88187,1066.2001,0
45,2,49.732418,534.2288,621.892,0
46,2,166.11928,534.2288,439.44098,0
47,2,356.92123,534.2288,534.9384,0
48,2,418.8459,534.2288,858.42346,0
49,2,354.8475,534.2288,221.52191,0
50,2,715.7757,534.2288,499.68213,0
51,2,663.97235,532.26074,300.46964,0
52,2,716.88306,486.50305,114.90778,0
53,2,353.8802,442.1507,-29.109556,0
54,2,320.77737,442.1526,-328.07407,0
55,2,455.0422,443.9666,-375.6652,0
56,2,680.39594,442.9905,-312.21213,0
57,3,-748.2872,417.2606,-169.90273,0
58,3,-782.3993,420.9181,6.6940117,0
59,3,-1301.0358,416.23,-28.80489,0
60,3,-1604.4048,414.7604,-0.19901657,0
61,3,-1479.5134,415.80222,-82.3134,0
62,3,-990.0384,416.65945,63.719963,0
63,3,-786.89166,417.0902,169.58482,0
64,3,-651.44196,407.58536,-138.3997,0
65,3,-466.56274,372.0376,-97.681946,0
66,3,-344.5396,373.116,140.74025,0
67,3,-516.6238,369.64,157.80696,0
68,3,-392.8985,375.16064,22.93614,0
69,3,-928.06476,430.85068,-205.2193,0
70,3,-979.3079,437.08218,-644.5786,0
71,3,-987.92456,444.11243,-861.6408,0
72,3,-839.0043,444.07947,-938.41077,0
73,3,-810.7621,441.77002,-705.2188,0
74,3,-914.9769,442.89993,-805.77893,0
75,3,-739.3033,444.13977,-862.8378,0
76,3,-877.95953,435.36215,-444.99493,0
77,4,-886.64197,441.26468,-769.5499,0
78,4,-920.4261,446.31467,-941.4387,0
79,4,-1287.0673,416.15115,-94.02114,0
80,4,-1316.3807,416.23,94.075294,0
81,4,-627.59174,398.87552,-46.302666,0
82,4,-392.86945,402.88187,779.5511,0
83,4,-256.5593,318.8416,-281.58563,0
84,4,291.2697,442.6909,-135.1914,0
85,4,664.8153,442.15558,-307.25467,0
86,4,1183.2551,650.66187,-88.88057,0
87,4,1331.5823,651.1842,-137.91734,0
88,4,1343.2506,650.58185,113.00804,0
89,4,1306.6211,650.66187,-8.49077,0
90,4,1401.311,627.9745,217.75792,0
91,4,1447.8049,595.00366,485.43082,0
92,4,1244.664,595.00366,490.33362,0
93,4,1040.7988,593.68994,384.3584,0
94,4,1073.5453,595.00366,585.2853,0
95,4,1355.3246,595.00366,766.91125,0
96,4,1268.3547,595.00366,647.5924,0
97,4,851.23706,565.18787,412.53058,0
98,4,667.336,534.2288,502.88928,0
99,4,661.0867,524.00616,244.93652,0
100,4,467.2696,534.2288,789.51495,0
101,4,365.39966,534.2288,682.89233,0
102,4,531.12286,534.2288,425.91983,0
103,4,391.1265,534.2288,273.95468,0
104,4,250.12149,534.2288,483.55197,0
105,4,257.51215,534.2288,746.7217,0
106,4,1460.7844,601.3741,777.3249,0
107,5,1939.6652,759.1964,302.0853,-57
108,6,-867.9552,402.71487,1306.7596,130
109,7,-205.10738,438.04065,-1327.9214,-90
110,8,524.30133,534.2288,381.76187,0
111,9,-269.89594,437.9536,-1156.6276,0
112,9,-663.18146,444.26086,-888.8761,0
113,9,-991.2923,445.3216,-919.6704,0
114,9,-1012.9246,439.97476,-679.64,0
115,9,-944.98566,436.441,-256.3002,0
116,9,-876.1119,426.37863,116.89404,0
117,9,-407.74136,374.81168,-116.49785,0
118,9,-420.773,370.82465,201.24927,0
119,9,-285.96326,312.63766,-440.55994,0
120,9,-55.76422,319.38644,-630.4347,0
121,9,-309.91104,371.57074,542.82794,0
122,9,-475.98328,402.88187,884.9742,0
123,9,-538.74445,401.31195,672.7238,0
124,9,-121.88376,452.73157,920.17896,0
125,9,149.4264,534.2288,711.4868,0
126,9,221.88779,534.2288,464.84378,0
127,9,403.6727,534.2288,213.91809,0
128,9,728.54736,490.47394,128.58499,0
129,9,555.0109,443.6855,-49.768578,0
130,9,303.98877,442.36926,-170.769,0
131,9,537.4308,442.8052,-416.8607,0
132,9,589.4804,534.2288,465.031,0
133,9,961.0913,585.4447,391.09833,0
134,9,1182.5337,595.00366,503.79187,0
135,9,1382.5448,595.00366,692.0085,0
136,9,1285.1315,650.66187,-96.36547,0
137,9,1703.2063,674.6081,619.3782,0
138,9,1802.2192,687.12683,460.45328,0
139,9,-666.5922,402.7515,1117.2737,0
140,9,-825.6249,345.37454,704.7758,0
141,9,-1148.8636,345.37454,677.68823,0
142,9,-999.01355,345.3096,438.5808,0
143,9,-1542.3202,415.74017,-43.65925,0
144,9,-1287.1324,415.8436,124.35581,0
145,9,-1257.094,413.88846,-177.44121,0
147,11,-876.45,444.11243,-833.80695,-73
148,12,-658.01483,400.78983,0.6245576,0
149,13,-1535.1644,414.64398,-144.59442,0
150,14,1089.8613,650.66187,-47.850044,0
