ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2661.0781,-16.131865,-554.61707,-31
2,2,-1834.4326,246.43167,932.47845,165
3,3,1640.5851,-23.554657,-872.72485,58
4,4,2079.5552,9.0268345,-255.77486,0
5,5,-1003.4359,-43.193176,-632.7747,0
6,6,-766.0289,139.77869,446.40845,46
7,7,1000.3409,145.85207,1146.9469,6
8,8,-487.51852,239.40982,1103.4708,174
9,9,2129.2388,9.026825,-194.98972,-80
10,10,-1055.9221,-43.193176,-580.42645,-85
11,11,-798.4177,139.77875,537.5329,-103
12,12,1052.633,145.85208,1182.9387,-105
13,13,-630.99347,246.43169,1132.5853,-85
14,14,-558.998,239.40987,1087.6902,-11
15,15,-537.2147,239.40993,1154.1494,-53
16,16,-567.1665,246.43178,1212.9305,-92
23,17,1690.7893,-23.554657,-842.41284,-60
25,17,1562.6207,-23.554657,-610.3322,0
26,17,1436.6493,-23.554657,-864.93677,0
27,17,1068.9841,-50.72995,-1059.0288,0
28,17,1058.3054,-50.72995,-728.0537,-55
29,17,760.98645,-50.72995,-743.86,-30
30,17,716.0801,-50.72995,-931.3523,0
31,17,983.4767,-50.729965,-861.67444,-39
32,21,-20.448647,-77.95596,-1366.1857,0
33,21,279.9575,-77.95594,-1230.4305,0
34,21,22.34694,-77.95596,-746.42145,0
35,21,-242.87859,-77.95596,-1051.043,0
36,21,377.43994,-77.95596,-854.83185,0
37,21,156.21515,-77.95596,-956.31854,0
38,21,-7.331209,-80.20284,-1074.5062,0
40,22,223.25012,-77.95594,-1236.3759,0
41,22,-242.33427,-77.95596,-1227.7196,0
42,22,-102.63643,-56.548706,-224.22357,0
43,22,110.62134,-56.529976,-180.83765,0
44,22,41.319954,-56.527203,-427.8272,0
45,22,395.3258,-77.95595,-924.05237,0
46,22,223.01744,-77.95596,-1033.3868,0
47,23,-651.5918,139.7782,449.31073,-84
48,24,-705.57605,139.77872,531.6483,-7
59,22,-184.92719,-77.95596,-1040.7118,0
60,22,192.40009,-77.95596,-795.32855,0
61,22,-2.713234,-77.95596,-1270.129,0
62,22,-25.076052,-80.20284,-806.7877,0
63,28,92.58835,-77.95597,-1174.3264,0
64,28,250.57358,-77.955986,-1066.0288,0
65,28,206.14636,-77.95596,-870.5615,0
66,28,194.63083,-77.95595,-1257.3953,0
67,28,364.43585,-77.95596,-948.88983,0
68,28,-756.5695,-43.19317,-862.5242,0
69,28,-590.7917,-43.193176,-848.81775,0
70,28,-591.02686,-46.928192,-714.27246,0
71,28,-496.49512,-45.60271,-641.8104,0
72,28,-615.5693,-43.193176,-575.1327,0
73,28,-1129.1461,117.44511,-69.358475,0
74,28,-1013.0732,117.44513,-41.037773,0
75,28,-950.60547,117.44513,67.27862,0
76,28,-1033.051,117.44513,155.0265,0
77,28,-1082.4191,113.71011,21.13934,0
78,28,-724.6213,139.77824,356.80637,0
79,28,-628.9668,139.77782,331.562,0
80,28,-610.24927,139.77876,227.64403,0
81,28,-490.5059,139.7786,512.36224,0
