ClassID,GenType,PosX,PosY,PosZ,Direction
1,11,86.288925,39.253128,-17.487818,0
2,2,-1055.728,39.253128,-135.6764,0
3,3,866.08954,39.253128,1069.8341,0
4,4,-426.4594,39.253128,-1035.8777,0
6,5,68.01238,39.253128,-1364.7366,0
7,6,-372.66635,39.253128,-435.87714,0
8,7,-1057.1002,40.746872,-807.03094,0
9,8,1055.4669,39.253128,561.7357,0
10,9,541.70825,39.253128,-1062.0155,0
11,10,-803.96027,39.253128,767.3518,0
12,1,198.3233,39.462082,1156.4188,0
15,12,1733.3137,39.253128,-187.81728,-17
16,13,591.1201,39.253128,-383.408,0
17,14,-66.70287,39.253128,534.97064,0
