ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1664.9105,-23.223461,580.139,2,WarpSpot
2,2,1119.1931,-14.643919,743.4327,-52,수도사3
3,3,-156.37709,44.182693,51.05194,0,사교도 코스타스
4,4,-1742.9722,-86.53197,891.5593,-88,사교도 야우뉴스
5,7,-1807.2192,-58.7874,-421.96725,7,비밀의 공간 워프용
6,8,-801.6963,-30.7266,837.971,-95,관
7,8,-763.5234,-30.7266,838.993,-94,관
8,8,-2004.2301,-85.9349,490.90717,0,관
9,8,-2002.3029,-85.9349,411.62537,0,관
10,8,-2001.7997,-85.9349,738.67444,0,관
11,8,-2002.3328,-85.9349,783.1124,0,관
12,8,-1663.1431,-86.302864,926.32336,-86,관
13,8,-1604.3898,-86.34547,926.1125,-78,관
14,8,-713.53204,-30.7266,837.58,-91,관
15,8,-309.88202,15.126701,803.0608,-92,관
16,8,-387.404,15.126701,803.067,-90,관
17,8,-350.96576,15.126701,804.6158,-93,관
18,9,-1690.1042,-84.38171,641.395,0,생명력 흡수 제단
19,10,257.4377,4.5140066,-201.66121,0,바닥에 떨어진 종이
20,11,-48.636856,12.569305,-661.09863,0,바닥에 떨어진 종이
21,12,226.04623,-1.278801,-862.3533,0,바닥에 떨어진 종이
22,13,-50.073837,-1.278801,-963.9938,0,바닥에 떨어진 종이
23,13,161.49529,4.884252,-455.0177,0,바닥에 떨어진 종이
25,13,-70.18008,4.8842206,-482.63782,0,바닥에 떨어진 종이
26,13,70.14347,35.826202,-316.02054,0,바닥에 떨어진 종이
27,13,87.298874,5.1842012,-769.1491,0,바닥에 떨어진 종이
28,14,999.3994,5.034856,-222.94359,0,모닥불
29,15,882.24805,12.569305,-232.7582,0,모닥불
30,16,792.6792,4.9682007,-283.59555,0,모닥불
31,17,779.9789,4.9682007,-390.90482,0,모닥불
32,5,939.4695,5.268201,-181.53017,0,
33,6,1433.1357,-14.643898,585.78516,0,
34,8,-674.6873,-30.7266,837.8741,-89,UnvisibleName
35,18,-996.93005,-46.288948,-1062.1863,0,
36,21,-870.628,-46.289,-1182.4194,0,워프 마법진
106,22,1004.0048,13.474805,997.13824,0,붉은 피셔맨
38,22,1040.1572,13.474805,917.522,0,붉은 피셔맨
39,22,842.80347,-6.597598,939.55457,0,붉은 피셔맨
40,22,727.16376,-1.5122981,935.0268,0,붉은 피셔맨
41,22,609.9936,12.091397,949.85925,0,붉은 피셔맨
42,22,476.7919,12.091397,937.2093,0,붉은 피셔맨
43,22,527.6986,12.091397,979.927,0,붉은 피셔맨
44,22,498.80383,33.146996,633.17816,0,붉은 피셔맨
45,22,489.5985,33.147,732.0764,0,붉은 피셔맨
46,22,597.4601,33.147,732.47906,0,붉은 피셔맨
47,22,595.0194,33.147,653.4284,0,붉은 피셔맨
48,22,228.98744,51.0189,714.5473,0,붉은 피셔맨
49,22,228.5031,51.0189,866.36774,0,붉은 피셔맨
50,22,87.49226,51.0189,867.5188,0,붉은 피셔맨
51,22,69.52066,51.0189,711.7396,0,붉은 피셔맨
52,22,-72.59613,51.0189,697.5754,0,붉은 피셔맨
53,22,-74.1091,51.0189,867.7977,0,붉은 피셔맨
54,22,171.59193,51.0189,795.4013,0,붉은 피셔맨
55,22,-11.669899,51.0189,793.04614,0,붉은 피셔맨
56,22,-432.58612,15.426702,723.3133,0,붉은 피셔맨
57,22,-336.68234,15.426702,746.0926,0,붉은 피셔맨
58,22,-673.4634,-30.426601,728.6112,0,붉은 피셔맨
59,22,-789.7389,-30.426601,733.2645,0,붉은 피셔맨
60,22,-893.668,-30.510197,596.6645,0,붉은 피셔맨
61,22,-690.2111,-30.83776,543.3825,0,붉은 피셔맨
62,22,-883.5912,-30.535364,374.22653,0,붉은 피셔맨
63,22,-747.33344,-30.76126,371.31198,0,붉은 피셔맨
64,22,-791.2042,-30.855852,478.93845,0,붉은 피셔맨
65,22,-788.49744,-30.473982,633.3393,0,붉은 피셔맨
66,22,-939.4236,-27.2347,838.92377,0,붉은 피셔맨
67,22,-1220.0332,-68.357895,611.9834,0,붉은 피셔맨
68,22,-1144.0425,-68.357895,552.98627,0,붉은 피셔맨
69,22,-1858.1605,-85.56981,439.13492,0,붉은 피셔맨
70,22,-1740.2769,-85.56981,481.8473,0,붉은 피셔맨
71,22,-1666.2546,-85.56981,421.2954,0,붉은 피셔맨
72,22,-1556.5038,-85.56981,499.73688,0,붉은 피셔맨
73,22,-1689.959,-84.0817,603.3627,0,붉은 피셔맨
74,22,-1719.2595,-85.56981,813.54297,0,붉은 피셔맨
75,22,-1485.532,-85.56981,604.7109,0,붉은 피셔맨
76,22,-1872.1398,-85.56981,663.4656,0,붉은 피셔맨
77,22,-1880.4166,-85.56981,781.43854,0,붉은 피셔맨
78,22,-1759.0897,-99.6299,728.26294,0,붉은 피셔맨
79,22,-1587.4576,-99.6299,703.966,0,붉은 피셔맨
80,22,305.77652,24.390804,134.13972,0,붉은 피셔맨
81,22,233.40115,24.390804,31.878044,0,붉은 피셔맨
82,22,246.63522,5.4828997,398.483,0,붉은 피셔맨
83,22,118.01308,5.4828997,378.83224,0,붉은 피셔맨
84,22,-55.46515,5.4828997,390.39404,0,붉은 피셔맨
85,22,9.650658,5.4828997,465.5217,0,붉은 피셔맨
86,22,-78.47128,5.1842012,-376.95068,0,붉은 피셔맨
87,22,123.46744,5.184207,-593.31573,0,붉은 피셔맨
88,22,239.87079,5.1842012,-354.58893,0,붉은 피셔맨
92,22,130.00853,5.1842794,-412.54025,0,붉은 피셔맨
96,22,-90.5213,5.1842484,-171.44702,0,붉은 피셔맨
99,22,274.0833,4.7130704,-205.38388,0,붉은 피셔맨
104,22,-130.24443,5.1842012,-509.37637,0,붉은 피셔맨
107,23,1571.3954,-22.923462,587.5292,0,
108,22,540.7704,33.147,590.9149,0,붉은 피셔맨
109,24,-30.119904,-0.97880095,-1031.335,0,푸른 페이그 도퍼
110,24,-92.98065,-0.97880095,-897.7673,0,푸른 페이그 도퍼
111,24,146.46742,-0.97880095,-921.8891,0,푸른 페이그 도퍼
112,24,168.00056,-0.97880095,-1034.4506,0,푸른 페이그 도퍼
113,24,75.531006,5.184213,-657.3465,0,푸른 페이그 도퍼
114,24,256.81927,12.869306,-619.96326,0,푸른 페이그 도퍼
115,24,268.41577,5.1842012,-354.94897,0,푸른 페이그 도퍼
116,24,91.24933,5.1842637,-458.9075,0,푸른 페이그 도퍼
117,24,-84.52886,5.1842012,-159.37804,0,푸른 페이그 도퍼
118,24,253.87619,4.6577687,-145.4559,0,푸른 페이그 도퍼
119,24,233.00232,24.390804,98.013336,0,푸른 페이그 도퍼
120,24,-30.214378,44.482693,73.04747,0,푸른 페이그 도퍼
121,24,160.87259,5.4828997,437.96307,0,푸른 페이그 도퍼
122,24,-7.17712,5.4828997,457.8369,0,푸른 페이그 도퍼
123,24,-360.85254,-31.387203,386.51483,0,푸른 페이그 도퍼
124,24,241.30667,5.4828997,348.76987,0,푸른 페이그 도퍼
125,24,86.850204,5.4828997,292.3761,0,푸른 페이그 도퍼
