ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,792.8137,347.3202,-1283.7433,-90
2,2,745.4448,136.21661,2116.0981,90
3,3,18.779274,235.5643,-860.61975,0
4,4,-201,186,154,-90
6,6,578.052,235.70958,-961.37335,0
7,7,-1275.2753,235.36829,-840.9795,0
54,8,1312.1038,235.11887,213.13295,0
55,8,1313.0862,235.11887,173.3621,0
56,8,1312.9277,235.11887,104.06428,0
57,8,1312.4287,235.11887,67.9275,0
58,8,1371.4219,235.11887,-262.80148,0
59,8,1371.8746,235.11887,-362.71307,0
60,8,1373.3315,235.11887,-417.3263,0
61,8,1372.1561,235.11887,-526.5351,0
62,8,1373.143,235.11887,-631.0612,0
63,8,1374.6533,235.11887,-727.8711,0
64,8,1361.9535,235.11887,-801.7784,-45
65,8,1330.8987,235.11887,-964.6954,45
66,8,1361.3749,235.11887,306.3076,-45
67,8,534.5504,235.31886,9.895676,0
68,8,525.99274,235.31886,-67.100296,0
69,8,527.4675,235.31886,-212.15874,0
70,8,530.20844,235.31886,-287.63788,0
71,8,551.969,235.31886,-141.29,0
72,8,852.4854,235.31886,127.91306,-90
73,8,712.3764,235.31886,128.31622,-90
74,8,669.5003,235.31886,127.58499,-90
75,8,904.3362,235.31886,128.30568,-90
76,11,-881.1513,191.52707,-392.95532,0
77,9,678.894,235.41887,-87.466064,0
78,10,629.36743,247.41885,872.9348,0
79,12,-198.08118,186.43796,154.92818,0
80,13,-92.84566,184.7154,263.8064,135
82,13,-104.16518,186.43796,75.53566,45
83,14,-215.7359,186.43796,280.46753,0
84,14,-209.33154,186.43796,44.69949,0
85,14,-80.29757,186.43796,167.18556,90
86,15,578.052,235.70958,-961.37335,0
87,15,-1275.2753,235.36829,-840.9795,0
88,16,203.16016,159.88136,1412.5645,-125
89,17,-194.94545,186.43796,235.80804,-90
90,18,-201,186,154,0
91,9,871.44653,243.15353,1417.2755,0
92,9,1540.4508,336.67535,690.0569,0
93,9,1483.8787,235.36887,-670.25183,0
94,10,1512.828,235.36887,221.71083,0
95,10,929.2541,243.15323,1678.1228,0
96,19,768.31775,235.11887,-877.367,0
97,10,173.39151,159.98055,1312.215,0
98,9,-529.4297,160.32686,899.1401,0
99,10,-1177.8154,165.82239,1297.916,0
100,9,-996.20966,245.7109,-1071.1641,0
101,10,-1015.3903,235.56429,-832.39594,0
102,3,927.9136,235.41885,-61.84715,0
103,3,642.7356,247.41885,852.46783,0
104,3,926.9064,247.31886,690.38245,0
105,3,1541.5393,235.36887,175.30225,0
106,3,1590.1306,235.36887,-453.93515,0
107,3,1466.3055,235.36887,-654.8378,0
108,3,906.059,243.15346,1423.1263,0
109,3,662.08905,243.15366,1704.3856,0
110,3,1405.0942,235.38763,1473.5265,0
111,3,101.71395,159.97844,1231.1321,0
112,3,-530.3222,160.32796,922.5336,0
113,3,26.767303,162.0248,740.30554,0
114,3,91.53621,166.8572,-397.6865,0
115,3,-1056.9282,159.93521,149.75682,0
116,3,-582.63165,165.55856,125.33075,0
117,3,-989.15607,160.01521,1164.9323,0
118,3,-840.72064,180.30348,-150.03204,0
120,3,-1005.9885,245.70572,-1077.5919,0
121,3,-657.01294,235.32655,-836.38403,0
122,3,-363.40805,235.56314,-876.9225,0
123,3,935.8839,235.41885,-283.57822,0
124,3,-1088.6166,160.01521,770.18054,0
125,20,-34.344383,159.88005,1359.2937,-45
128,9,944.9561,235.41885,-272.41208,0
129,9,637.023,243.15337,1696.0107,0
130,9,1457.3549,331.45993,792.9637,0
131,9,1469.9669,235.36887,-384.6602,0
132,9,-701.48517,245.4866,-1101.8564,0
133,9,-671.2485,235.36089,-814.98755,0
134,9,-59.327477,236.6362,-952.42456,0
135,9,1604.3657,235.36887,-995.5336,0
136,10,919.68317,240.81886,867.77655,0
137,10,1619.5416,235.36888,-215.1452,0
138,10,583.4731,243.1531,1419.5078,0
139,10,-28.697247,159.9812,1294.3896,0
140,10,-1065.215,160.01521,1129.3539,0
141,10,-645.7055,235.34698,-815.69196,0
142,10,-314.0435,247.45503,-974.85144,0
143,10,1436.067,235.3764,1686.0358,0
144,11,-779.6456,191.52707,-506.4488,0
145,11,-669.1169,194.27235,-441.48404,0
146,11,-558.8038,174.79358,-284.66226,0
147,11,-505.31134,180.70224,-433.56885,0
148,11,-509.53333,180.70224,-527.533,0
149,11,-569.5795,161.49333,-187.05855,0
150,11,-576.9781,166.45703,-38.930183,0
151,11,-615.7688,165.55856,109.28217,0
152,11,-579.1299,165.55856,159.02292,0
153,11,-838.6591,165.53333,121.32684,0
154,11,-906.2962,165.53334,129.88034,0
155,11,-1225.8807,181.97928,-357.06396,0
156,11,-1062.9548,159.93521,65.920906,0
157,11,-1180.1199,161.96521,188.02174,0
158,11,-1238.4858,161.96521,130.89359,0
159,11,-1075.6364,159.93521,-107.1339,0
160,11,-1034.6013,159.93521,-240.5332,0
161,11,-1063.2993,159.93521,-337.72696,0
162,11,-1075.4556,159.93521,-449.73566,0
163,21,94.86452,159.88136,1454.5205,-90
164,22,260.38263,159.97978,1185.1058,135
165,23,1396.7761,235.36887,-857.3103,0
166,23,1445.7972,235.36887,-704.34033,0
167,23,1599.6569,235.36887,-544.8596,0
168,23,1619.6907,235.36887,-428.2915,0
169,23,1453.9304,235.36887,-212.5158,0
170,23,1622.1158,235.36888,41.56109,0
171,23,783.77075,235.41885,-362.04584,0
172,23,841.17065,235.41885,-53.533783,0
173,23,588.1397,236.68402,715.4957,0
174,23,758.0682,235.52571,729.7048,0
175,23,722.1697,243.15375,1388.2988,0
176,23,789.10474,266.50293,1551.8093,0
177,23,1582.0133,235.3763,1445.3452,0
178,23,1052.3053,235.37535,1576.3684,0
179,23,1450.2094,331.45993,781.36536,0
180,23,303.5231,201.54549,775.0775,0
181,23,77.97377,166.89084,501.4618,0
182,23,-202.26892,166.89645,498.7005,0
183,23,-172.24052,141.74313,733.2837,0
184,23,84.852715,166.73405,202.28021,0
185,23,98.348236,186.55899,-116.80458,0
186,23,-183.53383,166.84482,-418.47495,0
187,23,-942.004,160.01521,1302.5039,0
188,23,-1041.6405,160.01521,1122.9224,0
189,23,-1052.5105,160.0152,807.301,0
190,23,-1071.8461,160.01521,599.1447,0
191,23,-1083.8076,156.72461,359.05908,0
192,23,-1211.3584,181.97928,-123.9363,0
193,23,-941.7039,245.76747,-1007.8718,0
194,23,-585.03064,236.13666,-899.6769,0
195,23,-553.43134,247.14684,-1087.9978,0
196,23,-154.63217,235.56429,-851.81244,0
197,23,34.51482,243.57124,-1056.7161,0
198,24,103.08818,166.85745,-396.33072,0
199,24,97.65071,178.73291,-261.954,0
200,24,96.58014,173.49597,70.138954,0
201,24,-201.81065,141.74313,646.8958,0
202,24,-85.83681,159.90674,765.2583,0
203,24,24.168156,162.0248,737.0902,0
204,24,75.59828,166.88744,353.67587,0
205,24,632.59503,238.08145,577.7467,0
206,24,908.98175,247.31886,561.6485,0
207,24,649.1423,243.15372,1538.1572,0
208,24,772.12354,243.15361,1731.5981,0
209,24,1227.1367,235.37529,1606.3628,0
210,24,1415.6936,235.39183,1491.0444,0
211,24,1664.6799,235.37646,1697.3915,0
212,24,1714.6155,235.38013,1526.4628,0
213,24,756.8694,238.41885,323.0445,0
214,24,827.0624,235.41885,-189.78542,0
215,24,700.3855,235.41888,-31.773453,0
216,24,688.566,235.41885,-286.97794,0
217,24,1438.1769,235.36887,-1023.6343,0
218,24,1633.1139,235.36887,-791.96356,0
219,24,1502.1808,235.36887,-684.78,0
220,24,1531.434,235.36888,-67.62803,0
221,24,1419.9789,235.36887,30.664925,0
222,24,429.22568,236.70259,-898.29364,0
223,24,205.8356,238.10516,-884.4154,0
224,24,7.497658,235.5643,-855.0242,0
225,24,-329.9738,235.56293,-837.66833,0
226,24,-440.02332,247.36166,-1044.5236,0
227,24,-809.69214,235.56393,-902.07684,0
228,24,-985.7663,245.70415,-1088.402,0
229,24,-1029.1309,235.5643,-866.46075,0
230,24,-1207.2579,182.54364,-241.23428,0
231,24,-806.533,191.52707,-416.98227,0
232,24,-570.56866,180.70224,-405.30292,0
233,24,-741.09564,180.30885,-161.31357,0
234,24,-610.6704,165.55856,134.2182,0
235,24,-887.5615,165.53334,126.92316,0
236,24,-532.0258,169.98541,529.11615,0
237,24,-541.0464,160.33115,1055.9065,0
238,24,-263.76343,175.09708,1122.4113,0
239,24,69.995895,159.97977,1225.0956,0
240,24,44.98726,159.98135,1389.8058,0
241,24,-1057.1742,160.01521,556.9346,0
242,24,-1075.4631,159.31432,306.0764,0
243,24,-936.9901,160.01521,703.71204,0
244,24,-1040.2206,160.01521,990.31415,0
245,24,-955.9119,160.01521,1288.2771,0
246,25,589.26447,235.76886,-714.1481,-45
247,26,661.0525,235.41887,-114.26019,0
248,27,-1281,160,1123,0
