ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-148.58258,0.33743286,-891.9434,0
2,1,-157.27663,0.33743286,-522.0643,0
3,1,-157.39291,0.33743286,-139.19846,0
4,1,-151.13141,0.33743286,394.47,0
5,1,-811.625,54.377426,-445.343,0
6,1,-1132.8901,54.377426,-481.32266,0
7,1,-953.7954,56.279636,145.40656,0
8,1,-917.4607,55.855793,460.85962,0
9,1,-402.20044,52.94632,-101.58805,0
10,1,93.64743,52.94632,-117.63123,0
11,1,692.2395,54.377426,-611.62787,0
12,1,699.57263,54.377426,-257.33868,0
13,1,696.42096,55.9977,168.37576,0
14,1,782.89825,57.276215,497.58707,0
15,1,-342.94745,66.91813,1026.144,0
16,1,-341.34805,66.91995,1262.7799,0
17,1,36.199104,66.92338,1241.915,0
18,1,12.125877,66.967766,1019.7944,0
