ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-95.009,135.05151,-929.8088,0
2,1,231.64508,135.05151,-883.62427,0
3,1,175.36555,135.4515,-5.177535,0
4,1,239.722,135.4515,154.4829,0
5,1,742.38605,135.4515,-22.150063,0
6,1,964.5252,135.4515,180.74976,0
7,1,726.8989,135.45149,209.88397,0
8,1,915.8323,200.36508,700.65247,0
9,1,924.107,200.36508,944.0666,0
10,1,1260.5366,200.36508,605.22736,0
11,1,402.4784,236.84282,888.89246,0
12,1,173.53911,236.84282,830.22595,0
13,1,-13.768617,236.84282,833.5725,0
14,1,-225.97227,236.84282,838.0146,0
15,1,-607.3291,290.0082,1059.6671,0
16,1,-885.4174,338.0215,478.6022,0
17,1,-979.113,338.0215,260.32617,0
18,1,-771.05475,338.0215,164.05145,0
19,1,-597.94574,338.0215,-579.91,0
20,1,-441.26657,338.0215,-501.85672,0
