ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,510.7029,-1.2928795,-349.31937,0,20031,1,잡화 상인
2,2,394,-1,-475,0,20067,1,"장비 상인 "
3,3,268.70773,-1.3437729,-610.94006,0,20066,1,"악세서리 상인 "
4,4,-474,149,82,315,20113,1,기사단장 우스카
5,113,-409,149,174,315,0,10,[클레릭 마스터]{nl}     로잘리야
7,7,-9,156,131,-68.96,40070,1,마을사람
8,8,-60,148,42,-8.43,40070,1,병사의 어머니
10,114,-196.47,148.83,350.73,-90,0,10,[프리스트 마스터]{nl}         보러블
11,10004,-201,-1,-1182,-100,40070,1,샤울레이 서쪽 숲
12,209,-80,148,387,-60,40090,1,공고(대성당광고)
13,13,600,-1,-83,0,20105,1,대장장이
14,115,-1108,240,512,315,0,10,[크리비 마스터]{nl}      헤르쿠스
15,11,-409,-1,-647,-92.29,20114,1,들떠있는 아가씨
17,2001,-60,79,-446,-78.69,41219,10,폐도 피난민
18,21,799,-1,331,45,40001,1,샤울레이 동쪽 숲
19,2002,254.74931,79.85956,225.74277,0,0,1,폐도 피난민
20,101,-325,148,17,171,20042,1,얼음 땡 관리
102,102,-976,-1,-502,135,40070,1,보코르 마스터의 집
103,103,-225,97,-385,-100,40070,1,펠타스타 마스터
104,104,223,80,-95,135,40070,1,하이랜더 마스터룸
105,105,-2,96,-290,110,40070,1,파이로맨서 마스터룸
106,106,-205,79,-515,6.17,40070,1,크리오맨서 마스터
107,107,-336,79,-548,6.17,40070,1,크리오맨서 전직 퀘스트 트리거
108,108,-236,241,867,225,40070,1,쿼렐슈터 마스터
109,109,-488.78,148.61,27,6.17,40070,1,레인저 마스터
110,110,-92,241,784,225,40070,1,아처 마스터
111,111,-100,96,-275,-90,40070,1,위저드 마스터
112,112,-949,241,308,315,40070,1,아처 마스터
130,130,-66,-1,-752,-92.99,40070,1,알림판
131,131,195,-1,-641,-78.69,40070,1,알림판
132,132,58,79,-359,-56.66,40070,1,알림판
133,133,-63,148,-108,-7.13,40070,1,알림판
134,134,-165,-1,-958,-26.57,40070,1,알림판
135,135,744,-1,192,-126.23,40070,1,알림판
136,136,-125,148,-11,-48.01,40070,1,알림판
137,10005,617,-1,61,0,0,1,휴무 안내
138,10006,615.23,-1.35,132.44,0,0,1,리리아나
141,10009,6,-1,-760,270,0,0,컴패니언 상인
143,10011,-22,-1,-757,270,0,0,벨하이더
145,10013,68.443634,148.83879,485.8954,-104,0,0,[바이보라의 날개]{nl}         레나
146,10014,-292,149,291,315,0,0,[마법협회 클라페다 지부]{nl}           헤느리카
147,10015,240.65375,148.80952,895.66296,64,0,0,기티스의 개척지
148,10016,307.89343,79.85956,298.52103,0,0,0,[창고지기]{nl}     리타
149,117,-1118,240,283,0,0,0,"    [오라클 마스터]{nl}아폴로니야 바르보라"
150,10017,-206.57397,148.8251,98.63973,-45,0,0,여신 아우슈리네의 상
151,10018,282.72168,79.85956,148.80867,0,0,0,[TP상인]{nl}   레티샤
152,10019,379.7536,-1.3437729,-1056.5519,0,0,0,HIDDEN_MIKO_FUKUROKUSHU_TRIGGER
302,302,-638,240,1017,315,0,0,
303,303,-609,241,867,315,0,0,
304,304,-457,241,895,270,0,0,
305,305,-542,241,882,315,0,0,
306,306,-77.60321,149.07088,-142.18346,0,0,0,
1001,10020,-605.33813,-1.34,-479.0974,-93,0,0,마을 아가씨
1002,10021,-949,241,365,315,0,0,아렐르노 남작
1004,10022,547.71,-1.33,382.05,0,0,0,
5057,10023,-827.2349,217.91046,729.8553,0,0,0,
5076,10024,-714,241,584,-45,0,0,
5077,10025,-678,241,625,-45,0,0,
