ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,591,-75,146,0,필그림 들길
10,10,105,-75,4,315,여신 바카리네의 상
11,11,14,-57,-97,315,수녀 아이스테
13,13,201,-75,37,315,수녀 라사
15,15,320.95023,-49.580482,282.7521,-103,위저드 튤러스
16,16,506.4811,-28.62,-335.4216,0,상인2
17,17,331.35974,-75.85,-188.07776,0,증표 수집가
18,19,140.04776,-93.82877,-444.31265,0,
19,20,93.992584,-90.81181,-332.871,0,
20,21,61.316643,-84.643196,-243.51604,0,
21,22,288.4222,-75.84637,-277.403,-77,
22,23,128.37303,-75.84637,70.88188,0,
23,24,228.78725,-75.84637,205.52432,-85,
25,26,376.84134,-75.84637,181.23767,-105,
27,28,351.94287,-75.84637,179.24358,-86,
28,29,410.6339,-75.84637,184.20111,-96,
29,30,143.5258,-75.84637,169.24881,-50,
