ClassID,GenType,PosX,PosY,PosZ,Direction
5,11,61.11026,0.24982262,-139.51549,31
6,12,-46.032578,0.24982262,-130.79697,-3
17,17,177.44873,0.24982262,-9.905846,-134
18,18,-18.830414,10.479757,81.4595,-111
19,19,-19.321552,0.24982262,-40.76684,-45
20,20,85.67841,0.24982262,-20.442842,-54
21,21,-31.835743,10.103152,-6.699467,-32
22,22,101.53305,0.24982262,-3.7958238,-36
23,23,82.41738,0.24982262,-158.30867,-18
24,24,-39.89618,0.24982262,-163.90579,-21
25,25,193.78612,0.24982262,5.6814294,-54
26,26,-60.164795,10.479757,76.7594,-29
27,27,18.992874,0.24982262,-37.788956,-3
28,28,154.58891,0.24982262,-70.30633,-94
30,30,109.90068,0.24982262,-30.460396,-172
32,31,-17.371164,0.24982262,-122.23397,-174
33,32,92.57718,0.24982262,-132.97482,-131
34,33,154.07085,0.24982262,-146.41832,-122
