ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-2147,360,-1590,162
2,2,170.29729,183.1937,-161.53833,25
3,3,1625,289,2069,-157
5,5,129.08,183.64,-112.43,-86
500,10,-2181,360,-1677,0
501,11,-1251,316,-1730,0
502,12,-736,182,-1326,0
503,13,-659,181.61,4,0
504,14,-1187.67,303.49,104.16,-62
505,15,-1206.57,303.49,87.32,-18
506,16,2103.4329,124.67553,1956.9255,0
507,17,-458,183,-873,0
4,500,-2068,360,-1572,0
6,500,-1918,316,-1959,0
69,500,-1650,316,-1720,0
71,500,-1646,316,-1899,0
165,500,-1149,316,-1806,0
177,500,-1122,316,-1612,0
178,500,-1224,316,-1216,0
179,500,-476,183,-1559,0
180,500,-446,184,-1189,0
181,500,-789,184,-916,0
182,500,-530,183,-834,0
183,500,-419,183,-752,0
184,500,-422,183,-605,0
185,500,-687,181,-125,0
186,500,-715,181,12,0
187,500,-609,181,140,0
188,500,-937,181,-124,0
189,500,-838,254,238,0
214,500,-1079,250,176,0
215,500,49,183,-1133,0
216,500,94,183,-981,0
217,500,-347,184,-1136,0
218,500,-50,183,-1305,0
219,500,-167,183,-137,0
220,500,54,183,-17,0
221,500,1763,260,2101,0
222,500,2042,149,2127,0
223,500,1705,55,1478,0
224,500,1725,54,1357,0
225,500,1804,58,1634,0
227,500,1662,56,1612,0
228,500,2012,74,1711,0
739,502,-1067.9858,320.75714,-1262.6368,0
7,18,2048.03,56.93,1753.45,153
882,514,-1183.55,303.49,111.4,-13
883,515,-1200.25,303.49,98.06,-85
890,516,-446,183,-1014,0
930,521,-819.628,181.9622,-1192.3961,0
931,510,-851.20337,181.9622,-1298.5792,0
932,522,1673.233,151.04523,1167.9769,0
935,525,-2175.5293,360.28488,-1773.8901,0
937,527,-1218.7764,303.4853,59.648712,0
938,528,-807.5244,182.13336,-119.20615,0
939,529,-2186.467,368.9746,-1625.9775,0
940,527,1731.0707,264.5586,2108.6035,0
941,530,-1145.18,303.59,103.15,-90
942,531,-1187.67,303.49,104.16,-62
943,532,-1206.57,303.49,87.32,-18
944,533,-1183.55,303.49,111.4,-13
945,534,-1200.25,303.49,98.06,-85
946,535,-2082.7664,359.55923,-1749.6649,0
947,536,160.16443,183.79338,-216.60245,0
948,537,-1158.4915,316.55338,-1571.4525,0
949,537,-1155.641,316.2988,-1281.355,0
950,537,-794.7901,181.9622,-1203.5465,0
951,537,-454.9373,183.9296,-1489.2084,0
952,537,53.28093,183.9296,-1008.2537,0
953,537,-663.6857,184.23558,-859.00183,0
954,537,16.954464,183.9296,-1267.2732,0
955,537,-869.7694,182.16693,-194.795,0
956,537,-630.5578,182.60078,-247.6927,0
957,537,-632.376,181.6071,85.749115,0
958,537,-187.01031,183.9297,-83.010796,0
959,537,-375.92035,183.90953,-516.4829,0
960,538,-925.3166,212.7119,-1356.7808,0
961,538,-529.6133,184.19138,-1503.4279,0
962,538,-458.68396,183.9296,-1625.8433,0
963,538,-395.51712,184.50652,-1230.865,0
964,538,-234.52835,183.93329,-1080.4702,0
965,538,-58.138832,183.9296,-1270.1907,0
966,538,30.109444,183.9296,-1130.2517,0
967,538,148.13945,183.9296,-1247.0809,0
968,538,-599.63416,183.59375,-857.7218,0
969,538,-394.3488,183.80566,-636.747,0
970,538,-257.29843,183.9297,-322.31033,0
971,538,-119.86919,183.9297,-116.63756,0
972,538,-782.06335,182.43999,-216.13513,0
973,538,-763.97144,181.7256,-24.787132,0
974,538,-632.6656,181.74557,-79.23552,0
975,539,1628.5786,56.9321,1610.589,0
976,540,-874.95,184.05,-970.45,0
