ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1009,13,-2956,73,-328,161,
1010,14,972,-93,1375,90,
1054,514,-1560,71,-11,0,
1055,514,-1052,-63,-1160,0,
1056,514,36,8,-194,0,
1057,514,517,-137,1114,0,
1058,514,1410,-184,471,0,
1059,514,2079,-181,1603,0,
10131,1072,2632,-183,2219,0,함정형
10132,1073,-1165.0415,71.9271,110.54614,0,광산 약탈자
10134,1075,-292.8929,-19.390514,775.06476,0,광산 화염 마법사
10135,1076,-1376.4062,57.5569,-826.44806,-39,
10136,1077,-1372,59,-852,0,
10137,1078,2615,-185,2262,-90,
10140,1081,1620.7383,-182.62813,909.2677,0,
10141,1082,1848.8247,-183.0687,1801.3611,0,
10142,1083,2716.406,-183.0687,1940.339,0,
10143,1084,1792.1826,-182.82272,1260.9949,0,
10144,1085,2402.7512,-183.0687,1641.7665,0,
10145,1086,-1455.1323,71.926796,248.01205,148,
10146,1087,-1439.4983,140.689,889.5071,-90,
10147,1087,-522.6809,-22.993967,980.5384,-90,
10148,1087,-149.25047,7.4462,-18.783997,-90,
10149,1088,-2258.2825,76.169815,-393.61594,-22,
10150,1088,-1235.4465,-64.3213,-1063.3328,-22,
10151,1088,281.24957,7.4462,172.76875,-22,
10152,1088,1117.1863,-49.7748,-80.43308,-22,
10153,1088,1830.7577,-183.0687,1928.8462,-22,
10154,1089,-2881.1797,73.221,-254.06818,0,수정 덩어리
10155,1089,1068.8997,-49.7748,527.67957,0,수정 덩어리
10156,1089,112.36192,-35.5634,1318.0205,0,수정 덩어리
10157,1089,-2391.3777,84.4634,-399.54645,0,수정 덩어리
10158,1089,-46.914337,7.4462,-295.97,0,수정 덩어리
10159,1090,-1777.5858,72.52932,-37.57565,0,수정 덩어리
10160,1090,-1357.5295,72.335434,-180.11514,0,수정 덩어리
10161,1090,-1353.3118,141.31364,951.8195,0,수정 덩어리
10162,1090,-1661.7032,140.689,794.8086,0,수정 덩어리
10163,1090,-1050.3002,68.35656,104.04987,0,수정 덩어리
10164,1091,-1073.3826,-64.3213,-1059.5544,0,수정 덩어리
10165,1091,-1328.2343,57.5569,-856.15106,0,수정 덩어리
10166,1091,-830.7654,-64.3213,-867.0439,0,수정 덩어리
10167,1091,-1112.9185,4.8904,-672.8813,0,수정 덩어리
10168,1091,-796.5462,-64.23643,-618.7629,0,수정 덩어리
10169,1092,215.01837,7.4462,43.623894,0,수정 덩어리
10170,1092,-139.16132,7.4462,63.272705,0,수정 덩어리
10171,1092,-489.80093,-22.8518,740.43896,0,수정 덩어리
10172,1092,-450.09335,-24.675535,1148.6313,0,수정 덩어리
10173,1092,545.62616,-138.35014,1557.3551,0,수정 덩어리
10174,1093,1011.365,-92.97404,1199.003,0,수정 덩어리
10175,1093,490.2672,-138.392,1100.0627,0,수정 덩어리
10176,1093,636.43256,-32.505424,406.70428,0,수정 덩어리
10177,1093,1040.3163,-49.7748,34.840317,0,수정 덩어리
10178,1093,1386.4735,-184.60191,446.2796,0,수정 덩어리
10180,1094,1528.2429,-182.99448,956.65576,0,수정 덩어리
10181,1094,1790.861,-182.99727,1360.1935,0,수정 덩어리
10182,1094,1885.1018,-183.0687,1877.293,0,수정 덩어리
10183,1094,2791.5767,-183.0687,1818.9807,0,수정 덩어리
10184,1094,2661.2842,-183.0687,2092.9602,0,수정 덩어리
10185,1095,-1084.6144,4.8904,-584.1722,0,
10186,1096,-1571.3174,140.689,866.015,0,
10187,1097,-88.29938,7.4462,-156.16626,0,
10188,1095,608.99567,-136.23203,1120.4799,0,
10189,1096,992.44073,-49.7748,187.07608,0,
10190,1097,2779.5852,-183.0687,1975.9994,0,
10191,1098,-1439.4983,140.689,889.5071,0,
10192,1098,-522.6809,-22.993967,980.5384,0,
10193,1098,-149.25047,7.4462,-18.783997,0,
10194,1099,-2827.544,73.2211,-64.02524,-73,
10195,1099,-1207.3921,-64.3213,-1002.803,-23,
10196,1099,-237.95648,-24.804523,1107.5568,-96,
10197,1099,849.203,-93.171,1371.2614,-50,
10198,1099,955.4313,-49.7748,567.37555,-3,
10199,1099,2005.6244,-183.0687,1798.4647,-122,
10200,1100,2615,-185,2262,0,
10202,1102,-57.9033,7.4462,-229.1789,0,미노스 메이지
10203,1102,156.88048,7.4462,-98.13895,0,미노스 메이지
10204,1102,-213.10173,7.4462,-49.81977,0,미노스 메이지
10205,1102,-137.63998,7.4462,-313.59937,0,미노스 메이지
10206,1102,-550.52014,-19.235077,717.6094,0,미노스 메이지
10207,1102,-176.23914,-24.093428,1008.0814,0,미노스 메이지
10208,1102,-279.92258,-23.208727,785.41724,0,미노스 메이지
10209,1102,-590.88837,-22.8518,1022.4633,0,미노스 메이지
10210,1102,1771.2086,-183.0687,1721.4812,0,미노스 메이지
10211,1102,1903.4873,-183.0687,1849.806,0,미노스 메이지
10212,1102,1825.2021,-182.83185,1279.0964,0,미노스 메이지
10213,1102,1503.5311,-183.04922,926.72205,0,미노스 메이지
10214,1102,1344.4734,-184.25589,424.31067,0,미노스 메이지
10215,1102,1368.7836,-184.1987,585.5425,0,미노스 메이지
10216,1102,1056.7622,-49.7748,264.21475,0,미노스 메이지
10217,1102,659.3227,-10.57834,292.93542,0,미노스 메이지
10218,1102,513.6858,-137.85757,954.546,0,미노스 메이지
10219,1102,975.1419,-93.15414,1239.7661,0,미노스 메이지
10220,1102,844.8342,-93.171,1016.7222,0,미노스 메이지
10221,1102,493.42096,-138.356,1372.5052,0,미노스 메이지
10222,1102,1059.9288,-92.696075,1101.8811,0,미노스 메이지
10223,1102,391.95654,-138.39201,1159.3745,0,미노스 메이지
10224,1103,-1590.4058,72.29578,58.780037,0,
10226,1107,-1589.0459,72.29838,60.07848,0,
10227,1108,542.79047,-134.77533,1021.3508,0,광산 부베 궁수
10228,1109,1805,-179,1854,0,
10229,1110,-2886,73,-235,0,
10230,1110,960,-93,1310,0,
10231,1108,106.34069,-31.946655,1260.7706,0,광산 부베 궁수
10232,1108,471.01205,-134.77534,1375.7585,0,광산 부베 궁수
10233,1108,-515.8017,-19.449766,901.56604,0,광산 부베 궁수
10234,1108,-443.2308,-19.235077,1072.1567,0,광산 부베 궁수
10235,1108,-246.67549,9.061951,-129.141,0,광산 부베 궁수
10236,1108,-171.58879,9.061951,-288.95108,0,광산 부베 궁수
10237,1108,200.55548,9.061944,-44.075375,0,광산 부베 궁수
10238,1108,-1676.3381,141.23376,794.1245,0,광산 부베 궁수
10239,1108,-1442.5216,141.82018,904.6005,0,광산 부베 궁수
10240,1108,-1550.9677,141.23376,791.6068,0,광산 부베 궁수
10241,1108,-1625.4375,72.33671,-2.0595703,0,광산 부베 궁수
10242,1108,-1370.1881,72.47115,225.3512,0,광산 부베 궁수
10243,1108,-1052.0981,69.5775,63.720097,0,광산 부베 궁수
10244,1108,-1297.4869,72.56536,-146.22969,0,광산 부베 궁수
10245,1108,-1131.0072,5.4351654,-739.42084,0,광산 부베 궁수
10246,1108,-881.5156,-39.284275,-626.7854,0,광산 부베 궁수
10247,1108,-1063.436,-63.776535,-988.88464,0,광산 부베 궁수
10248,1108,-796.5477,-63.776535,-781.5021,0,광산 부베 궁수
10249,1108,-1023.9518,-63.776535,-1135.0225,0,광산 부베 궁수
10250,1108,-1343.9814,58.101627,-778.1223,0,광산 부베 궁수
10251,1108,-1378.5486,58.101627,-886.7538,0,광산 부베 궁수
10252,1108,-1393.5311,72.6092,36.91642,0,광산 부베 궁수
10253,1108,-1579.3844,142.0841,991.3881,0,광산 부베 궁수
10254,1108,-716.13245,-19.235077,978.5999,0,광산 부베 궁수
10255,1108,-107.60402,-26.354933,969.7013,0,광산 부베 궁수
10256,1108,-205.48857,-19.235077,727.15643,0,광산 부베 궁수
10257,1108,962.21783,-89.52059,1103.9874,0,광산 부베 궁수
10258,1108,1085.7666,-88.45268,1244.2865,0,광산 부베 궁수
10259,1108,923.5246,-89.55426,1289.3579,0,광산 부베 궁수
10260,1108,2091.8335,-184.45984,1595.6685,0,광산 부베 궁수
10261,1108,1865.6028,-183.38245,1775.0146,0,광산 부베 궁수
10262,1108,1766.9421,-183.38245,1701.0676,0,광산 부베 궁수
10263,1108,1843.8016,-184.39378,1398.113,0,광산 부베 궁수
10264,1108,1791.2521,-184.29765,1290.7379,0,광산 부베 궁수
10265,1108,1487.6581,-184.56645,907.54095,0,광산 부베 궁수
10266,1108,1589.2848,-184.05374,966.43756,0,광산 부베 궁수
10267,1108,1649.0443,-183.99818,879.4878,0,광산 부베 궁수
10268,1108,1412.831,-185.58983,571.32214,0,광산 부베 궁수
10269,1108,1267.2617,-185.43263,397.4555,0,광산 부베 궁수
10270,1108,987.05035,-50.957443,45.38874,0,광산 부베 궁수
10271,1108,1120.5825,-50.957443,433.71017,0,광산 부베 궁수
10272,1108,426.24976,-134.46445,989.888,0,광산 부베 궁수
10273,1108,621.29346,-49.940884,469.58566,0,광산 부베 궁수
10274,1108,636.77673,-82.33833,693.98755,0,광산 부베 궁수
220,700,140.29,9.16,191.32,178,
