ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
443,24,0,-1959.2913,602.8237,249.34772,-168,10,수정광산 2광구 1층
444,514,0,119,-45,-1162,-8.53,10,ROOT
445,514,0,-538,88,-70,-8.53,10,ROOT
446,514,0,522,265,-24,-8.53,10,ROOT
447,514,0,-560,408,521,-8.53,10,ROOT
1105,1020,0,-616.2608,401.9396,443.92184,0,0,부베 전사
1107,1022,0,172.20529,-51.228012,-1077.0809,0,0,부베 얼음 마법사
1109,1023,0,-206.5415,-50.27617,-508.90207,0,0,부베 전사
1128,1026,0,147,-50,-947,0,0,레드 크리스탈
1129,1027,0,623.936,261.99707,81.737274,0,0,블루 크리스탈
1130,1028,0,-610.7022,408.63437,375.54807,0,0,옐로 크리스탈
1132,1030,0,-401.99133,394.86462,687.4127,0,0,
1133,1031,0,-445.57016,381.1021,1015.1894,0,0,
1134,1032,0,-228.24712,336.4411,876.58984,0,0,
1135,1033,0,-84.32649,237.6691,416.3549,0,0,
1136,1034,0,-296.6383,147.75719,125.7319,0,0,
1137,1035,0,-395.57727,107.2989,-4.0902557,0,0,
1138,1036,0,-722.2515,60.590233,-362.42053,0,0,
1139,1037,0,-884.5096,39.787334,-581.728,0,0,
1140,1038,0,-481.30472,394.41733,797.20935,0,0,
1141,1039,0,-101.35493,285.80518,668.69183,0,0,
1142,1040,0,-173.48682,204.04996,297.8663,0,0,
1143,1041,0,-523.4596,87.87063,-136.84622,0,0,
1144,1044,0,-634.3551,91.93999,-230.13527,0,0,
1145,1042,0,-437.66034,398.5093,572.384,-46,0,경고표지판
1146,1043,0,693,230,1458,0,0,
1150,1047,0,-367.54276,397.56467,596.7277,0,0,UnvisibleName
1151,1047,0,-499.8219,396.25687,828.264,0,0,UnvisibleName
1152,1047,0,-324.60208,355.32715,976.861,0,0,UnvisibleName
1153,1048,0,-188.50542,321.3675,809.8148,0,0,UnvisibleName
1154,1048,0,-46.276516,272.03616,572.5292,0,0,UnvisibleName
1155,1048,0,-193.3601,191.28827,255.95715,0,0,UnvisibleName
