ClassID,GenType,PosX,PosY,PosZ,Direction,Name
82,7,-1317.3407,2.2923965,-1290.0428,0,주술인형
83,7,1907.6504,71.5563,-9.271048,0,주술인형
84,7,-147.98462,73.164,-661.03156,0,주술인형
85,7,1889.1278,28.4253,-1414.1587,0,주술인형
86,7,995.329,71.2507,85.54171,0,주술인형
124,8,2547.0293,71.5563,-125.38581,0,
125,9,-933,2,-2391,5,
1,100,2458,70,-53,-45,
2,101,1931,25,-1195,0,
3,101,2018,25,-1558,0,
4,101,1711,25,-1458,0,
5,101,1733,25,-1275,0,
6,101,1532,22,-1376,0,
7,101,1224.3494,75.0989,-1330.7084,0,
8,101,1156.6042,75.0989,-1482.1647,0,
9,102,-1386,8,-2368,-2,
201,201,1928,28,-1115,0,
202,202,2024,33,-1564,0,
203,203,1190,71,-20,0,
204,204,482,73,-569,0,
205,205,-1033,2,-674,0,
210,210,1025.6202,75.0989,-1356.4578,0,블라인들렘
211,210,1901.6804,28.4253,-1407.6364,0,블라인들렘
212,211,-375.34863,73.164,-448.5401,0,벨레그
221,210,1979.8394,71.5563,-91.792984,0,블라인들렘
223,210,-911.2397,2.2923965,-827.32666,0,블라인들렘
224,210,214.70383,71.2787,134.30368,0,블라인들렘
225,211,-1001.6938,2.2923965,-542.42615,0,벨레그
226,211,-1491.0902,-11.968201,-1213.8075,0,벨레그
246,219,2496.4275,71.5563,-158.59625,0,
247,219,-1225.1136,8.345703,-2347.0215,0,
252,1,-1233.47,10.149399,-1565.7408,0,
253,1,-1297.3345,2.2923965,-1163.4384,0,
254,1,-601.7124,9.633102,-928.62244,0,
255,1,-75.51962,73.164,-549.5192,0,
256,1,1018.0579,71.2507,-563.6439,0,
257,1,1019.06,75.0989,-1276.4159,0,
258,1,344.8463,71.2787,226.629,0,
259,1,1000.5682,71.2507,-32.50673,0,
260,1,1877.9807,28.4253,-1247.6713,0,
261,1,2036.519,71.5563,-97.05841,0,
262,211,-1344.2485,2.2923965,-1158.3971,0,벨레그
263,211,-1149.66,2.2923965,-792.2036,0,벨레그
264,211,-257.54813,73.164,-706.1676,0,벨레그
265,211,376.1453,73.164,-546.2456,0,벨레그
266,211,787.7381,71.2507,-561.0685,0,벨레그
267,211,-685.49963,9.633102,-1037.7317,0,벨레그
268,211,849.37915,71.2507,124.41502,0,벨레그
269,211,334.36154,71.2787,-276.03595,0,벨레그
270,211,480.1177,71.2787,104.52153,0,벨레그
271,220,1890.7637,71.5563,-276.26657,0,크로마독
272,220,1806.4221,71.5563,-88.11832,0,크로마독
273,220,2056.3113,71.5563,-99.81035,0,크로마독
274,220,1920.2054,28.4253,-1225.1904,0,크로마독
275,220,1745.0889,28.4253,-1386.6698,0,크로마독
276,220,1042.1647,75.0989,-1268.5201,0,크로마독
277,220,1034.9764,75.0989,-1475.8766,0,크로마독
278,220,898.83344,75.0989,-1327.3418,0,크로마독
279,220,993.0288,71.2507,-33.873566,0,크로마독
280,220,518.7277,71.2787,120.06935,0,크로마독
281,220,-104.32297,73.164,-569.91223,0,크로마독
282,220,338.75864,73.164,-558.56244,0,크로마독
283,220,1154.0022,71.2507,-564.26666,0,크로마독
292,220,1002.6016,71.2507,215.73451,0,크로마독
293,220,-434.44693,73.164,-634.022,0,크로마독
301,206,303.34415,71.2787,29.514408,0,실험체 슬라임
302,206,297.5315,71.2787,255.53534,0,실험체 슬라임
303,206,1001.9247,71.2507,-187.92426,0,실험체 슬라임
304,206,1820.1403,71.5563,-164.52592,0,실험체 슬라임
305,206,2023.7733,71.5563,-158.94469,0,실험체 슬라임
306,206,985.78033,75.0989,-1267.7897,0,실험체 슬라임
307,206,995.1765,75.0989,-1450.8601,0,실험체 슬라임
308,206,1952.113,28.4253,-1294.123,0,실험체 슬라임
309,206,1748.7242,28.4253,-1464.3452,0,실험체 슬라임
310,206,1004.7512,71.2507,-343.19214,0,실험체 슬라임
311,206,237.19907,73.55105,-564.3433,0,실험체 슬라임
314,206,-1192.1632,2.2923965,-684.8848,0,실험체 슬라임
315,206,-746.311,9.633102,-985.01,0,실험체 슬라임
316,206,-503.1838,9.633102,-833.2771,0,실험체 슬라임
317,206,-1499.5596,2.2923965,-1023.9939,0,실험체 슬라임
318,206,-1563.6483,2.2923965,-1373.9075,0,실험체 슬라임
319,206,-1003.8724,10.149406,-1379.8083,0,실험체 슬라임
320,206,1902.6228,44.439316,-433.4902,0,실험체 슬라임
321,206,1910.7083,21.694967,-627.4663,0,실험체 슬라임
322,221,973.41595,71.2507,81.120926,0,돌연변이 슬라임
323,210,265.48093,71.2787,-51.10402,0,블라인들렘
324,210,410.0188,71.2787,311.71732,0,블라인들렘
325,210,565.3083,71.2787,97.67298,0,블라인들렘
326,210,1783.4019,71.5563,-195.85757,0,블라인들렘
327,210,1842.9833,71.5563,-45.65327,0,블라인들렘
328,210,1901.9698,71.5563,-332.05515,0,블라인들렘
329,210,1729.7704,28.4253,-1385.2092,0,블라인들렘
330,210,1770.1063,28.4253,-1287.6307,0,블라인들렘
331,210,1939.6367,28.4253,-1260.6539,0,블라인들렘
332,210,2028.7748,28.4253,-1497.5675,0,블라인들렘
333,210,1824.5757,28.4253,-1533.838,0,블라인들렘
334,210,1070.8043,75.0989,-1467.4325,0,블라인들렘
335,210,936.10815,75.0989,-1501.964,0,블라인들렘
336,210,855.6918,75.0989,-1402.0452,0,블라인들렘
337,210,1034.6163,75.0989,-1206.0804,0,블라인들렘
338,210,924.03314,75.0989,-1254.5933,0,블라인들렘
339,210,1353.7721,25.7835,-1373.233,0,블라인들렘
340,210,1537.6055,25.7835,-1377.9417,0,블라인들렘
341,210,-1021.2734,2.2923965,-875.44116,0,블라인들렘
342,210,-1168.7859,2.2923965,-830.62836,0,블라인들렘
343,210,-1148.5804,2.2923965,-670.6097,0,블라인들렘
344,210,-960.2613,2.2923965,-651.8915,0,블라인들렘
345,210,-1015.4779,2.2923965,-537.34717,0,블라인들렘
346,220,890.8662,71.2507,-543.6962,0,크로마독
347,220,903.84247,71.2507,128.57948,0,크로마독
348,220,1955.0199,71.5563,-40.69555,0,크로마독
349,220,1903.1754,28.4253,-1505.819,0,크로마독
350,220,1941.9113,28.4253,-1409.4073,0,크로마독
351,220,1167.5089,75.0989,-1380.0353,0,크로마독
352,220,-285.3943,59.2703,-500.14584,0,크로마독
353,220,-271.80878,73.164,-751.8331,0,크로마독
354,220,158.61298,73.55105,-553.1037,0,크로마독
355,220,342.28195,71.2787,-133.91325,0,크로마독
356,220,254.06375,71.2787,25.156986,0,크로마독
357,211,-859.8411,9.633102,-1207.6437,0,벨레그
358,211,-416.77347,73.164,-630.5639,0,벨레그
359,211,167.00345,73.55105,-594.80865,0,벨레그
360,211,460.6744,73.55105,-518.9339,0,벨레그
361,211,1047.2975,71.2507,-499.3515,0,벨레그
362,211,1184.0549,71.2507,-570.39417,0,벨레그
363,211,1011.1339,71.2507,21.598434,0,벨레그
364,211,235.69858,71.2787,26.11716,0,벨레그
365,211,-501.5403,9.633102,-865.5036,0,벨레그
366,7,-1509.8949,2.2923965,-1342.0801,0,주술인형
367,7,-1639.3333,2.2923965,-1163.9647,0,주술인형
368,7,-1341.1572,2.2923958,-1115.9087,0,주술인형
369,7,-343.5158,73.164,-710.1771,0,주술인형
370,7,-425.8968,73.164,-546.14667,0,주술인형
371,7,-297.71097,59.2703,-544.27985,0,주술인형
372,7,-236.08319,72.03182,-430.24316,0,주술인형
373,7,856.60736,71.2507,114.36521,0,주술인형
374,7,1004.0348,71.2507,261.98605,0,주술인형
375,7,1133.3861,71.2507,97.43249,0,주술인형
376,7,1009.6263,71.2507,-72.45756,0,주술인형
377,7,1841.6116,71.5563,-219.30786,0,주술인형
378,7,2051.7598,71.5563,-90.08849,0,주술인형
379,7,1894.0302,28.4253,-1238.8832,0,주술인형
380,7,1745.7709,28.4253,-1362.3739,0,주술인형
381,7,2031.6908,28.4253,-1364.7045,0,주술인형
382,7,1784.0067,28.4253,-1523.2876,0,주술인형
383,222,951.6255,71.2507,330.93353,0,
384,223,2066.69,20.58,-593.81,0,
