ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,NPCID,Name
1,1,676.36,359.31,-842.49,0,0,401623,화룡
155,100,-2555,525,-190,-60,10,0,
157,8,-2473,494,-294,-25,0,40001,WarpSpot
158,9,1808.94,526.84,694.11,0,0,20101,
201,201,-460,322,-831,0,0,147312,수상한 종이
202,202,1306,432,-910,0,0,40035,수상한 상자
203,203,1370,340,-225,0,0,20025,수상한 책상
215,206,-609.71,361.59,48.13,-98,0,0,FTOWER43_MQ_04_TRIGGER
217,208,1274.03,432.74,-793.38,0,0,0,FTOWER43_MQ_06_TRIGGER
223,212,-1556.8,536.99,810.04,0,0,0,아르마
224,213,-296.8105,435.3824,-1248.625,0,0,0,붉은 인프로 락터
225,213,-200.1685,358.899,-504.59277,0,0,0,붉은 인프로 락터
226,213,-524.81,355.03,-282.31,0,0,0,붉은 인프로 락터
227,213,117.9614,355.0444,-685.6401,0,0,0,붉은 인프로 락터
228,214,-1228.7,435.48,-820.35,0,0,0,아르마
229,214,-1116.71,435.48,-706.79,0,0,0,아르마
230,214,-695.5652,358.899,-756.50616,0,0,0,아르마
232,216,1265.03,353,74.42,0,0,0,플라스크 메이지
236,218,1460.343,432.7419,-761.3891,0,0,0,플라스크 메이지
239,219,-1668,537,866,30,0,0,
240,219,-1035,359,-147,40,0,0,
241,219,-1762,537,696,90,0,0,
242,219,-1524,537,895,120,0,0,
243,219,-1166.43,358.9,-73.99,150,0,0,
244,219,-947,359,53,180,0,0,
245,219,-1079.01,450.69,449.85,-15,0,0,
246,219,-1178.22,393.9,176.63,-35,0,0,
247,219,-1526,536,398,-75,0,0,
248,219,-1188.98,379.21,-249.92,-150,0,0,
253,233,-1598,554,708,-45,0,0,
254,234,669,359,-730,176,0,0,
255,235,-2497.064,525.3366,-129.00761,0,0,0,
256,235,-2449.462,487.1746,-285.99207,0,0,0,
257,236,1809.8867,526.0035,653.3783,0,0,0,
