ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
2,2,47401,-80.270546,435.3824,-1357.3282,0,0,위저드 주술인형
60,6,47309,-584.8921,322.3343,-619.7245,0,0,호그마 파수꾼
61,6,47309,-1119.4448,358.89896,3.8825665,0,0,호그마 파수꾼
62,6,47309,675.9948,363.9497,-247.63174,0,0,호그마 파수꾼
90,7,20101,584.4926,280.7716,-1318.8895,0,0,마법사의 탑 3층
91,8,20101,-2718.1426,576.2475,62.12241,0,0,마법사의 탑 5층
56,100,0,527.4817,280.69162,-1362.5111,0,10,그리타
201,201,10020,1262,328,-184,0,10,퍼리 오드
202,202,10020,1896,505,253,0,0,퍼리 오드
203,203,20026,1780,510,507,0,0,투명트리거
204,204,47223,32,440,310,0,0,수상한 장작 더미
205,205,20025,-453.0844,364.3753,-1449.6229,0,0,수상한 톱니바퀴
206,207,0,158.01372,440.05786,113.65091,0,0,마력 안정화 장치
211,211,0,-2194.9106,525.40753,62.185917,0,0,FTOWER44_MQ_05_TRIGGER
222,215,0,-391.8288,322.3343,-617.74286,0,0,불꽃의 결정
223,215,0,-554.4518,322.3343,-736.58185,0,0,불꽃의 결정
224,215,0,-495.4181,435.3824,-1278.5789,0,0,불꽃의 결정
225,218,0,-568.1971,355.7188,-367.17578,0,0,경고판
257,223,0,-1603,536,614,0,0,마력 제어 마법진
258,215,0,-418.77368,372.0525,-1561.8726,0,0,불꽃의 결정
259,215,0,-267.79495,364.3754,-1334.4242,0,0,불꽃의 결정
260,224,0,571.5973,286.57236,-1423.363,0,0,필드젠 X
261,225,0,-2760.1038,576.2475,68.697174,0,0,필드젠 X
262,225,0,1312.5975,323.6079,-79.11691,0,0,필드젠 X
263,225,0,1805.5024,507.39706,359.27588,0,0,필드젠 X
265,1,0,-2322.5916,532.0129,-83.42691,0,0,나무뿌리 수정
266,1,0,-1583.9591,535.4942,394.2735,0,0,나무뿌리 수정
267,1,0,-956.50854,450.58652,478.423,0,0,나무뿌리 수정
268,1,0,-1053.1573,358.89896,-47.495438,0,0,나무뿌리 수정
269,1,0,-325.92365,394.86768,-1118.4203,0,0,나무뿌리 수정
