ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,2,-98,387,41,0,47395,0,디머
2,3,-73,387,100,0,47399,0,검은 주술인형
99,10,-1215.6006,185.03549,-2087.1436,0,20101,0,마법사의 탑 4층
201,201,-1361,347,-1314,0,20016,0,사이먼 쇼우
202,202,-1239,610,24,0,20016,0,사이먼 쇼우
203,203,-1430,595,-193,0,20026,0,투명트리거
204,204,599,245,1146,0,147305,0,하우벅
205,205,197,145,1441,0,20026,0,투명트리거
103,103,-576,282,-1092,-90,147307,0,마력 억제기1
105,105,-501,467,-745,-45,147307,0,마력 억제기2
107,107,-12,378,26,1,147307,0,마력 억제기3
109,109,-223,246,1036,-18,147307,0,마력 억제기4
110,110,826.4413,254.16656,2333.9795,0,20026,0,투명트리거
112,112,837.07,254.17,2330.39,-90,20016,0,여신 가비야
206,206,-1240.353,516.5464,-701.412,0,0,0,검은 드레이크
207,207,-1243.5511,516.5464,-727.2233,0,0,0,검은 드레이크
208,207,-957.8033,276.19434,-1269.8102,0,0,0,검은 드레이크
210,208,-1228.9856,516.3389,-266.35526,0,0,0,디머
211,208,-1232.9398,228.9243,-1621.7438,0,0,0,디머
212,209,-927.15485,552.6052,-78.26698,0,0,0,검은 주술 인형
213,209,-1540.2998,606.9203,-187.42065,0,0,0,검은 주술 인형
214,208,-576.1389,467.00067,-689.03845,0,0,0,디머
216,207,-825.5958,512.0825,-56.322514,0,0,0,검은 드레이크
217,209,-907.0995,468.02,-688.7751,0,0,0,검은 주술 인형
218,210,-1689.0787,420.4852,-643.71967,0,0,0,여신 바카리네의 상
220,212,-1246.5836,185.07283,-1979.4718,0,0,0,필드젠 X
221,213,-1233.9153,569.99115,-32.166412,0,0,0,필드젠 X
222,212,829.4332,254.16658,2297.354,0,0,0,필드젠 X
223,214,839.33,254.27,2290.11,0,0,0,UnvisibleName
224,1,-1254.4221,228.9243,-1707.8021,0,0,0,나무뿌리 수정
225,1,-1617.6847,418.72388,-1272.0352,0,0,0,나무뿌리 수정
226,1,-854.49963,276.1944,-1269.4781,0,0,0,나무뿌리 수정
227,1,-1251.8391,516.5464,-754.6408,0,0,0,나무뿌리 수정
228,1,-576.49884,467.3636,-645.8988,0,0,0,나무뿌리 수정
229,1,-1569.0043,606.9202,-194.61217,0,0,0,나무뿌리 수정
230,1,45.183353,387.00388,120.14347,0,0,0,나무뿌리 수정
231,1,-96.45741,246.8437,1038.3564,0,0,0,나무뿌리 수정
232,1,483.8544,156.2763,641.06976,0,0,0,나무뿌리 수정
233,1,-28.27198,150.02634,1524.0739,0,0,0,나무뿌리 수정
234,1,773.9018,250.3736,1890.2533,0,0,0,나무뿌리 수정
235,1,985.46906,194.25684,1263.3536,0,0,0,나무뿌리 수정
236,215,860.45483,254.16655,2355.3677,-90,0,0,그리타 피닉스
237,207,-1201.6681,323.8908,-1284.179,0,0,0,검은 드레이크
238,207,-1276.3031,283.77512,-1407.9575,0,0,0,검은 드레이크
239,207,-1347.0034,335.6269,-1263.3864,0,0,0,검은 드레이크
240,207,-1259.1754,323.8908,-1204.0795,0,0,0,검은 드레이크
241,207,-800.1002,276.1944,-1230.9626,0,0,0,검은 드레이크
242,207,-661.994,276.31213,-1332.8771,0,0,0,검은 드레이크
243,207,-591.1185,274.7235,-1162.85,0,0,0,검은 드레이크
244,207,-1219.26,516.54645,-900.71014,0,0,0,검은 드레이크
245,207,-849.5071,468.01993,-664.48834,0,0,0,검은 드레이크
246,207,-1219.597,516.5311,-607.55304,0,0,0,검은 드레이크
247,207,-1070.7982,468.02014,-623.50885,0,0,0,검은 드레이크
248,207,-1224.9662,516.3389,-455.15387,0,0,0,검은 드레이크
249,207,-1226.217,437.59476,-1028.6232,0,0,0,검은 드레이크
250,216,-144.90025,246.59415,977.3362,0,0,0,검은 드레이크
251,216,-112.81907,246.8436,1118.8971,0,0,0,검은 드레이크
252,216,-10.799919,246.83766,1016.868,0,0,0,검은 드레이크
253,216,578.6682,150.55316,800.4728,0,0,0,검은 드레이크
254,216,592.8426,150.5531,966.4425,0,0,0,검은 드레이크
255,216,477.22803,168.48697,886.6905,0,0,0,검은 드레이크
256,216,704.6442,149.76176,861.03326,0,0,0,검은 드레이크
257,216,50.485153,150.06496,1414.5093,0,0,0,검은 드레이크
258,216,24.145182,150.38913,1553.5378,0,0,0,검은 드레이크
259,216,-155.91039,150.0259,1531.6833,0,0,0,검은 드레이크
260,216,991.77856,194.25688,1233.0066,0,0,0,검은 드레이크
261,216,855.91595,194.25696,1318.8959,0,0,0,검은 드레이크
262,216,634.865,246.06403,1271.3945,0,0,0,검은 드레이크
263,216,408.35327,146.25237,1459.7797,0,0,0,검은 드레이크
264,216,702.97815,245.85675,1455.4922,0,0,0,검은 드레이크
265,217,996.5594,194.25684,1290.1284,0,0,0,디머
266,217,59.667873,150.36713,1518.024,0,0,0,디머
267,217,-99.10565,246.8437,1037.8433,0,0,0,디머
268,217,-219.07722,246.48077,1043.8896,0,0,0,디머
269,217,960.7126,149.3552,815.4792,0,0,0,디머
270,217,561.0684,150.5531,863.34924,0,0,0,디머
271,217,726.9662,245.85677,1603.6603,0,0,0,디머
272,217,779.35,250.3736,1866.5616,0,0,0,디머
273,217,660.94476,246.0641,1364.1628,0,0,0,디머
274,217,353.21655,146.2524,1408.167,0,0,0,디머
275,217,646.8984,246.06444,1169.5691,0,0,0,디머
276,218,-117.42086,150.23848,1675.7985,0,0,0,사이코키노 마법서 5권
277,219,-1706.06,607.02,-187.25,0,0,0,보물 상자 LV1
