ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,215,611,3115,135,0,10,WarpSpot
3,2,-286,622,-3924,169,40001,10,WarpSpot
4,3,1980.25,623.04,-1018.94,-169,40001,10,WarpSpot
508,28,108,674,311,0,400381,10,메슘
605,601,-861,765,-2339,0,40080,10,경고문
701,514,7,623,-3309,0,11120,30,부베 약탈자
702,514,-156,623,-3328,0,11120,30,부베 약탈자
703,514,-140,623,-3163,0,11120,30,부베 약탈자
704,514,704,515,-3313,0,11120,30,부베 약탈자
705,514,834,515,-3272,0,11120,30,부베 약탈자
706,514,-973.5,525.39,-3090.4,0,11120,30,부베 약탈자
707,514,-917.73,525.39,-3343.49,0,11120,30,부베 약탈자
708,514,-173,660,-2241,0,11120,30,부베 약탈자
709,514,-278,660,-2072,0,11120,30,부베 약탈자
710,514,-341,660,-2387,0,11120,30,부베 약탈자
711,514,-168,660,-2111,0,11120,30,부베 약탈자
712,514,-1065,776,-2404,0,11120,30,부베 약탈자
713,514,-1208,776,-2424,0,11120,30,부베 약탈자
714,514,282,736,-1342,0,11120,30,부베 약탈자
715,514,191,736,-1184,0,11120,30,부베 약탈자
716,514,35,736,-1170,0,11120,30,부베 약탈자
717,514,9,736,-1301,0,11120,30,부베 약탈자
718,514,139,736,-1010,0,11120,30,부베 약탈자
719,514,-580,650,-757,0,11120,30,부베 약탈자
720,514,-820,611,-1313,0,11120,30,부베 약탈자
721,514,-720,611,-1461,0,11120,30,부베 약탈자
722,514,-778,650,-721,0,11120,30,부베 약탈자
723,514,339,625,-23,0,11120,30,부베 약탈자
724,514,277,674,309,0,11120,30,부베 약탈자
725,514,-44,674,255,0,11120,30,부베 약탈자
726,514,-615,759,221,0,11120,30,부베 약탈자
727,514,120,612,1111,0,11120,30,부베 약탈자
728,514,1011,606,948,0,11120,30,부베 약탈자
729,514,1226,606,899,0,11120,30,부베 약탈자
730,514,749,604,2334,0,11120,30,부베 약탈자
731,514,671,602,2660,0,11120,30,부베 약탈자
732,514,557,602,2830,0,11120,30,부베 약탈자
733,514,851,602,2439,0,11120,30,부베 약탈자
734,514,1716,504,2622,0,11120,30,부베 약탈자
735,514,1974,463,1722,0,11120,30,부베 약탈자
736,514,2128,461,1677,0,11120,30,부베 약탈자
737,514,2085,467,1514,0,11120,30,부베 약탈자
738,514,2040,507,751,0,11120,30,부베 약탈자
