ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,40001,-412,221,-37,-172,1,WarpSpot
139,36,400361,1757.1486,331.9713,27.663185,0,0,지뷰 그리바
199,20,11120,72.77144,221.2254,-39.38771,0,1,부베 약탈자
200,20,11120,921.461,332.3606,118.80305,0,1,부베 약탈자
201,20,11120,1247.6375,331.97134,45.39395,0,1,부베 약탈자
202,20,11120,769.1818,332.3606,81.62121,0,1,부베 약탈자
204,20,11120,878.9601,332.3722,599.0032,0,1,부베 약탈자
205,20,11120,895.135,332.3722,923.43164,0,1,부베 약탈자
207,20,11120,1409.3766,418.3634,1102.6736,0,1,부베 약탈자
208,20,11120,1476.2648,418.3634,1295.955,0,1,부베 약탈자
209,20,11120,1746.7504,418.3634,1241.5304,0,1,부베 약탈자
211,20,11120,1668.463,418.3634,1037.216,0,1,부베 약탈자
212,20,11120,2281.0168,418.3634,1436.9515,0,1,부베 약탈자
213,20,11120,2040.9397,418.3634,1364.8846,0,1,부베 약탈자
214,20,11120,2360.8254,418.3634,1313.5062,0,1,부베 약탈자
215,20,11120,2931.3462,332.3721,1213.8942,0,1,부베 약탈자
216,20,11120,5141.0337,333.2023,-203.81564,0,1,부베 약탈자
217,20,11120,3295.3403,332.3721,1118.5864,0,1,부베 약탈자
219,20,11120,3120.7666,332.3721,1211.7893,0,1,부베 약탈자
220,20,11120,823,258,-562,0,1,부베 약탈자
221,20,11120,888.14594,208.0713,-1175.6289,0,1,부베 약탈자
222,20,11120,1338.5209,208.0713,-1039.67,0,1,부베 약탈자
223,20,11120,920.25085,309.5486,-208.70482,0,1,부베 약탈자
224,20,11120,1120.339,208.0713,-1272.1024,24,1,부베 약탈자
225,20,11120,993.76965,208.0713,-1468.4265,0,1,부베 약탈자
226,20,11120,1595.4456,208.0713,-1067.399,0,1,부베 약탈자
227,20,11120,1827.5634,208.0713,-1008.0117,0,1,부베 약탈자
228,20,11120,2422.084,122.08,-1160.1775,0,1,부베 약탈자
229,20,11120,2725.5146,122.08,-1130.3284,0,1,부베 약탈자
230,20,11120,2608.5156,122.08,-1376.185,0,1,부베 약탈자
231,20,11120,1807,331,27,0,1,부베 약탈자
232,20,11120,1934,333,-36,0,1,부베 약탈자
233,20,11120,1934,331,-203,0,1,부베 약탈자
234,20,11120,2599,333,422,0,1,부베 약탈자
235,20,11120,3309.1965,393.93494,-276.24326,0,1,부베 약탈자
236,20,11120,3467.7197,400.7516,-479.16724,0,1,부베 약탈자
237,20,11120,3726.8816,391.30682,-439.6291,0,1,부베 약탈자
238,20,11120,4407.8,333.2023,-189.85252,0,1,부베 약탈자
239,20,11120,4650.6157,333.2023,-124.9798,0,1,부베 약탈자
240,20,11120,4796.2583,333.2023,-225.70631,0,1,부베 약탈자
241,20,11120,5540.859,333.2023,-228.55682,0,1,부베 약탈자
242,20,11120,5879.357,333.2023,-236.01855,0,1,부베 약탈자
243,20,11120,2827.6602,331.9714,337.4762,0,1,부베 약탈자
1011,107,0,1380.6516,418.3634,1073.5006,0,0,메슘
1024,112,0,3652.0889,400.7516,-233.22986,-96,0,신도 브로뉴스
1028,116,0,1685.2189,418.3634,1220.8176,0,0,체이퍼러
1034,117,0,5836.8965,333.2023,-186.57004,0,0,필드젠X
1036,119,0,2560.942,122.08,-1262.1929,0,0,필드젠X
1037,120,0,3107.056,332.3721,1136.1581,0,0,필드젠X
1038,121,0,985,208,-1550,270,0,해진깃발 숲
1042,122,0,1909.4109,331.97137,14.230663,0,0,체이퍼러
1045,124,0,794.4534,332.3606,83.33458,0,0,암몬
1047,126,0,692.34424,222.55785,-944.92554,0,0,신도 사만타
1048,127,0,1497.8711,331.97134,151.35023,0,0,신도 카지스
1049,128,0,-110.96042,221.2254,116.21255,0,0,신도 유르가
1050,129,0,4565.751,333.2023,-58.034164,0,0,신도 유르가
1051,130,0,2800,122,-1325,-13,0,브람블의 뿌리
1052,131,0,3305,332.3721,1084,-8,0,브람블의 뿌리
1053,133,0,1012,208,-1241,-107,0,정화의 제단
1054,134,0,2003,331,-3,0,0,정화의 제단
1055,135,0,223.59164,221.2254,59.787212,0,0,메슘
1057,137,0,5306.488,333.2023,-165.16939,0,0,
1058,122,0,1555.517,208.0713,-1009.1306,0,0,체이퍼러
1059,138,0,1085.1206,208.0713,-1445.903,90,0,출입 경고문
1060,107,0,1428.4888,418.3634,1293.3055,0,0,메슘
1061,107,0,1648.1229,418.3634,1044.516,0,0,메슘
1062,107,0,1664.4006,418.3634,1320.9601,0,0,메슘
1063,107,0,913.66156,332.3722,857.8908,0,0,메슘
1064,107,0,965.24396,332.3722,1043.8346,0,0,메슘
1065,122,0,1147.3901,208.0713,-1086.0521,0,0,체이퍼러
1067,122,0,1778.0083,208.0713,-1006.223,0,0,체이퍼러
1068,122,0,890.48376,208.0713,-1300.6722,0,0,체이퍼러
1069,122,0,1128.9983,208.0713,-1253.2965,0,0,체이퍼러
1070,122,0,2158.805,418.86343,1370.4137,0,0,체이퍼러
1071,122,0,2251.1528,418.3634,1470.3317,0,0,체이퍼러
1072,122,0,1648.2377,418.86343,1029.4897,0,0,체이퍼러
1073,122,0,1486.4159,418.3634,1304.442,0,0,체이퍼러
1074,122,0,1702.1409,331.9714,-194.51215,0,0,체이퍼러
1075,135,0,182.62596,221.2254,-32.67868,0,0,메슘
1076,135,0,463.0593,284.7219,74.860756,0,0,메슘
1077,135,0,726.5241,332.3611,217.42732,0,0,메슘
1078,135,0,757.0701,332.3611,53.849876,0,0,메슘
1079,135,0,953.81085,332.86108,99.06822,0,0,메슘
1080,139,0,815.1485,208.0713,-1084.2322,0,0,인프로 홀더 주술사
1081,139,0,1091.9635,208.0713,-1300.608,0,0,인프로 홀더 주술사
1082,139,0,1243.9862,208.0713,-1065.2133,0,0,인프로 홀더 주술사
1083,139,0,1637.9567,208.0713,-944.67773,0,0,인프로 홀더 주술사
1084,139,0,1815.6641,208.0713,-1084.075,0,0,인프로 홀더 주술사
1085,140,0,3414.4111,400.7516,-459.06192,0,0,인프로 홀더 주술사
1086,140,0,3673.469,400.7516,-418.80933,0,0,인프로 홀더 주술사
1088,140,0,4456.3984,333.2023,-76.69896,0,0,인프로 홀더 주술사
1089,140,0,4546.692,333.2023,-218.86513,0,0,인프로 홀더 주술사
1090,140,0,4788.827,333.2023,-198.43614,0,0,인프로 홀더 주술사
1091,141,0,968.5147,208.57126,-1485.1272,0,0,필드젠x
1092,141,0,-319.40115,221.72545,-53.542946,0,0,필드젠x
1093,107,0,846.40826,332.87216,944.736,0,0,메슘
1094,107,0,1551.4214,418.86343,1083.5773,0,0,메슘
1095,107,0,1550.0206,418.86343,1228.7615,0,0,메슘
1096,107,0,1748.5543,418.86343,1194.1893,0,0,메슘
1097,107,0,1902.5503,418.86343,1404.2194,0,0,메슘
1098,107,0,1968.4153,418.86343,1305.985,0,0,메슘
1099,107,0,1346.2823,418.86343,1184.1682,0,0,메슘
1100,122,0,973.1894,208.57126,-1160.886,0,0,체이퍼러
1101,122,0,1684.9624,208.57126,-1093.7141,0,0,체이퍼러
1102,122,0,1721.2502,332.47137,49.625923,0,0,체이퍼러
1103,122,0,1623.6982,332.4714,-70.553566,0,0,체이퍼러
1104,122,0,1923.0854,332.47137,-113.07788,0,0,체이퍼러
1105,122,0,1410.9523,418.86343,1169.3479,0,0,체이퍼러
1106,122,0,1692.7091,418.86343,1144.575,0,0,체이퍼러
1107,122,0,1078.2408,208.57126,-1364.932,0,0,체이퍼러
1108,122,0,1668.15,208.57126,-972.8998,0,0,체이퍼러
1109,122,0,890.0332,208.57126,-1136.7402,0,0,체이퍼러
1110,122,0,1865.9677,332.4714,-222.07999,0,0,체이퍼러
1111,135,0,288.73026,221.72542,-28.54348,0,0,메슘
1112,135,0,639.7149,332.86108,147.71576,0,0,메슘
1113,135,0,849.508,332.86108,-15.677112,0,0,메슘
1114,135,0,845.6626,332.86108,120.27714,0,0,메슘
1115,135,0,828.80994,332.86963,437.3472,0,0,메슘
1116,140,0,4673.6704,333.7023,-88.1009,0,0,인프로 홀더 주술사
1117,140,0,3541.261,401.25156,-263.9928,0,0,인프로 홀더 주술사
1118,140,0,3381.5176,401.25156,-287.4248,0,0,인프로 홀더 주술사
1119,140,0,1601.7301,418.86343,1254.8358,0,0,인프로 홀더 주술사
1120,140,0,1401.1201,418.86343,1058.0656,0,0,인프로 홀더 주술사
1121,140,0,1385.4783,418.86343,1353.6147,0,0,인프로 홀더 주술사
1122,122,0,3016.4985,332.8721,1057.8936,0,0,체이퍼러
1123,122,0,3144.4678,332.8721,1306.7463,0,0,체이퍼러
1124,122,0,3214.1245,332.8721,1027.6534,0,0,체이퍼러
1125,122,0,2979.1333,332.8721,1276.1603,0,0,체이퍼러
1126,122,0,3097.049,332.8721,1180.2433,0,0,체이퍼러
1127,107,0,2468.3186,122.57999,-1242.1716,0,0,메슘
1128,107,0,2526.0796,122.57999,-1376.9376,0,0,메슘
1129,107,0,2734.7866,122.57999,-1286.911,0,0,메슘
1130,107,0,2746.427,122.57999,-1148.8962,0,0,메슘
1131,107,0,2519.6829,122.57999,-1123.0706,0,0,메슘
1132,107,0,2599.4756,122.57999,-1212.1168,0,0,메슘
1133,107,0,2664.9524,122.57999,-1398.87,0,0,메슘
1134,107,0,2396.142,122.57999,-1143.1467,0,0,메슘
1135,142,0,-456.07,221.33,-407.21,0,0,보물 상자 LV1
1136,143,0,3447.9968,401.25156,-501.94983,0,0,오염된 기운
1137,143,0,3359.3425,401.25156,-328.0631,0,0,오염된 기운
1138,143,0,3107.1995,333.27213,-107.622,0,0,오염된 기운
1139,143,0,3108.5503,332.4714,217.51422,0,0,오염된 기운
1140,143,0,2818.7095,332.4714,364.6772,0,0,오염된 기운
1141,143,0,2666.678,332.4714,387.965,0,0,오염된 기운
1142,143,0,3630.021,401.25156,-476.16953,0,0,오염된 기운
1143,143,0,3580.9893,401.25156,-290.95248,0,0,오염된 기운
1144,143,0,3798.958,364.66455,-421.09003,0,0,오염된 기운
1145,143,0,3914.9512,333.7023,-374.25833,0,0,오염된 기운
1146,143,0,4041.5364,333.7023,-476.59515,0,0,오염된 기운
1147,143,0,4305.8643,333.7023,-314.0852,0,0,오염된 기운
1148,143,0,4400.65,333.7023,-171.63477,0,0,오염된 기운
1149,143,0,3209.1,364.13272,-222.78627,0,0,
1150,143,0,3129.2378,333.00458,46.739655,0,0,
1151,143,0,2976.9355,332.73782,290.43298,0,0,
1152,143,0,4212.357,333.7023,-456.00403,0,0,
