ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
5,7,40001,30,261,-2423,-90,10,WarpSpot
6,8,40001,32,309,2863,89,10,WarpSpot
7,9,40001,-1418,241,-2199,172,10,WarpSpot
8,10,40001,1080,243,-2192,-176,10,WarpSpot
1008,1006,11120,57,336,332,0,10,부베 약탈자
1009,1006,11120,43,336,-70,0,10,부베 약탈자
600,600,11120,-42,252,-1123,-27,10,부베 약탈자
601,600,11120,1230,335,72,-27,10,부베 약탈자
602,600,11120,-872,334,75,-27,10,부베 약탈자
603,600,11120,52,289,1357,-27,10,부베 약탈자
1,504,11120,37.35041,261.6406,-2046.5947,-90,10,부베 약탈자
9,16,11120,48.168915,252.5366,-1127.5994,0,10,부베 약탈자
2,16,11120,60.15347,287.7599,-1326.4347,0,10,부베 약탈자
3,16,11120,-225.14908,252.7638,-981.98926,0,10,부베 약탈자
10,16,11120,274.53488,252.47319,-960.9543,0,10,부베 약탈자
11,16,11120,157,252,-883,0,10,부베 약탈자
12,16,11120,28.465336,292.0851,-606.27515,0,10,부베 약탈자
13,16,11120,26.675552,210.226,-944.6403,0,10,부베 약탈자
14,16,11120,27.162996,252.5819,-777.1676,0,10,부베 약탈자
30,15,11120,179,252,-920,0,10,부베 약탈자
31,15,11120,65,253,-749,0,10,부베 약탈자
32,15,11120,19.445171,210.226,-987.9126,0,10,부베 약탈자
33,15,11120,42.335358,252.5819,-817.76025,0,10,부베 약탈자
34,15,11120,291.86768,252.4419,-994.27924,0,10,부베 약탈자
35,15,11120,45.488865,252.5366,-1156.5984,0,10,부베 약탈자
36,15,11120,45.27692,289.6505,-1357.6157,0,10,부베 약탈자
38,15,11120,-171.11179,252.7638,-974.12683,0,10,부베 약탈자
20,14,11120,-11,253,-1206,0,10,부베 약탈자
21,14,11120,-106.33319,252.7638,-1012.2265,0,10,부베 약탈자
22,14,11120,46.2577,292.0851,-551.92035,0,10,부베 약탈자
23,14,11120,88.2622,210.226,-1006.3867,0,10,부베 약탈자
24,14,11120,-2.1840267,252.5819,-690.25494,0,10,부베 약탈자
97,14,11120,167.84125,252.3104,-1061.8689,0,10,부베 약탈자
98,14,11120,27.683327,289.6505,-1397.3402,0,10,부베 약탈자
99,14,11120,333.28085,252.45691,-978.33026,0,10,부베 약탈자
100,505,11120,-567,252,-929,-90,10,부베 약탈자
101,17,11120,-871.8037,252.7638,-844.1492,0,10,부베 약탈자
130,17,11120,-1145.6652,252.7638,-840.3893,88,10,부베 약탈자
131,17,11120,-1154.0303,252.7638,-1105.3882,88,10,부베 약탈자
215,17,11120,-869.80994,252.7638,-1113.928,87,10,부베 약탈자
1021,1018,45324,1474.38,267.33,-2200.65,178,30,성궤
1022,1019,47102,-1031,267,-2204,0,30,협곡지대 장치 1
216,506,41273,-1020,252,-477,-90,10,베스퍼
217,507,41273,-530,341,176,-80,10,베스퍼
218,508,41273,50,330,1191,0,10,베스퍼
105,3000,41273,856,335,222,-50,10,베스퍼
224,3001,41273,1111,253,-757,-90,10,베스퍼
225,3002,41273,-95,335,280,-90,10,베스퍼
226,3003,41273,-1006,332,1408,0,10,베스퍼
227,3004,41273,1112,331,1408,0,10,베스퍼
1027,1020,401301,-122,335,171,0,0,지누테카스
1045,3005,401301,49,289,1420,0,0,지누테카스
1052,3007,0,1438.6641,267.3323,-2202.2078,0,0,필드젠X
1053,3006,0,62.891552,289.6777,1415.3289,0,0,바브
1054,3008,0,41.6494,335.7168,187.01646,0,0,부우크
1055,3009,0,56.74465,335.7168,145.61552,0,0,부우크
1059,3010,0,-895.0793,332.5985,1393.7487,0,0,바브
1062,3010,0,-982.53577,252.7638,-880.54266,0,0,바브
1066,3009,0,1133.5869,335.4517,129.34186,0,0,부우크
1067,1020,0,-105.33216,332.5985,1393.9225,0,0,지누테카스
1069,1020,0,1262.8569,335.4517,51.245697,0,0,지누테카스
1071,3012,0,-1036.2953,267.3323,-2192.3264,0,0,필드젠X
1083,3015,0,-68.32312,261.6406,-2170.4727,-33,0,여신 바카리네의 상
1084,3012,0,47.483116,261.6406,-2131.0786,0,0,필드젠X
1085,3016,0,159.71805,326.632,762.7321,-84,0,왕릉 비석
1086,3017,0,-1054,334,383,-90,0,오작동하는 수호장치
1087,3017,0,-943,334,383,-90,0,오작동하는 수호장치
1089,3019,0,37.607677,313.244,943.5803,0,0,카라스
1090,3019,0,450.78674,331.8696,1388.285,0,0,카라스
1091,3019,0,-427.6086,332.5985,1398.524,0,0,카라스
1092,3019,0,1215.1661,331.8696,1290.5748,0,0,카라스
1093,3019,0,979.7895,335.4517,84.12612,0,0,카라스
1094,3019,0,1115.1082,331.8696,1343.8842,0,0,카라스
1095,3019,0,-898.6503,332.59857,1292.6226,0,0,카라스
1096,3019,0,-925.0941,332.5985,1507.7754,0,0,카라스
1097,3019,0,35.962864,327.8331,1145.4248,0,0,카라스
1098,3019,0,-1108.5132,332.5985,1277.6677,0,0,카라스
1099,3019,0,1001.6533,331.8696,1525.965,0,0,카라스
1100,3020,0,50.061626,305.1428,2789.9949,0,0,필드젠X
1101,3021,0,56.303253,335.7168,94.40272,0,0,지누카스
1102,3022,0,51.830273,252.5819,-822.0632,0,0,필드젠x
1103,3022,0,52.691452,252.5366,-1129.6018,0,0,필드젠x
1104,1020,0,-41.13156,335.7168,25.679314,0,0,지누테카스
1105,1020,0,-4.644928,335.7168,-86.01132,0,0,지누테카스
1106,1020,0,203.94325,335.7168,86.41452,0,0,지누테카스
1107,1020,0,22.607986,335.7168,256.62106,0,0,지누테카스
1108,1020,0,914.2411,335.4517,95.27472,0,0,지누테카스
1109,1020,0,1115.7257,335.4517,-27.62833,0,0,지누테카스
1110,1020,0,1208.5851,335.4517,188.43477,0,0,지누테카스
