ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,NPCID,Name
4,13,31.752308,720.204,1219.7754,-90,10,40001,WarpSpot
8,14,-92,646,-2579,-90,10,40001,WarpSpot
9,15,-93,645,-2677,-90,10,40001,WarpSpot
10,16,-372,788,1880,149.93,10,40001,WarpSpot
45,18,-199.17828,648.1195,-585.65155,-90,10,11120,부베 약탈자
160,26,-1671,720,173,-90,10,400781,다크슬라임
161,26,-562,716,111,-90,10,400781,다크슬라임
162,26,-858,704,296,-90,10,400781,다크슬라임
163,26,-1546,720,370,-90,10,400781,다크슬라임
164,26,-1321,720,318,-90,10,400781,다크슬라임
165,26,-1528,720,157,-90,10,400781,다크슬라임
166,26,-1103,716,206,-90,10,400781,다크슬라임
167,26,-878,715,134,-90,10,400781,다크슬라임
600,600,-192.11725,648.1195,-551.27045,-27,10,11120,부베 약탈자
616,611,-139,648,-2186,0,0,47260,왕릉 수호자1
617,612,-188,645,-1420,0,0,47260,왕릉 수호자1
622,614,372.9133,717.0243,250.47371,-97,0,11090,하이 부베 궁수
1,30,-182,711,-67,-79,10,0,왕릉 비석
151,3000,-1118,716,318,-90,10,0,비밀장소 설명서
153,10,-1532,684,-434,90,10,0,왕릉 2층
168,7,515,716,300,45,10,0,샛길
169,8,989,718,252,178.96,10,0,왕릉 2층
170,3001,2108,750,470,-90,10,0,왕릉 석등
5,3002,2098,714,-244,4,10,0,마력 용기
6,3002,2225,714,-244,4,10,0,마력 용기
7,3004,-1543,650,-545,0,10,0,ZACHA2F_SQ_02
626,3006,-210,649,-882,-90,10,0,왕릉 석등
627,3006,-379,649,-723,-90,10,0,왕릉 석등
628,3006,-208,649,-566,-90,10,0,왕릉 석등
629,3006,3,649,-722,-90,10,0,왕릉 석등
630,3008,-2087.1594,640.2756,-823.12537,1,0,0,왕실 비보
631,3009,2284.1562,714.3022,111.48748,-71,0,0,수호자의 석상
632,3010,2291.6106,714.3022,-68.00554,0,0,0,
633,3011,-1589.428,686.6736,-106.24031,-4,0,0,왕실 비보 수호자
634,3012,89.14456,717.0243,231.34334,0,0,0,비카라스
635,3013,-348.1272,648.1195,-802.6368,0,0,0,베카라베
636,3014,76.492455,716.1331,1433.6903,0,0,0,베스퍼
637,18,-76.69006,648.1195,-1936.7725,0,0,0,베스퍼
