ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,1631,93,-1277,103,40001,10,WarpSpot
4,4,-202,-75,692,-56.31,40001,10,WarpSpot
101,101,732,-51,850,0,0,0,히든퀘스트용NPC
186,9,1154,-52,-1341,-80,400443,10,루다스 미니 그리바
187,10,927,-53,-1257,0,400443,10,루다스 미니 그리바
188,11,1161.14,-52.88,-292.09,-74,400443,10,루다스 미니 그리바
189,12,436.42,-51.14,1268.35,0,400443,10,루다스 미니 그리바
190,13,109.81,-27.09,-30.09,-45,400443,10,루다스 미니 그리바
191,14,-305,-24,1276,0,400443,10,루다스 미니 그리바
197,3000,739,-54,-1529,-90,400443,10,루다스 미니 그리바
199,3002,-1288.46,-22.48,-15.26,-6,400443,10,루다스 미니 그리바
201,3004,-859,-52,-1088,0,400443,10,루다스 미니 그리바
600,600,1059,-54,-1508,-27,11120,10,부베 약탈자
601,600,1212,-22,-118,-27,11120,10,부베 약탈자
602,600,1084,-51,1432,-27,11120,10,부베 약탈자
603,600,-56,-26,-112,-27,11120,10,부베 약탈자
605,600,-669,-27,1159,-27,11120,10,부베 약탈자
606,600,-962,-52,-1449,-27,11120,10,부베 약탈자
607,601,1152,-22,-46,0,20026,10,
608,602,425,-46,1338,0,20026,10,
609,603,349,-26,-28,0,20026,10,
610,604,-842,-52,-10,0,20026,10,
611,605,150,-26,-1517,0,20026,10,
612,606,18,-26,-1402,0,20026,10,
632,608,1115.39,-22.79,-54.95,-62,41198,0,베누켈로스
633,3006,1142.77,-52.88,378.01,-55,0,0,휠렌
635,3007,-26,-27,-33,-1,0,0,수호자의 석상
636,3008,241.46,-27.09,-31.61,3,0,0,수호자의 석상
639,3010,1202,-22.79,-130.81,0,0,0,베누켈로스
644,3010,47.011475,-27.0933,-23.668524,0,0,0,베누켈로스
645,3009,-1127.2925,-22.4802,-5.237278,0,0,0,휠렌
646,3011,-40.75,-27.09,-43.07,0,0,0,격렬한 켈베로스
647,600,-1049.58,-22.48,-50.64,0,0,0,나무뿌리 수정
648,600,496.63,-51.14,1507.51,0,0,0,나무뿌리 수정
649,3012,949.13855,-53.678604,-1220.0088,0,0,0,휠렌
651,3014,-364.4,-53.87,1599.69,-90,0,0,수호자의 석상
652,3015,792.85,-51.14,1545.11,0,0,0,왕릉 설계도
653,3016,589.1893,-83.21864,1077.7766,0,0,0,베누켈로스
654,3018,1142.71,-22.78,-39.5,-4.4,47260,0,수호자의 석상
656,3009,-382.68744,-27.5512,1073.2947,0,0,0,휠렌
658,3009,-456.90237,-53.144,-1514.6917,0,0,0,휠렌
659,3010,-1078.7739,-22.4802,-38.961216,0,0,0,베누켈로스
660,3016,-504.60687,-27.551197,1076.8198,0,0,0,베누켈로스
661,3019,530.76,-83.11,1085.03,0,0,0,왕릉 큐브
662,3020,361.03,-51.13,1086.03,0,0,0,왕릉 책상
663,3020,529.82,-51.55,927.6,89,0,0,왕릉 책상
664,3020,530.44,-51.14,1241.87,-95,0,0,왕릉 책상
665,3020,742.17,-51.13,1087.5,172,0,0,왕릉 책상
666,3009,-706.53326,-52.1807,-1387.3633,0,0,0,휠렌
667,3009,-710.90137,-52.1807,-1164.4236,0,0,0,휠렌
668,3009,-39.386482,-27.09,10.010991,0,0,0,휠렌
669,3009,-1043.3499,-52.8768,220.38158,0,0,0,휠렌
670,3009,-717.3054,-53.03772,-37.763077,0,0,0,휠렌
671,3009,-632.5436,-27.5512,1109.9404,0,0,0,휠렌
672,3009,-409.6889,-43.470634,1220.4052,0,0,0,휠렌
673,3009,-826.5206,-53.8667,1535.3662,0,0,0,휠렌
674,3009,-1035.802,-52.8768,639.2919,0,0,0,휠렌
675,3012,815.02136,-53.678604,-1013.9138,0,0,0,휠렌
676,3012,799.7737,-53.678604,-1209.8016,0,0,0,휠렌
677,3012,915.2967,-54.4627,-1500.8888,0,0,0,휠렌
678,3012,1102.3961,-54.4627,-1539.8276,0,0,0,휠렌
679,3012,1175.8735,-54.4627,-1372.4368,0,0,0,휠렌
680,3012,727.497,-54.4627,-1579.2648,0,0,0,휠렌
681,3012,1159.4231,-52.8768,-856.41364,0,0,0,휠렌
682,3021,-501.58447,-27.5512,1107.3938,0,0,0,비카라스 궁수
683,3021,-737.3651,-52.1807,-1401.9734,0,0,0,비카라스 궁수
684,3021,-748.31415,-52.1807,-1176.2185,0,0,0,비카라스 궁수
685,3021,-1084.0148,-52.8768,236.27078,0,0,0,비카라스 궁수
686,3021,174.7642,-27.0933,-93.79431,0,0,0,비카라스 궁수
687,3021,1017.3524,-46.166603,-51.811123,0,0,0,비카라스 궁수
688,3021,1239.3823,-22.7888,-43.215183,0,0,0,비카라스 궁수
689,3021,95.730644,-27.0933,51.351112,0,0,0,비카라스 궁수
690,3021,1073.9929,-51.1408,1386.8269,0,0,0,비카라스 궁수
691,3021,550.26184,-53.342793,929.5886,0,0,0,비카라스 궁수
692,3021,723.68634,-52.8786,1167.3525,0,0,0,비카라스 궁수
693,3021,-1082.2452,-52.8768,-347.62518,0,0,0,비카라스 궁수
694,3022,-558.3685,-27.551197,1113.7148,0,0,0,카라스 마법사
695,3022,-378.97174,-27.5512,1045.5791,0,0,0,카라스 마법사
696,3022,19.21125,-26.829,-1562.7427,0,0,0,카라스 마법사
697,3022,-174.27927,-26.829,-1570.0808,0,0,0,카라스 마법사
698,3022,696.4939,-52.8786,965.32074,0,0,0,카라스 마법사
699,3022,788.87134,-52.8786,1210.1826,0,0,0,카라스 마법사
700,3022,-1089.062,-22.4802,-29.186546,0,0,0,카라스 마법사
701,3023,-1094.21,-52.08,-1382.68,0,0,0,탐색 스킬 트리거
702,3024,1631.8887,78.82722,-1311.7336,0,0,0,필드젠x
703,3024,-243.00885,-61.071266,753.83716,0,0,0,필드젠x
704,3010,-88.466644,-27.093262,-18.589546,0,0,0,베누켈로스
705,3010,-714.6783,-53.034737,21.319424,0,0,0,베누켈로스
706,3010,-1093.767,-52.87683,142.75584,0,0,0,베누켈로스
707,3010,-1232.0343,-22.480194,-25.201832,0,0,0,베누켈로스
708,3010,-1165.3533,-22.480194,79.384384,0,0,0,베누켈로스
709,3010,-1099.8643,-52.87683,-184.10295,0,0,0,베누켈로스
710,3010,-766.1857,-52.92911,-27.042217,0,0,0,베누켈로스
711,3010,-512.28436,-53.039078,2.1103578,0,0,0,베누켈로스
712,3010,-4.0336475,-27.093262,-151.2605,0,0,0,베누켈로스
713,3010,68.13842,-27.093262,61.295662,0,0,0,베누켈로스
714,3010,204.32904,-27.093262,-125.68238,0,0,0,베누켈로스
715,3010,295.11035,-27.093262,13.622854,0,0,0,베누켈로스
716,3010,703.3033,-52.960617,-46.698463,0,0,0,베누켈로스
717,3010,895.97314,-52.87683,-46.759758,0,0,0,베누켈로스
718,3010,1175.6902,-22.788757,8.549145,0,0,0,베누켈로스
719,3010,1316.9564,-52.87683,-29.732481,0,0,0,베누켈로스
720,3010,1009.8594,-52.87683,-127.74527,0,0,0,베누켈로스
721,3010,1083.2496,-22.788757,49.328735,0,0,0,베누켈로스
722,3010,1101.278,-22.788757,-35.59607,0,0,0,베누켈로스
723,3009,-21.363338,-26.828995,-1609.1919,0,0,0,휠렌
724,3009,37.87052,-26.828995,-1459.0496,0,0,0,휠렌
725,3009,-196.22528,-26.828995,-1636.496,0,0,0,휠렌
726,3009,-933.7402,-52.18071,-1484.4596,0,0,0,휠렌
727,3009,-974.2219,-17.083511,-1159.6562,0,0,0,휠렌
728,3009,-1059.7401,-52.87683,-792.7415,0,0,0,휠렌
729,3009,-1127.8577,-52.87683,-149.7472,0,0,0,휠렌
730,3009,-1030.4664,-64.68898,1111.7909,0,0,0,휠렌
731,3009,-1007.0706,-49.858055,1435.932,0,0,0,휠렌
732,3009,-461.3912,-47.572685,1518.5935,0,0,0,휠렌
733,3009,-348.24167,-38.1699,842.8931,0,0,0,휠렌
734,3012,900.6339,-53.678604,-1104.533,0,0,0,휠렌
735,3012,1142.0171,-52.87683,-567.2915,0,0,0,휠렌
736,3012,1158.4218,-52.87683,-234.54208,0,0,0,휠렌
737,3012,449.29117,-54.462677,-1569.1431,0,0,0,휠렌
738,3022,-801.77344,-52.18072,-1456.5967,0,0,0,카라스 마법사
739,3022,-719.53894,-52.18071,-1171.7874,0,0,0,카라스 마법사
740,3022,-1051.8967,-52.87683,-734.0041,0,0,0,카라스 마법사
741,3022,-1035.099,-52.87683,467.80963,0,0,0,카라스 마법사
742,3022,427.63116,-54.51799,1414.5299,0,0,0,카라스 마법사
743,3022,1001.3181,-51.140823,1483.2828,0,0,0,카라스 마법사
744,3022,1179.8342,-6.809572,950.8537,0,0,0,카라스 마법사
745,3022,1136.946,-52.87681,382.73593,0,0,0,카라스 마법사
746,3022,651.7399,-53.014313,-51.015175,0,0,0,카라스 마법사
747,3022,903.3743,-52.87683,-60.422195,0,0,0,카라스 마법사
748,3022,-14.996721,-27.093262,-70.16816,0,0,0,카라스 마법사
749,3021,-1067.0808,-52.87683,589.0011,0,0,0,비카라스 궁수
750,3021,-994.64343,-64.68898,1121.0537,0,0,0,비카라스 궁수
751,3021,-862.5121,-53.86669,1496.215,0,0,0,비카라스 궁수
752,3021,1184.7333,-52.87683,531.2772,0,0,0,비카라스 궁수
753,3021,-1040.0417,-52.87683,-934.6595,0,0,0,비카라스 궁수
754,3021,1201.4207,-52.87683,-446.2313,0,0,0,비카라스 궁수
755,3021,711.3757,-52.965607,-54.61299,0,0,0,비카라스 궁수
756,3021,-690.45764,-53.019855,-38.37567,0,0,0,비카라스 궁수
757,3021,-1165.8862,-22.480194,-30.540737,0,0,0,비카라스 궁수
758,3025,-168.68709,-26.828995,-1541.6978,0,0,0,필드젠X
759,3025,137.44365,-26.828995,-1579.0516,0,0,0,필드젠X
760,3025,-12.304514,-53.84221,-1304.2351,0,0,0,필드젠X
761,3025,645.4659,-54.462677,-1579.8953,0,0,0,필드젠X
762,3026,-110.82,-53.77,1350,180,0,0,보물 상자 LV1
763,3012,1104.8287,-54.462677,-1434.1208,0,0,0,휠렌
764,3012,919.6759,-18.745773,-1386.5553,0,0,0,휠렌
765,3012,1028.3838,-16.957779,-1027.7965,0,0,0,휠렌
766,3027,477.90924,-54.462677,-1484.3672,0,0,0,UnvisibleName
767,3032,-17.14,-26.83,-1556.44,0,0,0,미지의 큐브
768,3033,-190.07,-26.83,-1669.56,0,0,0,왕릉 책상
769,3034,701.484,-52.878616,1279.8075,0,0,0,
