ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,NPCID,Name
3,3,-452,109,881,130.76,1,0,압시메스티 교차로
4,4,157,134,765,91.25,0,0,록소나 장터
5,5,1372.9247,133.52275,1083.8486,94,0,0,루클리스 거리
7,7,86.62844,134.77573,207.44952,0,0,0,회색 유코푸스
9,9,-380.75018,109.4169,686.1335,-10,0,0,[왕국군]{nl}경비병
10,10,-200.82661,109.3169,726.73444,170,0,0,[왕국군]{nl}레티아
11,14,-843.2796,188.837,-382.09402,0,0,0,[아만다 도굴단]{nl}후베르타스
12,15,-358.27536,109.4169,602.7939,57,0,0,[왕국군]{nl}경비병
13,15,-320.62888,109.4169,608.2197,120,0,0,[왕국군]{nl}경비병
14,15,-352.04303,109.4169,645.45447,-84,0,0,[왕국군]{nl}경비병
15,15,-387.61554,109.4169,762.52875,105,0,0,[왕국군]{nl}경비병
16,15,-323.61664,109.4169,818.85333,162,0,0,[왕국군]{nl}경비병
17,15,-279.41193,109.4169,821.7772,-51,0,0,[왕국군]{nl}경비병
18,15,-175.40831,109.4169,885.7569,-129,0,0,[왕국군]{nl}경비병
19,15,-112.29116,109.4169,809.7808,-2,0,0,[왕국군]{nl}경비병
20,15,-194.15169,109.4169,864.1435,38,0,0,[왕국군]{nl}경비병
21,16,-307.54233,109.4169,738.25867,0,0,0,
22,19,-112.0864,134.8757,494.36374,0,0,0,석화 탐지기
25,20,-915.5295,109.3918,443.8943,0,0,0,석화 탐지기
26,23,-39.38658,109.222,-220.86963,0,0,0,석화 탐지기
27,21,-1648.6302,109.3374,-265.15497,0,0,0,석화 탐지기
28,22,-712.0943,109.222,-257.11685,0,0,0,석화 탐지기
29,24,-1627.4402,109.3374,-351.6465,90,0,0,석화된 장물
30,24,-1564.0328,109.3374,-307.16907,90,0,0,석화된 장물
31,24,-1435.1388,109.3374,-271.56036,90,0,0,석화된 장물
32,24,-1415.3865,109.3374,-407.03564,90,0,0,석화된 장물
33,24,-1236.0956,109.3374,-423.91486,90,0,0,석화된 장물
34,24,-1118.0782,109.3374,-475.2831,90,0,0,석화된 장물
35,24,-1216.7435,109.3374,-262.52475,90,0,0,석화된 장물
36,24,-1073.9985,109.3374,-237.74142,90,0,0,석화된 장물
37,24,-948.07214,109.3374,-272.24295,90,0,0,석화된 장물
52,26,-286.12347,109.4169,743.21185,0,0,0,필드젠X
53,27,-821.59705,188.837,-440.14575,0,0,0,필드젠X
54,27,1361.0157,61.8313,629.61896,0,0,0,필드젠X
55,27,1374.6781,133.6228,1013.8841,0,0,0,필드젠X
56,28,-39.901264,134.8757,509.95752,0,0,0,나무뿌리 수정
57,28,1037.3091,61.8313,746.70667,0,0,0,나무뿌리 수정
58,28,1157.8239,61.8313,555.83075,0,0,0,나무뿌리 수정
59,28,875.70703,61.8313,492.78687,0,0,0,나무뿌리 수정
60,28,568.7194,109.4061,-69.05843,0,0,0,나무뿌리 수정
61,28,621.63324,109.4061,-255.27965,0,0,0,나무뿌리 수정
62,28,413.77347,109.4061,-266.20636,0,0,0,나무뿌리 수정
63,28,727.9072,109.4061,92.60477,0,0,0,나무뿌리 수정
64,28,1224.6235,58.379,-58.905098,0,0,0,나무뿌리 수정
65,28,1162.067,58.379,-157.10349,0,0,0,나무뿌리 수정
66,28,763.223,58.4456,-581.62573,0,0,0,나무뿌리 수정
67,28,540.4544,58.4456,-574.19775,0,0,0,나무뿌리 수정
68,28,-109.53906,109.222,-264.87234,0,0,0,나무뿌리 수정
69,28,-387.7085,109.222,-351.16122,0,0,0,나무뿌리 수정
70,28,-909.1747,109.5539,-1064.3716,0,0,0,나무뿌리 수정
71,28,-744.3725,109.5539,-957.1161,0,0,0,나무뿌리 수정
72,28,-1457.3634,109.3374,-338.16296,0,0,0,나무뿌리 수정
73,28,-1147.3258,109.3374,-322.4789,0,0,0,나무뿌리 수정
74,28,-796.7357,109.3918,352.96664,0,0,0,나무뿌리 수정
75,28,-712.75037,109.3918,441.37775,0,0,0,나무뿌리 수정
76,28,-840.1141,188.7827,-31.470543,0,0,0,나무뿌리 수정
77,28,-436.765,123.07726,427.5626,0,0,0,나무뿌리 수정
78,28,360.95398,134.8757,266.6242,0,0,0,나무뿌리 수정
79,28,299.4719,134.8757,492.79318,0,0,0,나무뿌리 수정
80,29,30.2622,134.8757,99.932106,0,0,0,미약한 석화서리
81,29,-96.155045,134.8757,299.52252,0,0,0,미약한 석화서리
82,29,120.64365,134.8757,309.37747,0,0,0,미약한 석화서리
83,29,330.0978,134.8757,259.0052,0,0,0,미약한 석화서리
84,29,305.51773,134.8757,156.3721,0,0,0,미약한 석화서리
85,29,202.28471,134.8757,99.99948,0,0,0,미약한 석화서리
86,29,318.78357,134.8757,457.68927,0,0,0,미약한 석화서리
87,29,161.05559,134.8757,550.06964,0,0,0,미약한 석화서리
88,29,6.102762,134.8757,493.78162,0,0,0,미약한 석화서리
89,30,-13.061993,134.8757,92.30318,0,0,0,램베어
90,30,-54.855965,134.8757,299.20587,0,0,0,램베어
91,30,295.0324,134.8757,169.4516,0,0,0,램베어
92,30,308.06354,134.77573,504.29883,0,0,0,램베어
93,30,343.37042,134.77573,348.548,0,0,0,램베어
94,30,172.46945,134.77573,463.64975,0,0,0,램베어
95,30,24.681713,134.8757,509.55658,0,0,0,램베어
96,30,171.46567,134.77573,310.61456,0,0,0,램베어
