ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,NPCID,Name
101,101,35,375,-1102,-90,0,20101,스라우타스 협곡
102,102,100,375,1532,90,0,20101,네프리타스 벼랑
104,104,-137.54689,375.3896,-432.8909,-74,0,20016,페트리시야
105,105,-79.04425,375.3896,-871.4721,0,0,20026,Q팔라딘 마스터의 임무
122,115,417.8377,418.7272,454.5295,0,0,47263,마법진
123,115,565.9486,418.7272,715.69434,0,0,47263,마법진
124,115,794.85223,462.1169,1126.695,0,0,47263,마법진
125,115,973.1722,462.1169,851.51276,0,0,47263,마법진
126,115,1221.9114,462.1169,1032.6722,0,0,47263,마법진
127,115,512.60876,418.7272,133.55168,0,0,47263,마법진
128,115,406.81912,418.7272,-107.23741,0,0,47263,마법진
129,115,780.0152,463.0132,-174.34961,0,0,47263,마법진
139,120,525.0313,418.7272,-65.04556,0,0,0,리플라이
147,122,1389.1454,503.8573,-588.69653,0,0,0,판토 길잡이
182,127,-459.4229,375.3896,-438.2885,0,0,0,말리
187,130,-913.3362,418.8884,-462.73004,0,0,0,판토 마법사
188,131,1014,462,1678,-90,0,0,광폭해진 카너버
189,132,1012,462,1668,-69,0,0,덩굴
190,132,1004,462,1675,-81,0,0,덩굴
191,132,1012,462.1169,1661,4,0,0,덩굴
192,130,-1151.041,462.3669,-398.46198,0,0,0,판토 마법사
193,130,-782.57526,418.8884,-132.53462,0,0,0,판토 마법사
194,130,-530.8388,375.3896,-373.608,0,0,0,판토 마법사
195,130,-1257.4512,462.3669,64.12804,0,0,0,판토 마법사
196,130,-1118.1089,462.3669,524.7284,0,0,0,판토 마법사
207,134,1343.572,503.8573,-765.0404,0,0,0,판토 전사
209,134,1342.2557,503.8573,-580.8307,0,0,0,판토 전사
211,134,1233.3589,503.8573,-412.4604,0,0,0,판토 전사
214,134,1067.6426,503.8573,-1070.3228,0,0,0,판토 전사
217,135,441.19202,418.72723,314.27454,0,0,0,판토 길잡이
218,135,560.2828,418.72723,622.22064,153,0,0,판토 길잡이
