ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
2,2,1988,1970,-4112,270,0,1,덧댄다리 숲
3,3,2157.84,1971.68,-3368.98,0,0,0,
7,7,-3653,1979,441,270,0,0,자카리엘 교차로
8,8,421,1974,-678,0,0,0,루카스 고원
9,9,-2400,1978,410,180,0,0,높이굽는 길
10,10,2088.9377,1971.6926,-3363.0562,0,0,0,
11,11,856.21704,1970.2764,-2556.583,0,0,0,
12,12,-365.0645,1977.132,575.12976,0,0,0,
13,12,-211.9953,1977.132,772.6199,0,0,0,
14,12,-95.256386,1977.1321,984.68414,0,0,0,
15,12,-446.6643,1978.8479,2912.2134,0,0,0,
16,12,-129.01588,1977.1321,480.78302,0,0,0,
17,12,-567.34796,1978.8479,2572.7617,0,0,0,
18,12,2.0755424,1977.132,759.79126,0,0,0,
19,12,-686.8902,1980.1831,709.49963,0,0,0,
20,12,-659.7813,1980.1832,886.89075,0,0,0,
21,12,-641.075,1977.132,486.56894,0,0,0,
22,12,-354.64273,1978.8479,2655.65,0,0,0,
23,12,-718.06177,1978.8479,2738.056,0,0,0,
24,13,-910.71124,1978.8479,2486.9568,0,0,0,
25,13,-226.57361,1977.1321,489.3312,0,0,0,
26,13,-872.1727,1978.8479,2844.4114,0,0,0,
27,13,10.323874,1977.1321,821.9414,0,0,0,
28,13,-643.28424,1978.8479,2700.7104,0,0,0,
29,13,-415.56906,1978.8479,2961.5134,0,0,0,
30,13,-388.32007,1978.8479,3172.816,0,0,0,
31,13,-202.91437,1978.8479,3037.9417,0,0,0,
32,13,-126.34724,1978.1876,2574.186,0,0,0,
33,13,-467.9537,1978.8479,2532.1345,0,0,0,
34,13,-631.00806,1977.1321,528.67395,0,0,0,
35,13,-321.69556,1977.1321,711.8754,0,0,0,
