ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1676,120,-2250,270,그리나스 구릉지
2,2,-1344,329,1681,180,그리나스 숲길
3,3,-867.9901,281.8513,1213.606,0,푸른 리디메드
4,3,-299.0425,263.8883,1111.1566,0,푸른 리디메드
5,3,-29.942978,242.1719,540.45776,0,푸른 리디메드
6,3,-110.10825,262.44458,1422.5155,0,푸른 리디메드
7,3,-299.652,281.8513,1475.5847,0,푸른 리디메드
8,3,29.414854,237.76009,593.7717,0,푸른 리디메드
9,3,-235.31201,281.85144,1348.5328,0,푸른 리디메드
10,3,-525.1365,281.8513,1220.3817,0,푸른 리디메드
11,3,-191.78828,263.3206,1228.5483,0,푸른 리디메드
12,3,-9.043458,165.72878,1656.5798,0,푸른 리디메드
13,3,296.31015,165.7287,1623.0071,0,푸른 리디메드
14,3,372.62115,165.72874,1831.7076,0,푸른 리디메드
15,3,-205.96213,244.83327,872.6742,0,푸른 리디메드
16,3,-158.77682,244.83325,672.4668,0,푸른 리디메드
17,3,-140.30887,220.35025,293.9821,0,푸른 리디메드
18,3,326.17212,216.6643,521.08575,0,푸른 리디메드
19,3,502.76154,166.5611,790.6333,0,푸른 리디메드
20,3,806.1752,151.59496,622.7901,0,푸른 리디메드
21,3,992.57544,119.35012,541.5852,0,푸른 리디메드
22,3,974.29376,119.70066,272.78745,0,푸른 리디메드
23,3,838.5007,118.2607,-10.081598,0,푸른 리디메드
24,3,163.44406,118.2607,100.37358,0,푸른 리디메드
25,3,473.52554,118.42395,135.37428,0,푸른 리디메드
26,3,385.8029,118.69633,187.07745,0,푸른 리디메드
27,3,807.4054,120.52874,165.16014,0,푸른 리디메드
28,3,1222.8467,118.2607,-233.85179,0,푸른 리디메드
29,3,634.86633,196.1335,-651.58496,0,푸른 리디메드
30,3,460.83722,196.63567,-724.2578,0,푸른 리디메드
31,3,170.18112,196.90804,-874.07916,0,푸른 리디메드
32,3,70.720924,196.76903,-967.5918,0,푸른 리디메드
33,3,-141.77841,197.46391,-845.00934,0,푸른 리디메드
34,3,-167.89146,199.08337,-560.1213,0,푸른 리디메드
35,3,-146.60258,199.42477,-329.19446,0,푸른 리디메드
36,3,-165.78854,199.32367,88.30167,0,푸른 리디메드
37,3,93.134056,165.3899,-95.174904,0,푸른 리디메드
38,3,-743.9193,201.42188,-867.8264,0,푸른 리디메드
39,3,-772.08936,203.39174,-1019.5146,0,푸른 리디메드
40,3,-599.1639,199.00638,-1034.4717,0,푸른 리디메드
41,3,-479.55685,198.38597,-870.06757,0,푸른 리디메드
42,3,-260.18863,198.52682,-752.45245,0,푸른 리디메드
43,3,-310.98773,197.19724,-1109.9451,0,푸른 리디메드
44,3,-230.02594,198.52826,-1347.3044,0,푸른 리디메드
45,3,134.84428,198.5284,-1703.2605,0,푸른 리디메드
46,3,-107.449,198.5283,-1619.8184,0,푸른 리디메드
47,3,595.15704,167.37013,-1781.9064,0,푸른 리디메드
48,3,799.39417,119.4319,-1725.0243,0,푸른 리디메드
49,3,992.84814,119.4319,-1532.6301,0,푸른 리디메드
50,3,1389.2279,119.4319,-1489.3198,0,푸른 리디메드
51,3,1664.9089,119.4319,-1470.3115,0,푸른 리디메드
52,3,1633.6278,119.4319,-1658.521,0,푸른 리디메드
53,3,1800.201,119.4319,-1384.553,0,푸른 리디메드
54,3,1628.0477,119.4319,-1254.8198,0,푸른 리디메드
55,3,1562.9764,119.4319,-1012.9379,0,푸른 리디메드
56,3,1330.8583,119.4319,-810.52313,0,푸른 리디메드
57,3,1388.8257,118.64767,-504.7335,0,푸른 리디메드
58,3,1215.9326,118.62127,-509.32965,0,푸른 리디메드
59,3,1045.9271,118.2607,-254.0968,0,푸른 리디메드
60,3,1575.8036,91.99812,645.4009,0,푸른 리디메드
61,3,1280.6517,157.02023,837.6291,0,푸른 리디메드
62,3,1284.8824,166.4688,1107.1157,0,푸른 리디메드
63,3,1596.3186,165.5977,1103.2982,0,푸른 리디메드
64,3,1890.5621,20.595,939.5016,0,푸른 리디메드
65,3,1773.1536,20.595,684.69196,0,푸른 리디메드
66,3,1846.9454,20.595,457.97128,0,푸른 리디메드
67,3,2077.691,20.595,567.0775,0,푸른 리디메드
68,3,1813.0422,20.595,862.41003,0,푸른 리디메드
69,3,1314.7462,119.69107,646.8455,0,푸른 리디메드
70,3,1145.5116,166.4688,1459.5996,0,푸른 리디메드
71,3,965.0697,166.46883,1703.0938,0,푸른 리디메드
72,4,-24.423704,166.86613,1645.1156,0,붉은 푸라기
73,4,254.62485,165.72871,1672.5604,0,붉은 푸라기
74,4,459.15894,165.72874,1922.4199,0,붉은 푸라기
75,4,462.73932,165.7287,1572.879,0,붉은 푸라기
76,4,450.27167,181.09267,1260.9027,0,붉은 푸라기
77,4,525.4408,166.5611,829.0134,0,붉은 푸라기
78,4,486.3634,166.5611,594.58826,0,붉은 푸라기
79,4,718.55133,166.5611,747.1835,0,붉은 푸라기
80,4,824.8176,122.54443,531.24054,0,붉은 푸라기
81,4,1097.1672,119.34147,408.0352,0,붉은 푸라기
82,4,1379.1587,123.23634,611.62524,0,붉은 푸라기
83,4,1486.9388,119.43089,812.0138,0,붉은 푸라기
84,4,1202.6597,165.8082,840.1102,0,붉은 푸라기
85,4,1173.9042,166.1653,1035.392,0,붉은 푸라기
86,4,1494.809,165.61906,1059.9427,0,붉은 푸라기
87,4,1188.5751,166.4688,1358.1539,0,붉은 푸라기
88,4,990.8615,166.4688,1693.1251,0,붉은 푸라기
89,4,794.96375,165.84628,1709.3749,0,붉은 푸라기
90,4,1702.5443,20.595,1011.0367,0,붉은 푸라기
91,4,1967.985,20.595,1118.1914,0,붉은 푸라기
92,4,1890.0807,20.595,859.1772,0,붉은 푸라기
93,4,1649.0773,71.498634,687.08887,0,붉은 푸라기
94,4,1848.8744,20.595,500.4914,0,붉은 푸라기
95,4,1907.3138,20.595,696.4514,0,붉은 푸라기
96,4,2192.0774,20.595,866.8575,0,붉은 푸라기
97,4,2118.8289,20.595,569.1046,0,붉은 푸라기
98,4,1052.1635,119.26319,650.54486,0,붉은 푸라기
99,4,388.55597,167.11339,822.2674,0,붉은 푸라기
100,4,298.05774,216.6643,598.6993,0,붉은 푸라기
101,4,-20.888596,262.4199,1463.5557,0,붉은 푸라기
102,4,1020.6314,165.71913,882.4957,0,붉은 푸라기
