ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
3,3,1902,282,-3093,-90,20019,10,서쪽 숲 정찰병
4,4,1517,297,-752,-90,20019,10,서쪽 숲 정찰병
5,5,1845,295,658,-90,20019,10,서쪽 숲 정찰병
6,6,1794,298,1971,-90,20019,10,서쪽 숲 정찰병
7,7,639,441,2021,-45,20019,10,서쪽 숲 정찰병
58,15,228,296,-4282,135,20019,10,서쪽 숲 정찰병
10,10,2450,184,-2727,-90,20019,10,서쪽 숲 정찰병
11,30,1728,329,-2797,-45,20019,10,서쪽 숲 정찰병
12,31,1864,329,-2613,0,20019,10,서쪽 숲 정찰병
13,32,2227,329,-2436,45,20019,10,서쪽 숲 정찰병
14,33,2691,184,-2528,90,20019,10,서쪽 숲 정찰병
15,34,2827,184,-2899,-90,20019,10,서쪽 숲 정찰병
16,35,2694,184,-3215,-45,20019,10,서쪽 숲 정찰병
17,36,2454,184,-3146,0,20019,10,서쪽 숲 정찰병
18,37,2535,184,-3298,-90,20019,10,서쪽 숲 정찰병
19,38,2230,281,-3166,-90,20019,10,서쪽 숲 정찰병
20,11,3229,184,-4562,-90,20019,10,서쪽 숲 정찰병
21,40,3363.79,183,-4412.35,-90,20019,10,서쪽 숲 정찰병
22,41,3564.48,183,-4689.39,-90,20019,10,서쪽 숲 정찰병
23,42,3667.34,183.03,-4398.58,-90,20019,10,서쪽 숲 정찰병
24,43,3774.45,183,-4530.77,-90,20019,10,서쪽 숲 정찰병
29,12,3856,197,1393,-90,20019,10,서쪽 숲 정찰병
30,50,3890,197,1223,-90,20019,10,서쪽 숲 정찰병
31,51,3929,197,1056,-90,20019,10,서쪽 숲 정찰병
32,52,3899,197,867,-90,20019,10,서쪽 숲 정찰병
33,53,3800,197,674,-90,20019,10,서쪽 숲 정찰병
34,54,3590,197,791,-90,20019,10,서쪽 숲 정찰병
35,55,3520,268,894,-90,20019,10,서쪽 숲 정찰병
