ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2462,44,-2202,-143,
2,2,2037,246,2357,25,
3,3,2209,44,-586,0,
4,4,-838,143,-1050,0,
5,5,-943,154,947,0,
6,6,461,136,-107,0,
7,7,-993.22205,154.5892,797.5809,0,트리피드
8,8,95.46165,136.9916,54.307987,0,붉은 론도
9,9,1569.9491,137.64296,620.31085,0,붉은 루바보스
10,10,-1135,154,1471,90,
23,11,-929.8583,143.3831,-1038.2302,0,붉은 론도
38,12,-843.3396,143.3831,-1286.591,0,
39,13,-2224.717,44.5155,-1564.5778,126,
40,14,-253.72215,136.9916,-144.19073,126,
41,15,-1742.0068,195.31224,141.47241,126,
42,16,224.80127,44.515564,1481.5562,126,
43,17,1766.774,44.51493,-931.3403,126,
44,18,1870.2974,137.64296,967.2059,126,
45,19,1500.4852,246.81575,1817.7728,126,
46,20,-923.9958,143.3831,-1081.3728,0,
47,20,-1025.2979,154.5892,831.3281,0,
48,20,1179.419,44.5152,-351.31213,0,
49,20,1055.3466,137.64311,735.7617,0,
51,21,-1847.1342,44.5154,-1463.0636,0,
52,21,-1828.3177,44.5154,-1669.8392,0,
53,21,-2009.5706,44.51548,-1980.1213,0,
54,21,-1838.2844,44.5154,-1850.5671,0,
55,21,-2336.3447,44.515415,-1913.0209,0,
56,21,-1706.9373,44.515457,-1699.4551,0,
57,22,1535.7891,44.514957,-954.6764,0,
58,22,1433.9528,44.515232,-709.1955,0,
59,22,1727.2717,44.515007,-630.30273,0,
60,22,1330.1917,44.5152,-405.48352,0,
61,22,2023.1239,44.514946,-696.0901,0,
62,22,1035.7281,44.515182,-770.83374,0,
63,23,-81.73174,136.9916,-353.93387,0,흩어진 나무뿌리 수정 핵
64,23,150.66302,136.9916,-459.1197,0,흩어진 나무뿌리 수정 핵
65,23,392.18652,136.9916,-388.74722,0,흩어진 나무뿌리 수정 핵
66,23,142.34164,136.9916,-142.55185,0,흩어진 나무뿌리 수정 핵
67,23,40.967354,136.9916,134.16083,0,흩어진 나무뿌리 수정 핵
68,23,526.1345,136.9916,-31.353481,0,흩어진 나무뿌리 수정 핵
69,23,-534.3976,143.3831,-1107.3347,0,흩어진 나무뿌리 수정 핵
70,23,-732.2151,143.3831,-1343.1632,0,흩어진 나무뿌리 수정 핵
71,23,-1085.7466,143.3831,-1330.1377,0,흩어진 나무뿌리 수정 핵
72,23,-1110.0631,143.3831,-955.3534,0,흩어진 나무뿌리 수정 핵
74,23,-913.0569,143.3831,-1482.1694,0,흩어진 나무뿌리 수정 핵
76,25,1670.9812,137.64307,884.8746,126,
77,25,1469.4468,137.64308,1050.6643,126,
78,25,1220.5781,137.64311,835.54,126,
79,25,1406.348,137.64302,414.60623,126,
80,25,1637.9434,137.643,220.90611,126,
81,25,1829.4058,95.77102,31.433455,126,
82,25,1376.1396,168.29448,1235.7819,126,
83,25,1194.9421,137.64314,975.91003,126,
84,25,1924.4492,137.64299,495.58353,126,
85,26,-1489.3418,154.5892,1074.9248,-4,
86,27,875.9008,67.85833,-371.41324,0,
87,29,1516.2385,137.64297,655.0313,0,
90,28,-910.30255,154.58919,918.705,0,
91,30,1342.4092,44.515194,-181.14133,126,
92,31,1370.7452,44.515182,-161.38255,0,
93,32,-1692.0487,195.31697,119.21667,0,
101,7,-1335.8525,154.58922,819.8556,0,트리피드
102,7,-1297.5165,154.58922,1080.1176,0,트리피드
103,7,-1309.4578,154.5892,1277.4132,0,트리피드
105,35,-2483.3345,44.52919,-2201.0947,0,
106,36,2037.5901,246.81526,2344.6882,0,
107,38,2208.1128,44.515,-563.76,0,
108,7,-906.7752,154.58913,643.5886,0,트리피드
110,7,-663.1742,154.5892,991.91956,0,트리피드
111,7,-803.4108,154.5892,1261.2639,0,트리피드
112,11,-1136.2964,143.3831,-1135.5636,0,붉은 론도
113,11,-1184.5596,143.3831,-1333.0535,0,붉은 론도
114,11,-904.50073,143.3831,-1387.0244,0,붉은 론도
115,11,-880.82715,143.38312,-1209.2832,0,붉은 론도
116,11,-689.5831,143.3831,-1323.8121,0,붉은 론도
117,11,-704.29034,143.3831,-1103.3995,0,붉은 론도
118,11,-518.8737,143.3831,-1162.603,0,붉은 론도
119,11,-793.6922,143.3831,-866.6572,0,붉은 론도
120,11,-1159.8259,143.3831,-857.16046,0,붉은 론도
126,33,1453.9553,44.51514,-523.38,0,트리피드
127,33,-2235.0815,44.5155,-1915.6633,0,트리피드
128,33,-2267.7786,44.515568,-1681.9446,0,트리피드
134,33,-1718.4299,44.51544,-1852.5532,0,트리피드
135,33,-1596.7614,44.5154,-1641.3052,0,트리피드
136,39,1361.2301,97.551285,-1354.4937,-47,
137,23,-809.6678,143.3831,-1053.415,0,흩어진 나무뿌리 수정 핵
138,40,221.46,137.09,219.43,0,
139,37,1360.9434,97.61616,-1354.1084,0,
140,41,-460.85715,151.05492,988.10046,0,
142,33,1681.4183,44.514908,-892.22363,0,
143,33,1775.2803,44.514965,-835.8659,0,
145,33,1571.4395,44.51512,-752.6495,0,
146,33,1473.3514,44.515198,-746.72833,0,
154,33,1368.8231,44.515186,-365.68106,0,
155,33,1490.6685,44.515156,-373.50327,0,
156,33,1577.9142,44.515102,-414.52484,0,
166,33,2004.1879,44.514942,-648.4358,0,
168,33,1734.6858,44.515,-538.41425,0,
170,33,1556.4521,44.515167,-644.9351,0,
171,33,1303.7917,44.515244,-642.4044,0,
185,33,1666.9929,44.5151,-279.78247,0,
186,33,1758.2136,44.515053,-333.5231,0,
187,33,1836.4061,44.515038,-462.57193,0,
194,33,1515.1239,44.515053,-889.9115,0,
195,33,1764.6787,44.515,-678.2335,0,
196,33,1641.443,44.515106,-524.1389,0,
205,33,1525.2827,44.514885,-1023.995,0,
207,33,1385.6388,44.51505,-930.43646,0,
208,33,1277.4797,44.515285,-817.1956,0,
209,33,1102.3652,44.515205,-590.0458,0,
210,33,1040.2336,44.515244,-725.37317,0,
211,33,1003.1176,44.515263,-444.0992,0,
213,33,1339.814,44.515194,-422.7393,0,
215,33,1608.6256,137.643,261.68408,0,
216,33,1801.7301,137.643,358.29013,0,
217,33,1269.8627,137.6431,753.78906,0,
218,33,1306.0223,137.6431,549.3754,0,
219,33,1534.3146,137.64293,518.7446,0,
230,33,1473.9459,137.64297,341.42783,0,
231,33,1100.5146,137.64316,551.8766,0,
232,33,1082.6997,137.64307,739.5625,0,
233,33,1718.4812,137.643,472.82016,0,
234,33,1711.935,137.64302,643.70776,0,
235,33,1673.3695,137.64311,717.1651,0,
236,33,1130.0354,137.64316,880.31726,0,
237,33,1392.6692,137.64307,980.1902,0,
238,33,1848.4027,137.643,1014.0248,0,
239,33,1931.464,137.643,761.5128,0,
240,33,1916.8647,137.643,571.80035,0,
253,33,-102.06326,136.9916,-241.55438,0,
255,33,391.2242,136.9916,-168.00502,0,
257,33,278.54135,136.9916,-361.86038,0,
258,33,359.3034,136.9916,-384.05597,0,
259,33,427.98126,136.9916,-281.81958,0,
260,33,524.36615,136.9916,-86.01566,0,
261,33,448.73032,136.9916,44.013115,0,
271,33,296.32425,136.9916,-10.106264,0,
272,33,189.16576,136.9916,133.05753,0,
273,33,41.51322,136.9916,111.23775,0,
274,33,-14.935679,136.9916,-38.244072,0,
