ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,-177,1196,-3637,-92,40001,10,WarpSpot
2,26,-435.55917,1196.7844,-2988.4512,-69,401101,10,제페토
4,4,151,1196,-2362,45,40001,20,WarpSpot
5,5,-195,1295,-1683,0,40001,10,WarpSpot
6,6,916.9999,1340.3394,381.42056,-22,40001,10,WarpSpot
7,7,-486.11725,1196.7844,-3033.8044,0,40001,10,WarpSpot
10,27,958,1198,-1818,0,401101,10,제페토
14,12,918,1209,-1156,0,11120,10,부베 약탈자
15,10,504,1196,-2380,-90,11120,10,부베 약탈자
16,12,933,1209,-1145,0,11120,10,부베 약탈자
17,20,357,1242,-643,-56,11120,10,부베 약탈자
18,14,1777,1228,-291,0,11120,10,부베 약탈자
32,22,763.79626,1340.3394,238.65135,0,11120,10,부베 약탈자
33,23,1134.333,1340.3394,341.3253,0,11120,10,부베 약탈자
34,24,983.7975,1340.3394,606.21967,0,11120,10,부베 약탈자
35,15,1646,1342,160,0,11120,10,부베 약탈자
37,2,-173,1295,-1189,149,401101,10,제페토
39,11,892,1198,-2099,0,401101,10,제페토
40,28,337,1295,-1527,-42,401101,10,제페토
41,29,888,1209,-1158,-52,401101,10,제페토
43,30,1841,1228,-144,0,401101,10,제페토
44,80,-819,1295,-2247,-44,401101,10,제페토
600,600,328,1196,-2523,-27,11120,10,부베 약탈자
601,600,782,1295,-2293,-27,11120,10,부베 약탈자
602,600,1110,1209,-1049,-27,11120,10,부베 약탈자
603,600,1364.6642,1340.3394,108.33385,-27,11120,10,부베 약탈자
780,607,595,1196,-2676,86,46212,0,상자
781,608,87,1295,-1434,86,46212,0,상자
782,609,956,1234,-598,86,46212,0,상자
783,610,2215,1228,-87,86,46212,0,상자
784,611,1904,1228,-407,86,46212,0,상자
785,612,1845.16,1227.67,-110.03,-107,20016,0,서쪽 숲 정찰병
787,615,1828.37,1227.67,-91.98,-7,20115,0,잡화 상인
876,619,403.93,1242.79,-788.14,0,0,0,
877,619,284.59,1295.21,-1518.87,0,0,0,
879,620,-452.67,1196.5,-3146.64,0,0,0,
880,620,1002.1708,1209.7,-1085.5859,0,0,0,
907,619,-508.62,1196.5,-3126.45,0,0,0,
908,621,1635.5342,1340.3394,467.2836,0,0,0,사우가
911,624,949.23,1233.77,-618.61,0,0,0,투켄
923,627,2295.48,1227.67,-201.73,0,0,0,투켄
924,627,2113.8447,1227.6703,-359.4904,0,0,0,투켄
927,629,1434.7971,1340.3394,403.01044,0,0,0,로프틀렘
929,702,-319.35,1196.1,-2928.97,-90,0,0,
931,701,457.12897,1196.7844,-2283.582,0,0,0,사우가
932,701,-801.5141,1294.7988,-2072.702,0,0,0,사우가
933,701,566.68,1197.75,-2177.68,0,0,0,사우가
934,701,435.86,1196.1,-2653.72,0,0,0,사우가
935,701,275,1196.3,-2549.55,0,0,0,사우가
936,701,747.8618,1196.7844,-2526.8928,0,0,0,사우가
937,701,658.5545,1196.7844,-2387.161,0,0,0,사우가
938,701,534.8717,1196.7844,-2479.526,0,0,0,사우가
939,701,637.6623,1196.7844,-2659.4954,0,0,0,사우가
940,701,329.46234,1196.7844,-2339.3213,0,0,0,사우가
941,704,396.16,1196.44,-2549.66,0,0,0,티켄
942,704,612.68,1196.57,-2341.16,0,0,0,티켄
943,704,549.17,1196.1,-2688.01,0,0,0,티켄
944,704,464.25,1196.82,-2224.34,0,0,0,티켄
945,704,707.98,1196.89,-2269.83,0,0,0,티켄
946,704,802.92,1196.1,-2499.13,0,0,0,티켄
947,704,357.13,1196.43,-2289.07,0,0,0,티켄
948,704,565.9983,1196.7844,-2471.749,0,0,0,티켄
949,704,-128.94,1196.1,-2695.73,0,0,0,티켄
950,704,92.87,1196.1,-2781.71,0,0,0,티켄
951,704,191.01,1196.2,-2521.6,0,0,0,티켄
952,600,1948.02,1227.67,-134.35,0,0,0,
953,600,317.64,1196.1,-2173.41,0,0,0,
954,600,-550.75,1294.8,-1778.84,0,0,0,
955,600,-86.95,1294.8,-1210.4,0,0,0,
956,600,-639.87,1294.8,-2216.33,0,0,0,
957,600,1165.2616,1340.3394,706.2403,0,0,0,
958,600,1725.6,1227.67,-298.22,0,0,0,
959,600,-470.68,1196.1,-3090.14,0,0,0,
961,31,-201.19797,1196.7844,-3102.8018,-90,0,0,
962,33,-344,1197,-3309,0,0,0,
963,32,-235.13931,1196.7844,-2850.6548,-90,0,0,
964,707,912.3192,1342.3394,384.02344,-176,0,0,
965,708,731.25903,1340.3394,205.86424,-45,0,0,
966,709,1169.6233,1340.3394,334.22998,80,0,0,
967,710,983.0261,1340.3394,599.9523,161,0,0,
968,706,916.6266,1340.3394,381.70837,0,0,0,
969,711,214.3167,1294.7988,-1548.4373,-60,0,0,
970,712,923.5708,1209.7,-1164.0337,-60,0,0,
971,713,2070.22,1299.58,161.24,0,0,0,
972,34,-533.80194,1196.7844,-3222.4048,0,0,0,
973,714,-199.73212,1196.7844,-3109.4958,0,0,0,
974,715,-230.9998,1196.7844,-2848.4143,0,0,0,
975,716,-176.32835,1294.7988,-1690.4348,0,0,0,
976,717,1873.2816,1227.6703,-110.58345,0,0,0,
977,718,337.46652,1295.0598,-1528.5455,0,0,0,
978,719,898.25006,1209.7,-1162.7731,0,0,0,
979,720,-177.02473,1196.7844,-3631.623,0,0,0,
980,721,-169.49716,1294.7988,-1184.0527,0,0,0,
981,629,1413.3478,1340.3394,129.5271,0,0,0,로프틀렘
982,629,1713.8154,1340.3394,338.36288,0,0,0,로프틀렘
983,629,1485.9858,1340.3394,626.20605,0,0,0,로프틀렘
984,629,1551.5634,1340.3394,227.95628,0,0,0,로프틀렘
985,629,1294.4209,1340.3394,540.64966,0,0,0,로프틀렘
986,629,1270.1223,1340.3394,270.26315,0,0,0,로프틀렘
987,629,1172.7749,1340.3394,148.32613,0,0,0,로프틀렘
988,629,1586.4889,1340.3394,431.34946,0,0,0,로프틀렘
989,629,1683.4937,1340.3394,588.01495,0,0,0,로프틀렘
990,701,792.86475,1232.2085,-749.3666,0,0,0,사우가
991,701,1001.5021,1232.2085,-721.552,0,0,0,사우가
992,701,898.37396,1232.2085,-472.49933,0,0,0,사우가
993,701,1061.7797,1232.2085,-597.1969,0,0,0,사우가
994,701,1088.2175,1232.2085,-467.3039,0,0,0,사우가
995,701,-870.98346,1294.7988,-2286.8154,0,0,0,사우가
996,701,-715.60187,1294.7988,-2225.0906,0,0,0,사우가
997,704,1220.9011,1340.3394,342.8901,0,0,0,티켄
998,704,1325.217,1340.3394,554.38794,0,0,0,티켄
999,704,1533.701,1340.3394,655.68866,0,0,0,티켄
1000,704,1574.7804,1340.3394,389.39825,0,0,0,티켄
1001,704,1403.3859,1340.3394,267.81244,0,0,0,티켄
1002,704,-872.79364,1294.7988,-2292.4966,0,0,0,티켄
1003,704,-697.49585,1294.7988,-2140.5193,0,0,0,티켄
1004,704,-720.93414,1294.7988,-2256.005,0,0,0,티켄
1005,704,844.4044,1232.2085,-712.4251,0,0,0,티켄
1006,704,1108.3069,1232.2085,-632.2553,0,0,0,티켄
1007,704,938.91565,1232.2085,-628.10803,0,0,0,티켄
1008,704,1073.9742,1232.2085,-459.33783,0,0,0,티켄
1009,627,2212.056,1227.6703,42.675117,0,0,0,투켄
1010,627,2336.0374,1227.6703,-54.299454,0,0,0,투켄
1011,627,2126.0017,1227.6703,-231.83229,0,0,0,투켄
1012,627,2242.1953,1227.6703,-86.395966,0,0,0,투켄
1013,627,1940.2606,1227.6703,-382.53333,0,0,0,투켄
1014,627,837.103,1232.2085,-734.17474,0,0,0,투켄
1015,627,1014.5037,1232.2085,-548.55664,0,0,0,투켄
1016,627,1104.3984,1232.2085,-699.80316,0,0,0,투켄
1017,627,-873.8727,1294.7988,-2305.1523,0,0,0,투켄
1018,627,-715.70624,1294.7988,-2155.5881,0,0,0,투켄
1019,627,67.97533,1294.7999,-1787.2021,0,0,0,투켄
1020,627,213.65665,1294.8069,-1751.3646,0,0,0,투켄
1021,627,146.99052,1294.7996,-1692.4325,0,0,0,투켄
1022,627,961.71936,1196.7844,-2000.8529,0,0,0,투켄
1023,627,986.65094,1196.7844,-1897.8175,0,0,0,투켄
1024,627,987.3247,1183.2472,-1382.6191,0,0,0,투켄
1025,722,1148.77,1232.31,-387.43,0,0,0,보물 상자 LV1
