ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,40001,940,107,-998,49,10,WarpSpot
2,2,40001,-1271,274,715,135,10,WarpSpot
3,3,40001,470,107,-1399,-139,10,WarpSpot
158,11,400621,-661.9323,235.6906,6.6517134,-90,10,사우르맨 전사
600,600,11120,-30,107,-489,-27,10,부베 약탈자
601,601,20123,656,107,-1211,0,10,렉시퍼 인간(데이터 교체 필요)
602,602,20123,-159.31235,107.1039,-501.16885,0,10,렉시퍼 인간(데이터 교체 필요)
604,604,20041,412,107,-971,0,10,
607,605,20026,-1100,236,280,0,0,
611,611,20026,-1229,217,576,110,10,
1256,613,20124,-127.13,107.1,-373.19,-90,0,여 사학자(데이터 교체 필요)
1261,615,0,373.95923,107.1039,-942.1163,133,0,톤투리아
1262,615,0,-845.2819,235.6906,271.82907,0,0,톤투리아
1264,600,0,-621.8926,107.1039,-984.72217,-10,0,
1265,600,0,869.9075,107.1039,-1061.6787,0,0,
1266,600,0,513.6644,107.1039,-1375.4624,0,0,
1267,600,0,507.52057,107.1039,-37.26681,0,0,
1268,600,0,-565.5139,205.7646,-343.06253,0,0,
1269,600,0,-695.4375,235.6906,150.73772,0,0,
1270,600,0,-917.90125,235.6906,387.19186,0,0,
1271,617,0,57.36679,107.1039,-750.57697,0,0,
1272,618,0,-736.15704,107.1039,-1088.9332,-90,0,
1273,619,0,508.94263,107.1039,84.36481,-86,0,
620,620,0,-73.18795,107.1039,-581.4615,0,0,호그마전투대장 스마트젠
621,621,0,496,107,-27,-100,0,제미나 여신상
1274,622,0,-582.158,107.1039,-1092.7369,0,0,레푸스버니 마법사
1275,622,0,-548.96716,107.1039,-939.43567,0,0,레푸스버니 마법사
1276,622,0,-22.125946,107.1039,-545.1729,0,0,레푸스버니 마법사
1277,622,0,-441.24307,205.7646,-103.70015,0,0,레푸스버니 마법사
1278,622,0,-750.4022,235.6906,174.83809,0,0,레푸스버니 마법사
1279,615,0,-697.2455,107.1039,-983.0076,0,0,톤투리아
1280,615,0,-537.3152,107.1039,-1100.8308,0,0,톤투리아
1281,615,0,-417.83844,107.1039,-882.71295,0,0,톤투리아
1282,615,0,-579.6922,205.7646,-248.38739,0,0,톤투리아
1283,615,0,-417.93225,205.7646,-12.539894,0,0,톤투리아
1284,615,0,-700.0269,235.6906,84.44062,0,0,톤투리아
1285,615,0,-271.88046,107.1039,-1040.361,0,0,톤투리아
1286,623,0,-500.40344,107.10388,-1023.2915,0,0,
1287,624,0,-108.19196,107.10388,-366.0789,0,0,
1288,625,0,942.2876,107.10388,-983.4635,0,0,
1289,626,0,454.15283,107.10388,-1415.5876,0,0,
1290,627,0,-1246.4983,274.0697,699.2065,0,0,
1291,628,0,619.7339,107.10388,-74.66989,0,0,
1292,629,0,-736,107.1,-1088,0,0,보물 상자 LV1
