ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,3388.7598,878.1721,100.21324,0,
2,2,-3510.3276,741.8563,-91.57547,176,
3,3,3095.084,878.1721,99.48274,-13,
4,4,359.78586,878.2284,-132.5833,161,
5,5,-2625.0645,741.8563,-66.99532,-100,
6,7,1318.2922,878.17194,391.31357,-26,
7,8,2356.712,878.1721,-1051.3763,-83,
8,9,-5.0429153,1101.6665,-2246.3118,-91,
9,10,372.0667,878.1719,194.38326,-94,
10,11,-820.2235,741.8563,-67.42745,0,
11,12,-786.4606,741.8564,-82.67067,0,
12,13,-739.8769,741.8564,-111.84149,0,
14,15,463.13354,878.224,-103.92403,0,
15,15,2806.2522,878.1721,52.484554,0,
16,15,2592.8345,878.1721,-39.59676,0,
17,15,2375.781,878.17206,-473.083,0,
18,15,2508.0068,878.1721,-1231.1278,0,
19,15,2047.9337,878.1721,-1053.7614,0,
20,15,1951.4329,878.1537,-1544.3431,0,
21,15,2171.4443,878.1365,-1577.2236,0,
22,15,1921.8038,877.94586,-2014.4589,0,
23,15,2196.856,877.8958,-1952.7894,0,
24,15,2089.0488,878.17206,-6.0191097,0,
25,15,2161.2188,878.1721,-742.0518,0,
26,15,1494.0569,878.172,-41.5261,0,
27,15,1450.3599,878.08655,467.80093,0,
28,15,1420.8064,922.763,995.0253,0,
29,15,1011.7697,922.76306,1033.4321,0,
30,15,648.1656,922.763,1247.8448,0,
31,15,1443.2526,995.4922,1723.5532,0,
32,15,1290.837,995.4921,1568.159,0,
33,15,914.13574,995.4921,1921.2043,0,
34,15,719.4148,995.4921,2229.928,0,
35,15,288.0467,998.3077,2416.5498,0,
36,15,-82.86049,1014.9471,2701.718,0,
37,15,-392.28802,1014.947,2318.2788,0,
38,15,194.98813,922.763,1105.4954,0,
39,15,1.5598831,922.763,903.0783,0,
40,15,-403.98175,922.763,1052.0731,0,
41,15,-627.9376,922.763,1322.3169,0,
42,15,-1249.2631,922.763,1231.0985,0,
43,15,1101.9088,878.17194,-65.895744,0,
44,15,720.2562,878.1719,-3.5771084,0,
45,15,701.1078,878.1719,-426.41672,0,
46,15,-43.43613,874.79285,-39.513664,0,
47,15,-16.50402,984.34674,-571.8629,0,
48,15,-294.85736,984.3467,-772.77954,0,
49,15,-2.2879496,1030.823,-1075.3837,0,
50,15,-138.88081,1092.5306,-1282.5631,0,
51,15,-290.78598,1092.5308,-1597.9171,0,
52,15,52.685337,1092.5306,-1604.8467,0,
53,15,75.47507,1101.6665,-2267.5737,0,
54,15,4.727356,1101.6665,-2530.6404,0,
55,15,-265.85446,1145.462,-2454.0518,0,
56,15,-525.7527,1145.462,-2502.1228,0,
57,15,-578.3719,1145.454,-2841.1887,0,
58,15,-312.6394,1145.4619,-2827.526,0,
59,15,-397.92926,1144.7389,-3127.814,0,
60,15,-811.9802,741.8564,-110.99222,0,
61,15,-1004.5279,741.8564,161.60057,0,
62,15,-1302.9208,797.9083,73.44423,0,
63,15,-1606.2506,797.9084,327.67822,0,
64,15,-1752.6311,797.9084,28.623709,0,
65,15,-1407.9608,741.8563,-271.59207,0,
66,15,-1812.0488,741.8563,-220.94482,0,
67,15,-2187.1414,741.8563,-114.04234,0,
68,15,-2361.592,741.8564,-419.30225,0,
69,15,-2626.2197,741.85626,-147.7991,0,
70,15,-3025.6511,741.8564,-151.86842,0,
71,15,-3370.7517,741.8562,-132.49136,0,
72,15,-2889.5835,815.284,274.92886,0,
73,15,-2749.919,864.4172,648.5091,0,
300,300,713.7086,878.1719,115.96348,-49,
307,302,-3078.2812,864.4171,744.792,0,
308,320,-3011.2,864.4171,913.9099,-45,
309,303,-2916.661,864.4171,812.8773,0,
310,304,-3040.687,864.4171,818.2268,-30,
311,305,-3007.42,864.42,905.02,-103,
312,303,337.68405,878.2252,-126.84671,0,
313,306,-803.37836,741.8564,-159.40384,0,
314,306,-816.8726,741.8564,67.42093,0,
315,306,-961.63245,741.8564,-72.41727,0,
316,306,-353.54984,984.3467,-635.1109,0,
317,306,-272.69467,984.3467,-796.7019,0,
318,306,90.53925,984.3468,-758.98584,0,
319,306,108.25406,984.3468,-583.5273,0,
320,306,-126.86703,984.3467,-584.41846,0,
321,306,-187.72493,1092.5308,-1265.5403,0,
322,306,-286.91953,1092.5308,-1481.44,0,
323,306,111.93819,1092.5306,-1667.0219,0,
324,306,180.72104,1092.5306,-1497.4884,0,
325,306,494.2475,878.1719,182.01732,0,
326,306,651.1281,878.1719,-205.40308,0,
327,306,235.63626,878.1719,-217.80807,0,
328,306,428.6498,878.1719,-362.6257,0,
329,306,790.5864,878.1719,-436.23975,0,
330,307,-2893.044,837.6611,414.37427,0,
331,308,1918.8063,878.17114,-1444.3027,139,
332,309,1838.494,878.0935,-1711.9874,-121,
333,309,1861.468,877.9501,-2060.0635,-105,
334,309,2174.897,877.851,-2170.4814,-126,
335,310,2279.442,877.88403,-1912.4644,-86,
336,310,2260.1167,878.1049,-1601.9694,93,
337,310,2571.7732,878.1721,-1315.7289,132,
338,310,2192.2422,878.1721,-665.25574,88,
339,311,1854.7474,878.1721,-1276.158,-93,
340,311,1921.6918,878.1721,-1013.4675,-120,
341,312,-1159.16,922.76,1301.43,-122,
342,313,-1135.92,922.76,1290.13,0,
343,313,-1186.55,922.76,1299.6,0,
344,313,-1181.76,922.76,1323.29,0,
345,313,-1132.4,922.76,1350.08,0,
346,314,2567.6052,878.1721,50.5906,0,
347,314,2792.546,878.1721,-53.83847,0,
348,314,2612.9885,878.1721,-188.76259,0,
349,314,2418.5198,878.172,-325.06253,0,
350,314,2119.5579,878.17206,-23.709053,0,
351,314,2252.7253,878.17206,94.33421,0,
352,314,2392.2573,878.1721,80.64834,0,
353,314,2676.3594,878.1721,-20.98214,0,
354,314,2887.8777,878.1721,0.8391838,0,
355,314,2501.4863,878.1721,-157.18146,0,
356,314,2285.8875,878.17206,-4.316618,0,
357,314,2305.129,878.17206,-234.27003,0,
358,314,2371.8987,878.17206,-431.32712,0,
359,314,2672.9446,878.1721,-82.4563,0,
360,314,2821.3079,878.1721,74.39941,0,
361,314,2520.6465,878.1721,-325.549,0,
362,314,2346.7947,878.1721,-115.91913,0,
363,314,2258.638,878.1721,-410.2544,0,
364,314,2477.292,878.17206,-448.65002,0,
365,314,2427.0671,878.17206,-225.15692,0,
366,314,2539.165,878.1721,-52.69977,0,
367,315,551.48566,878.1719,-351.3918,0,
368,315,410.49612,878.1719,-343.22083,0,
369,315,310.68097,878.20154,-192.76656,0,
370,315,471.74365,878.20416,-188.70747,0,
371,315,670.8444,878.1719,-42.60376,0,
372,315,623.93207,878.1719,-229.3304,0,
373,315,810.6798,878.1719,-21.891064,0,
374,315,787.3628,878.1719,-149.97527,0,
375,315,-474.14398,796.43634,-50.045887,0,
376,315,1092.3507,878.172,30.16568,0,
377,315,790.0631,878.1719,-434.6701,0,
378,315,675.82623,878.1719,-480.14023,0,
379,315,1068.43,878.1719,-217.49161,0,
380,315,952.92194,878.1719,20.059414,0,
381,315,-43.28821,984.34686,-505.3154,0,
383,315,33.92076,875.4405,-47.86707,0,
384,315,-53.048473,951.8803,-313.63412,0,
385,315,-285.6009,842.0851,-53.451057,0,
386,316,-643.996,1145.4619,-2819.0637,0,
387,316,-421.30005,1145.3926,-2974.0872,0,
388,316,-468.80457,1143.5052,-3166.3545,0,
389,316,-346.87326,1145.4332,-3097.1638,0,
390,316,-557.55084,1145.4204,-2947.1587,0,
391,316,-319.16858,1145.4619,-2850.852,0,
392,316,-616.25385,1145.4622,-2656.252,0,
393,316,-634.09924,1145.462,-2529.4832,0,
394,316,-286.02502,1145.462,-2596.7812,0,
395,316,-18.779953,1101.6665,-2365.4072,0,
396,316,65.43814,1101.6666,-2486.791,0,
397,316,-89.90542,1101.6665,-2542.077,0,
398,316,-226.21454,1145.462,-2430.2854,0,
399,316,-414.5856,1145.462,-2526.9407,0,
400,316,-443.88257,1145.4619,-2745.2976,0,
401,317,-154.05293,922.763,802.48035,0,
402,317,-101.74789,922.76306,884.7225,0,
403,317,36.479855,922.76294,1035.2572,0,
404,317,1126.9038,922.763,1092.0826,0,
405,317,290.2865,922.76306,1094.9816,0,
406,317,514.2346,922.763,1210.9822,0,
407,317,688.0816,922.763,1176.8416,0,
408,317,797.59094,922.76294,1278.181,0,
409,317,688.9473,922.763,1021.5222,0,
410,317,474.46777,922.763,1027.1323,0,
411,317,42.468662,922.763,940.5052,0,
412,317,67.57883,922.763,840.519,0,
413,317,178.98004,922.763,1138.2327,0,
414,317,-433.88962,922.76306,1125.7345,0,
415,317,-649.1614,922.763,1302.2207,0,
416,317,-368.72745,922.763,961.7798,0,
417,317,884.171,922.763,1089.5638,0,
