ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,3,-2463,243,-1168,-167,11120,10,부베 약탈자
2,4,2684,130,1144,16,11120,10,부베 약탈자
3,11,-1415.4171,130.0227,-371.55478,-90,11120,10,부베 약탈자
5,11,-965.8191,130.0227,31.569534,-90,11120,10,부베 약탈자
6,11,-1100.5059,130.0227,111.37015,-90,11120,10,부베 약탈자
22,11,-231.61755,130.0227,85.811066,-90,11120,10,부베 약탈자
24,11,-170,130,-154,-90,11120,10,부베 약탈자
36,11,-262.82687,130.0227,422.1841,-90,11120,10,부베 약탈자
38,11,-539.0047,130.0227,-29.294334,-90,11120,10,부베 약탈자
45,11,-1002.7767,130.0227,586.3515,-90,11120,10,부베 약탈자
46,11,171.14359,162.4583,1082.8328,-90,11120,10,부베 약탈자
48,11,296.45502,162.4583,1122.743,-90,11120,10,부베 약탈자
70,11,560,162,690,-90,11120,10,부베 약탈자
117,9,2074.0327,185.0949,129.61322,-90,11120,10,부베 약탈자
119,9,1976.7208,185.0949,171.50061,-90,11120,10,부베 약탈자
120,9,2171,185,90,-90,11120,10,부베 약탈자
123,9,2135,185,336,-90,11120,10,부베 약탈자
124,9,2017.9362,185.0949,276.1759,-90,11120,10,부베 약탈자
125,9,2130,185,-95,-90,11120,10,부베 약탈자
126,9,1885,185,288,-90,11120,10,부베 약탈자
127,9,2037.7716,185.0949,-30.616652,-90,11120,10,부베 약탈자
128,9,1818.9464,175.84955,184.72943,-90,11120,10,부베 약탈자
131,12,-1110,130,26,-90,11120,10,부베 약탈자
132,12,-825,130,63,-90,11120,10,부베 약탈자
133,12,-873,130,284,-90,11120,10,부베 약탈자
134,12,-907,130,927,-90,11120,10,부베 약탈자
135,12,-1002,130,842,-90,11120,10,부베 약탈자
136,12,-899,130,691,-90,11120,10,부베 약탈자
137,12,-1832,130,736,-90,11120,10,부베 약탈자
138,12,-1891,130,1003,-90,11120,10,부베 약탈자
139,12,-2162,130,894,-90,11120,10,부베 약탈자
140,12,-2298,130,1140,-90,11120,10,부베 약탈자
141,12,-284,130,824,-90,11120,10,부베 약탈자
142,12,514,130,318,-90,11120,10,부베 약탈자
144,12,445,162,1075,-90,11120,10,부베 약탈자
145,12,275,162,1086,-90,11120,10,부베 약탈자
146,12,-90,130,-284,-90,11120,10,부베 약탈자
