ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,0,-624,262,-1920,-20,10,WarpSpot
2,2,0,-1872,260,-427,180,1,우키스 경작지
6,7,0,-1352.5216,261.9619,-156.1866,-90,0,
7,8,0,-130,325,10,90,0,
8,9,0,-217.26741,234.6753,-868.9811,-45,0,
9,10,0,311,212,-871,-90,0,
10,11,0,-1776.3225,261.9619,-1027.2014,1,0,
11,12,0,1974.6257,389.5212,855.2544,-120,0,
12,13,0,1714.4532,389.8096,889.5892,-90,0,
13,14,0,-646.70233,261.9619,-1296.5098,0,0,
14,15,0,-280.23462,261.9619,-369.47787,0,0,
15,16,0,945.7625,258.7639,-168.52843,0,0,
16,17,0,1110.4679,390.79202,466.91776,0,0,
17,17,0,853.99335,390.7921,1024.0419,0,0,
18,17,0,582.7553,390.7921,724.5924,0,0,
19,17,0,602.7896,390.7921,1008.7382,0,0,
20,17,0,913.3922,390.7921,485.61285,0,0,
21,17,0,906.48785,390.7921,711.8614,0,0,
22,17,0,758.41394,390.7921,293.9088,0,0,
23,17,0,549.08984,390.7921,466.56744,0,0,
24,18,0,-618.93823,261.9619,-1133.1177,0,0,
25,18,0,-715.7549,271.42035,-163.08313,0,0,
26,18,0,-572.4745,261.9619,-851.8163,0,0,
27,18,0,-441.7074,261.9619,-448.95612,0,0,
28,18,0,-744.2339,261.9619,-525.3425,0,0,
30,18,0,-845.8582,341.354,518.7245,0,0,
31,18,0,-602.14734,341.354,507.62512,0,0,
32,18,0,-199.54506,324.01758,88.906204,0,0,
33,18,0,-84.39825,324.0176,556.66864,0,0,
34,18,0,138.27307,324.0176,613.932,0,0,
35,18,0,-257.749,324.0176,371.96777,0,0,
36,19,0,770.9735,347.96347,-59.051567,0,0,
37,19,0,528.86597,390.7921,452.00854,0,0,
38,19,0,823.46606,258.7639,-253.8053,0,0,
39,19,0,1088.8538,390.79187,546.93756,0,0,
40,19,0,850.83105,390.79202,586.58887,0,0,
41,19,0,630.65607,390.7921,726.86676,0,0,
42,19,0,950.496,390.7921,360.20355,0,0,
43,19,0,1035.4377,258.7639,-235.45071,0,0,
44,19,0,774.93774,390.79205,414.9102,0,0,
45,20,0,-77.06653,324.0176,48.001553,0,0,
46,21,0,206.96657,258.2633,47.411896,0,0,
47,22,0,-417.56134,261.9619,-1358.6265,0,0,
48,22,0,-1823.4753,261.9619,195.49348,0,0,
49,22,0,-571.8378,263.55148,-453.232,0,0,
50,22,0,-766.9431,341.354,541.65015,0,0,
51,22,0,-233.98705,324.0176,361.0844,0,0,
52,22,0,81.491486,324.0176,618.5661,0,0,
53,22,0,286.32196,258.2633,180.45274,0,0,
54,22,0,307.28467,211.1705,-365.6086,0,0,
55,22,0,437.2024,211.1705,-866.3833,0,0,
56,22,0,1024.3563,258.7639,-273.85416,0,0,
57,22,0,588.62604,390.7921,497.37982,0,0,
58,22,0,756.3257,390.7921,1104.9958,0,0,
59,22,0,1037.2891,390.792,511.26166,0,0,
60,23,0,-1548.8121,261.9619,-1001.8822,44,0,
61,23,0,-1692.319,261.9619,-395.01816,44,0,
62,23,0,-1346.1,261.9619,-668.40497,44,0,
63,23,0,-1281.394,261.9619,-294.74594,44,0,
64,23,0,1795.8636,389.52115,780.8159,44,0,
65,23,0,599.6913,390.7921,1305.8116,0,0,
66,24,0,585.5263,390.7921,1320.2628,110,0,
67,26,0,732.2571,390.7921,518.3825,-11,0,
68,21,0,220.21808,258.04404,305.8052,0,0,
69,21,0,304.04935,211.17053,-369.55695,0,0,
70,21,0,484.54166,211.65439,-261.95728,0,0,
71,21,0,346.3715,211.17053,-813.95966,0,0,
72,21,0,685.72534,211.17052,-861.2364,0,0,
73,21,0,356.95532,211.17053,-1040.3553,0,0,
74,21,0,482.8835,211.17053,-884.8911,0,0,
75,21,0,418.06982,211.17053,-653.5452,0,0,
76,21,0,575.296,211.17052,-745.2995,0,0,
77,21,0,197.35632,211.17053,-899.90326,0,0,
78,18,0,-579.3384,261.9619,-1342.9178,0,0,
79,18,0,-439.41956,261.9619,-1305.2369,0,0,
80,18,0,-412.28894,261.9619,-1423.8201,0,0,
81,18,0,-282.77902,262.23877,-1331.9229,0,0,
82,21,0,-60.097458,233.45586,-990.1725,0,0,
83,21,0,-200.13812,233.45586,-994.14417,0,0,
84,18,0,-76.212006,233.45586,-914.0324,0,0,
85,18,0,-202.88545,233.45586,-873.36975,0,0,
86,27,0,954,390.89,1020.98,0,0,보물 상자 LV1
