ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1378,0,4293,0,
2,2,-2410.3635,165.5682,3233.4802,-170,
3,3,-1148.5399,165.5682,3224.8938,-20,
6,6,-1220.5564,121.9254,4364.1963,-90,
7,7,1070,-73,4905,-90,
8,8,1079,-73,4705,-90,
9,9,-1152.3315,165.5682,4832.5156,0,
10,10,-1507.1699,121.9254,4216.3604,1,
11,11,1075,6,5290,1,
12,12,-1638.0302,165.5682,3754.2493,30,
13,12,-1587.2021,165.5682,3779.2158,-45,
14,12,-1484.8646,165.5682,3875.6199,-120,
15,12,-2264.2815,165.5682,3238.183,-60,
16,12,-2157.314,165.5682,3290.1821,0,
18,13,-676,224,3692,-90,
19,14,470,39,5734,0,
20,15,470,39,5734,1,
21,16,-1954,166,3248,-90,
22,17,-676,224,3692,-90,
23,18,-1526.5632,165.5682,3599.98,10,
24,18,-1304.1298,165.5682,3588.9285,-30,
25,18,-1757.1051,165.5682,3125.2888,30,
26,18,-1980.4884,165.5682,3057.1318,-50,
27,18,-1217.5757,165.5682,3778.5564,100,
34,20,-751.6692,121.9254,4244.647,0,
35,20,-605.9728,121.92543,4308.04,0,
36,20,-561.19336,121.9254,4243.294,0,
37,20,-407.47983,121.92539,4291.79,0,
40,20,518.9135,38.191944,5886.4727,0,
41,20,645.2099,36.119495,5859.8745,0,
44,20,1238.5687,-35.2955,5983.9014,0,
45,20,1419.0255,-35.2955,5837.2866,0,
46,20,955.69214,5.4576,5322.9644,0,
49,20,1297.9531,-35.2955,6678.316,0,
50,20,1066.3169,-35.2955,6493.574,0,
56,5,1398.3147,-35.2955,5894.964,0,
58,21,1144.8203,5.4576,5345.7754,0,
60,21,434.36203,38.192,5821.8975,0,
61,21,627.11945,38.192,5889.9346,0,
64,21,1413.0006,-35.2955,5864.292,0,
65,21,862.43866,-33.778534,5864.202,0,
66,21,1184.3779,-35.2955,6284.118,0,
68,21,1092.3611,-35.2955,6461.4893,0,
70,23,350.55313,38.192,5693.554,0,
71,23,677.59174,26.167143,5868.2393,0,
75,23,1185.1251,-35.2955,5978.521,0,
76,23,1087.1124,5.4576,5384.716,0,
77,23,218.69942,38.191956,5812.164,0,
78,23,1899.9966,-73.2291,5439.266,0,
80,24,-1862.5541,165.5682,3158.429,0,
81,24,-1358.267,165.5682,3735.6526,0,
82,24,-568.24426,121.9254,4333.929,0,
83,24,-653.1719,223.1496,3589.0078,0,
84,24,145.81227,64.6766,4198.5386,0,
85,24,995.9655,0.7151,4292.2314,0,
86,24,1924.1863,-73.2291,5237.7314,0,
87,24,1907.208,-73.2291,5850.326,0,
88,24,818.6026,5.4576,5296.085,0,
89,24,1181.5946,-35.2955,5867.6743,0,
90,24,366.08087,38.192,5828.842,0,
91,24,1243.9109,-35.2955,6517.8315,0,
92,25,-1332.378,121.9254,4264.566,0,
93,25,-1288.8771,165.5682,4734.7417,0,
94,25,1091.0294,-73.2291,4793.5728,0,
95,25,-2003.9631,165.5682,3194.504,0,
96,25,1292.8405,-35.2955,7393.5913,0,
97,26,1197.6213,-35.2955,7571.161,130,
98,27,920.99,5.56,5094.94,0,
100,21,985.84283,5.457549,5228.4404,0,
101,21,1105.1055,-12.667471,5543.097,0,
103,21,1131.6207,-35.295593,6307.2603,0,
104,21,1110.3722,-35.295578,6635.1787,0,
106,21,1986.7163,-73.22911,5849.436,0,
107,21,1905.8431,-73.22907,5522.2056,0,
108,21,266.7911,38.191956,5955.016,0,
110,21,505.2973,38.19195,5960.8706,0,
111,21,836.26373,-31.14244,5873.068,0,
114,20,869.83405,5.457581,5466.9595,0,
116,20,1101.7257,-24.358698,5597.021,0,
119,20,246.66132,38.191956,5979.4316,0,
121,20,869.324,-31.578127,5898.423,0,
122,20,1144.368,-35.29555,6070.411,0,
124,20,1176.2506,-35.295574,6275.486,0,
125,20,1073.5231,-35.295597,6380.819,0,
126,20,1166.3998,-35.295593,6731.339,0,
131,20,2029.8611,-73.22913,5877.5854,0,
133,20,1750.6233,-73.2291,5996.001,0,
134,20,1958.7079,-73.229004,5178.0806,0,
135,20,1875.1555,-73.229095,5598.308,0,
136,20,1817.4714,-73.22908,5357.448,0,
139,20,1249.0935,5.4576397,5202.84,0,
141,20,1553.7692,-55.35011,5877.2036,0,
144,28,834.30194,0.72,4385.1143,-34,샤울레이 변색된 풀
145,28,922.6717,0.72,4149.369,-34,샤울레이 변색된 풀
146,28,1185.2377,0.72,4218.5215,-29,샤울레이 변색된 풀
147,29,-659.98,223.15,3470.44,0,밝은 가시 꽃
148,29,-462.54068,223.15,3770.3628,0,밝은 가시 꽃
149,29,-424.2608,223.15,3576.0994,0,밝은 가시 꽃
150,29,-798.6,223.15,3508.41,0,밝은 가시 꽃
151,28,1148.79,3.15,4387.85,0,냄새나는 풀
152,28,1031.3287,1.03,4276.248,0,냄새나는 풀
153,28,700.49,1.51,4287.63,0,냄새나는 풀
154,20,-678.6917,121.92545,4319.3013,0,
156,20,-859.245,121.92543,4190.179,0,
158,20,-853.99854,121.92545,4291.6753,0,
163,20,-728.2554,121.92545,4417.5635,0,
167,20,-647.0242,121.92546,4440.976,0,
170,20,-547.33185,121.92545,4380.4707,0,
171,20,-478.25226,121.92545,4353.7554,0,
176,20,-440.70572,121.92539,4208.36,0,
179,20,-405.90585,121.92542,4404.5566,0,
181,20,-333.67554,121.92546,4273.242,0,
186,20,-110.64778,64.676575,4156.6733,0,
187,20,-16.833574,64.67658,4236.495,0,
192,20,71.2298,64.676575,4225.982,0,
195,20,109.83623,64.67659,4350.6055,0,
199,20,208.55702,64.67656,4268.2104,0,
206,20,190.57343,64.67662,4163.626,0,
210,20,-75.691895,64.67659,4328.616,0,
211,20,13.702715,64.676575,4050.3423,0,
218,20,192.65164,64.676575,4035.965,0,
219,20,293.73297,64.676575,4056.3142,0,
222,20,419.79715,64.676544,4179.4795,0,
226,20,326.06464,64.70927,4354.9854,0,
228,20,507.91394,55.091103,4283.678,0,
230,20,717.2114,5.457586,5284.8154,0,
231,20,713.34906,5.4575753,5371.4883,0,
232,20,784.9967,5.4575953,5431.109,0,
234,20,855.3068,5.4575434,5322.731,0,
236,20,889.5383,5.4575615,5163.4326,0,
242,20,1097.993,5.457567,5317.81,0,
244,20,1193.018,5.4575763,5319.27,0,
245,20,1323.8687,5.4575996,5305.529,0,
246,20,1177.3483,5.457606,5418.09,0,
247,20,1033.9238,5.457616,5381.773,0,
249,20,1064.9009,-7.5964303,5528.348,0,
254,20,953.3898,-35.295597,5883.823,0,
