ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,500,37,-2241,-109.98,40001,1,WarpSpot
2,2,-213,245,-17,-165,40001,1,WarpSpot
3,3,1832,43,-578,-5,40001,1,WarpSpot
5,5,190.50487,42.7921,-1214.2405,-90,40001,1,WarpSpot
6,342,-142.93456,160.27,-221.02887,0,45132,10,나무뿌리 수정
151,151,-1086,42,-1522,85,46212,0,상자
152,152,-1197,42,-1627,85,46212,0,상자
153,153,-1237,90,-1457,85,46212,0,상자
154,154,-1160,171,-1225,85,46212,0,상자
155,155,-1364,171,-1002,85,46212,0,상자
156,156,-1576.49,42.83,-1673.1,85,46212,0,상자
157,157,-1807,43,-1853,85,46212,0,상자
158,158,-2078.32,42.83,-1782.61,91,46212,0,상자
200,200,-1901,40,-1414,0,40001,1,WarpSpot
203,202,-1913,40,-1428,46,40001,1,치유사 아가씨
204,203,-1913,40,-1428,-145,40001,1,치유사 아가씨
300,300,506,35,-1622,-90,40001,1,WarpSpot
311,306,-82,156,-612,-29,45311,0,케파수레
312,306,-41,157,-608,-90,45311,0,케파수레
313,306,-64,161,-557,-90,45311,0,케파수레
325,308,-1758.6012,170.0456,-813.77924,180,20109,0,베테랑 광부
326,309,355,43,-1117,-90,20109,0,베테랑 광부
328,312,-87.64736,145.2319,-802.08905,0,20118,0,마을 아저씨2
329,311,1900,148,130,0,20118,0,마을 아저씨2
330,313,1309.1187,147.3516,331.72595,-86,20110,0,광산 마을 연금술사
331,314,1298,147,307,0,20110,0,광산 마을 연금술사
332,315,1434,231,535,0,20110,0,광산 마을 연금술사
333,316,-468,39,-1514,0,20110,10,광산 마을 연금술사
334,317,-945,39,-1812,0,20110,10,광산 마을 연금술사
335,318,-1143,169,-1248,0,20110,10,광산 마을 연금술사
336,159,-1749,171,-1110,0,20110,10,보강용 자재
337,160,-1704,171,-1248,0,20110,10,보강용 자재
338,161,-1591,171,-1208,0,20110,10,보강용 자재
339,162,-1514,171,-1323,0,20110,10,보강용 자재
340,163,-1426,171,-1163,0,20110,10,보강용 자재
341,164,-1229,171,-1099,0,20110,10,보강용 자재
342,165,-1186,171,-975,0,20110,10,보강용 자재
343,166,-1090,171,-1151,0,20110,10,보강용 자재
344,167,-1560,171,-826,0,20110,10,보강용 자재
345,319,828,37,-931,0,20110,10,광산 마을 연금술사
346,320,1377,43,-455,0,20110,10,광산 마을 연금술사
347,321,-38.88,85.27,-1021.81,0,20110,10,광산 마을 연금술사
348,322,-61,157,-656,0,20110,10,광산 마을 연금술사
368,341,-1877,42,-2146,-90,41204,0,난폭한 케파
420,325,-1531,170,-1307,-90,400062,0,멜리나스 유코푸스
423,325,-1241,170,-1161,-90,400062,0,멜리나스 유코푸스
425,325,-1226,170,-963,-90,400061,0,멜리나스 유코푸스
428,325,-1504.0563,170.0456,-960.2478,-90,400061,0,멜리나스 유코푸스
434,325,-1779,42,-1872,-90,400061,0,멜리나스 유코푸스
435,325,-2002.6105,42.8263,-1727.9053,-115,400061,0,멜리나스 유코푸스
438,325,-2215.74,42.83,-1731.03,-90,400061,0,멜리나스 유코푸스
439,325,-1803,42,-2039,-90,400061,0,멜리나스 유코푸스
447,325,-1258.7599,45.280598,-1591.6593,-90,400061,0,멜리나스 유코푸스
465,326,1772.1586,147.3516,390.9142,-90,11120,50,부베 약탈자
467,326,1465,147,110,-90,11120,50,부베 약탈자
468,326,1544,147,308,-90,11120,50,부베 약탈자
470,326,1334,197,154,-90,11120,50,부베 약탈자
472,326,1411,196,390,-90,11120,50,부베 약탈자
474,326,1590,196,530,-90,11120,50,부베 약탈자
476,326,1997,147,527,-90,11120,50,부베 약탈자
477,326,1840.5435,147.3516,206.06389,-90,11120,50,부베 약탈자
478,326,2123,147,304,-90,11120,50,부베 약탈자
481,326,106,153,-51,-90,11120,50,부베 약탈자
483,326,-97.29466,150.22458,-120.70964,-90,11120,50,부베 약탈자
485,326,16.103516,150.67723,-146.45471,-90,11120,50,부베 약탈자
511,328,1256,42,-955,0,45132,0,나무뿌리 수정
512,328,1957,119,-47,0,45132,0,나무뿌리 수정
513,328,1767.28,147.35,388.86,0,45132,0,나무뿌리 수정
514,328,-464,42,-1451,0,45132,0,나무뿌리 수정
515,328,-1283,42,-1639,0,45132,0,나무뿌리 수정
516,328,-1504,170,-1178,0,45132,0,나무뿌리 수정
517,328,-1772,42,-1685,0,45132,0,나무뿌리 수정
518,329,-1531.77,42.83,-1751.32,0,45132,0,나무뿌리 수정
702,702,-1889.2446,42.8263,-1782.208,0,0,0,부베 약탈자 스마트젠 SOUT_Q_10
10005,10001,1911,140,75,0,41219,1,체이퍼
10007,10003,57,153,-133,0,41219,1,체이퍼
10008,10004,-142,153,-435,0,41219,1,체이퍼
10009,10005,49,85,-1038,0,41219,1,체이퍼
10012,10007,-54,85,-1064,0,11120,1,부베 약탈자
10013,10008,36,85,-968,0,11120,1,부베 약탈자
10014,10009,66,88,-1083,0,11120,1,부베 약탈자
10019,341,-1595.92,170.55,-1274.41,0,400003,0,붉은 케파
10021,341,-1432.1576,170.0456,-1177.2042,0,400003,0,붉은 케파
10024,341,-1366.3898,170.0456,-997.91205,0,400003,0,붉은 케파
10038,341,-1770.45,170.55,-1242.53,0,400003,0,붉은 케파
10039,341,-2158.895,42.82634,-1760.5822,-175,400003,0,붉은 케파
10043,341,-1779.1027,42.8263,-1801.2806,0,400003,0,붉은 케파
10070,10014,129,153,-18,270,0,1,2광구 폐쇄 안내
10076,10016,554.1078,42.7921,-879.42566,-45,0,0,사이코키노 마스터
10077,10017,312,88,-1010,-130,0,0,링커 마스터
10083,10018,-949.56,37.42,-1798.78,0,0,0,필드젠X
10084,10019,71.82,88.36,-1047.46,0,0,0,필드젠X
10085,10019,197.06,37.42,-1305.24,0,0,0,필드젠X
10096,10011,-1202.45,170.55,-1041.35,0,0,0,붉은 케파
10097,10018,1350.77,147.35,271.9,0,0,0,필드젠X
10098,10018,1448.56,229.56,509.96,0,0,0,필드젠X
10101,10020,1463.91,213.65,478.93,0,0,0,JOB_PSYCHOKINESIST4_1_TRIGGER
10102,10021,-2108.24,42.83,-1829.4,31,0,0,사이코키노_링커_알케미스트5차전직용히든트리거
10103,10022,-228.02856,42.2921,-1471.0527,0,0,0,붉은 케파
10109,10022,991.3585,35.864857,-981.5398,0,0,0,붉은 케파
10110,10022,1271.9524,42.2922,-996.46155,0,0,0,붉은 케파
10111,10022,1368.9536,37.35302,-745.9954,0,0,0,붉은 케파
10113,10023,797.9674,42.2922,-992.09973,0,0,0,유코푸스
10114,10023,524.0025,38.414963,-1070.1095,0,0,0,유코푸스
10119,10023,1566.4131,85.06809,-86.46464,0,0,0,유코푸스
10120,10022,1364.0321,42.8667,-452.88168,0,0,0,붉은 케파
10121,10022,763.4485,42.2921,-888.34796,0,0,0,붉은 케파
10125,10023,1209.8135,38.592007,-875.67035,0,0,0,유코푸스
10126,10024,-982.0216,42.7921,-1586.3763,0,0,0,붉은 케파
10127,10024,-621.8622,42.384144,-1512.5754,0,0,0,붉은 케파
10128,10024,-730.20825,42.2921,-1669.8757,0,0,0,붉은 케파
10129,10025,-468.60318,36.9188,-1511.5411,0,0,0,유코푸스
10130,10025,-777.53784,42.71085,-1479.7612,0,0,0,유코푸스
10131,10025,-690.56824,42.2921,-1775.4108,0,0,0,유코푸스
10133,10026,1651.87,147.35,427.34,0,0,0,보물 상자 LV1
