ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,NPCID,Name
1,1,-1121,260,-528,-99,1,20063,정찰병
2,3,-1488,260,-138,-90,1,41205,나글리스
4,4,-525,260,-435,-90,1,40120,여신 바카리네의 상
5,30,-2094,260,-397,0,10,0,나무뿌리 수정
6,30,-1903,260,-134,0,10,0,나무뿌리 수정
7,7,-576,260,-719,164.88,1,20032,기사 티타스
9,9,326.5086,210.2119,-346.85294,-90,1,20117,라이모나스
10,30,-978,322,291,0,10,0,나무뿌리 수정
11,8,-652,260,-953,-90,1,20032,경계병
12,11,-624,260,-385,-83.93,1,20114,클라페다 주민
13,12,773,258,-125,0,1,20041,라이모나스1 트리거
14,14,980,285,559,0,1,20041,라이모나스2 트리거
15,30,-902,322,378,0,10,0,나무뿌리 수정
16,102,-851,260,-495,-149,1,10022,전투병
17,26,1651,210,-706,-109.98,1,10032,클라페다 경비병
18,27,1626,210,-798,180,1,20032,클라페다 경비병 대장
19,28,1691,210,-755,-22,1,40001,클라페다
20,30,-776,322,696,0,10,0,나무뿌리 수정
21,30,-280,322,310,0,10,0,나무뿌리 수정
22,21,-403,322,363,0,1,20041,하나밍 추격 트리거
24,29,1650,210,-854,105,1,10032,클라페다 경비병
25,30,-741,359,1117,0,10,0,나무뿌리 수정
26,30,-423,359,1518,0,10,0,나무뿌리 수정
27,30,-527,322,406,0,10,0,나무뿌리 수정
28,30,-571,322,85,0,10,0,나무뿌리 수정
29,30,-377,322,51,0,10,0,나무뿌리 수정
30,30,-193,322,-6,0,10,0,나무뿌리 수정
31,30,-193,322,415,0,10,0,나무뿌리 수정
32,30,-8,322,529,0,10,0,나무뿌리 수정
33,30,324,322,248,0,10,0,나무뿌리 수정
34,30,99,322,622,0,10,0,나무뿌리 수정
35,30,-1059,260,-517,0,10,0,나무뿌리 수정
36,30,-2035,260,-977,0,10,0,나무뿌리 수정
37,30,-2062,260,-1019,0,10,0,나무뿌리 수정
38,30,-2002,260,-1318,0,10,0,나무뿌리 수정
39,30,-1698,260,-639,0,10,0,나무뿌리 수정
40,30,-1557,260,-1179,0,10,0,나무뿌리 수정
41,30,-1388,260,-1092,0,10,0,나무뿌리 수정
42,30,-1239,260,-765,0,10,0,나무뿌리 수정
44,30,-1437,260,-837,0,10,0,나무뿌리 수정
47,30,851,258,-120,0,10,0,나무뿌리 수정
48,30,639,284,-55,0,10,0,나무뿌리 수정
