ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2319.81,801.67,2045.69,-76,수레 관리자
2,2,-2327.73,801.67,2031.34,-83,케이블 카 조종기
3,3,615.5692,-163.64774,-1536.7423,-67,루클리스 거리
4,4,-2260.6016,801.6678,2342.3184,105,메사파슬라
5,5,-1070.4788,-91.576935,-1326.7317,180,스토가스 고원
6,6,486.98108,94.4277,2231.2004,72,마당 고원
7,7,-158.11053,56.159515,-92.89298,0,붉은 살티스도터
8,7,-62.32468,94.53653,1309.7648,0,붉은 살티스도터
9,7,19.728264,56.159515,-131.39407,0,붉은 살티스도터
10,7,-198.09668,94.53653,1206.7544,0,붉은 살티스도터
11,7,46.152634,94.53653,1266.6785,0,붉은 살티스도터
12,7,-92.161156,94.53653,1106.7717,0,붉은 살티스도터
13,7,270.36566,94.53653,1085.6046,0,붉은 살티스도터
14,7,688.1033,288.6196,580.1842,0,붉은 살티스도터
15,7,749.4871,288.6196,736.2224,0,붉은 살티스도터
16,7,1058.6438,288.6196,515.7305,0,붉은 살티스도터
17,7,1020.2498,288.6196,420.64102,0,붉은 살티스도터
18,7,887.32983,288.6196,583.0008,0,붉은 살티스도터
19,7,802.6167,175.27682,167.42284,0,붉은 살티스도터
20,7,503.3966,87.67126,88.21856,0,붉은 살티스도터
21,7,113.8606,56.159515,-225.47728,0,붉은 살티스도터
22,7,-51.560574,56.159515,122.73868,0,붉은 살티스도터
23,7,-246.2449,56.159515,-83.03145,0,붉은 살티스도터
24,7,-171.49654,56.159515,72.41771,0,붉은 살티스도터
25,7,254.15918,56.159515,-4.1304703,0,붉은 살티스도터
26,7,-361.8435,56.159515,-280.64822,0,붉은 살티스도터
27,7,-461.94193,42.913277,-112.12851,0,붉은 살티스도터
28,8,-125.8777,94.53653,1188.5304,0,초록 살티스도터 궁수
29,8,148.90616,94.53653,1165.6213,0,초록 살티스도터 궁수
30,8,-266.12445,56.159515,-255.47084,0,초록 살티스도터 궁수
31,8,-117.29712,56.159515,5.9211645,0,초록 살티스도터 궁수
32,8,132.90225,56.159515,-120.44523,0,초록 살티스도터 궁수
33,8,705.68964,288.6196,673.30994,0,초록 살티스도터 궁수
34,8,1003.1226,288.6196,507.5144,0,초록 살티스도터 궁수
35,8,-938.29266,0.1088562,-358.35883,0,초록 살티스도터 궁수
36,8,-806.6802,0.1088562,-222.21606,0,초록 살티스도터 궁수
37,8,-635.6353,0.1088562,-386.34763,0,초록 살티스도터 궁수
38,8,-980.6368,-109.80612,351.73557,0,초록 살티스도터 궁수
39,8,-826.74976,-109.80612,458.08517,0,초록 살티스도터 궁수
40,8,-344.75977,-39.64056,-856.7908,0,초록 살티스도터 궁수
41,8,-161.04425,-39.64056,-691.3743,0,초록 살티스도터 궁수
42,8,-71.965,-39.64056,-786.40845,0,초록 살티스도터 궁수
43,8,-175.96307,-39.64056,-879.0983,0,초록 살티스도터 궁수
44,8,-398.17218,-39.64056,-686.19495,0,초록 살티스도터 궁수
45,8,-757.07794,0.1088562,-455.90848,0,초록 살티스도터 궁수
46,8,-978.59235,0.1088562,-231.49483,0,초록 살티스도터 궁수
47,8,-586.70166,0.1088562,-195.46362,0,초록 살티스도터 궁수
48,9,-748.944,-91.576935,-989.9578,0,초록 레푸스버니 마법사
49,9,-914.5619,-91.576935,-963.21265,0,초록 레푸스버니 마법사
50,9,-649.6726,-91.576935,-1133.4911,0,초록 레푸스버니 마법사
51,9,-824.7467,-91.576935,-1039.9314,0,초록 레푸스버니 마법사
52,9,-643.8955,-91.576935,-1448.3817,0,초록 레푸스버니 마법사
53,9,-512.3778,-91.576935,-1228.2216,0,초록 레푸스버니 마법사
