ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
268,3,11120,580,929,2804,-90,10,부베 약탈자
269,3,11120,322,937,2824,-90,10,부베 약탈자
270,3,11120,337,929,2531,-90,10,부베 약탈자
271,3,11120,652,929,2531,-90,10,부베 약탈자
272,3,11120,463,935,2040,-90,10,부베 약탈자
273,3,11120,-93,935,1919,-90,10,부베 약탈자
274,3,11120,-226,935,1767,-90,10,부베 약탈자
275,3,11120,-527,951,1422,-90,10,부베 약탈자
277,3,11120,-541,953,876,-90,10,부베 약탈자
280,3,11120,55,915,869,-90,10,부베 약탈자
282,3,11120,72.423775,937.3629,1396.1799,-90,10,부베 약탈자
283,3,11120,-245,935,1385,-90,10,부베 약탈자
284,3,11120,-234,915,1124,-90,10,부베 약탈자
285,3,11120,-237,935,827,-90,10,부베 약탈자
286,4,11120,171.16058,940.6873,1925.6389,-90,10,부베 약탈자
401,6,40001,-250,935,-134,89,1,WarpSpot
402,7,40001,-260,935,478,-90,1,WarpSpot
600,600,11120,-243,955,-3206,-27,10,부베 약탈자
601,600,11120,-125,935,-2422,-27,10,부베 약탈자
602,600,11120,-188,935,-1148,-27,10,부베 약탈자
603,600,11120,1126,935,-730,-27,10,부베 약탈자
604,600,11120,1661.2123,887.78906,-766.8322,-27,10,부베 약탈자
605,600,11120,49,915,1178,-27,10,부베 약탈자
606,600,11120,454,940,1889,-27,10,부베 약탈자
856,2,0,-226.08269,935.68713,-2182.7214,0,0,카타콤 마고트
857,2,0,75.04292,971.9886,-1088.9226,0,0,카타콤 마고트
858,2,0,1403.7295,908.36346,-781.1569,0,0,카타콤 마고트
859,2,0,-440.2174,971.7805,-513.6892,0,0,카타콤 마고트
860,1,0,25.099253,972.23145,-969.2064,0,0,카타콤 잎방개
861,1,0,993.1435,935.5508,-735.9285,0,0,카타콤 잎방개
862,1,0,-238.0458,960.6872,-1814.5244,0,0,카타콤 잎방개
863,1,0,-207.67003,935.68713,-2521.1575,0,0,카타콤 잎방개
864,1,0,-305.288,935.6871,-2312.8325,0,0,카타콤 잎방개
865,1,0,-417.5073,935.6872,-802.3178,0,0,카타콤 잎방개
866,1,0,15.577894,972.3034,-530.9457,0,0,카타콤 잎방개
867,1,0,1421.3363,886.9162,-995.4134,0,0,카타콤 잎방개
868,1,0,1637.6654,887.8481,-715.1979,0,0,카타콤 잎방개
869,1,0,482.4153,955.70654,-761.3024,0,0,카타콤 잎방개
870,1,0,-246.76855,935.6871,-1248.5411,0,0,카타콤 잎방개
871,1,0,-232.76605,935.6872,-2026.767,0,0,카타콤 잎방개
872,601,0,-229.12743,935.68713,-2565.841,0,0,흐릿한 영체
873,601,0,-142.84047,936.2567,-1030.8281,0,0,흐릿한 영체
