ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-332.50037,193.4551,-1978.7172,0,모크슬 묘실
2,2,2267.0732,325.29736,1353.2607,90,바이덴티스 신당
3,3,-2243.331,368.4542,-429.943,145,이스토라 유적지
4,4,3279.5315,370.8011,-948.33154,135,공간 이동 장치
5,6,-423.86603,272.5154,-1760.7947,0,마석 융합기
6,7,-1566,346.3554,-756,0,보존 마법진
7,8,617,285.2842,1192,0,결계석
8,9,1589,265.3084,861,90,봉인된 공간마석
9,10,-774,264.8956,952,0,검은 그림자
10,11,1395.222,419.9288,-154.54991,0,공간 이동 장치
11,12,2918,385.5559,-1596,135,스승의 유산
12,13,-1029.2566,287.3062,-777.85315,0,노란 양초거미
13,13,-1048.3164,308.1047,-506.81946,0,노란 양초거미
14,13,-737.4233,287.04,-485.41452,0,노란 양초거미
15,13,-768.9715,267.5223,-810.7538,0,노란 양초거미
16,13,-772.9297,267.636,-1531.7451,0,노란 양초거미
17,13,-756.4796,267.636,-1234.483,0,노란 양초거미
18,13,-36.219513,267.719,-1563.086,0,노란 양초거미
19,13,15.409626,267.719,-1530.4116,0,노란 양초거미
20,13,-1574.0306,346.3554,-763.67334,0,노란 양초거미
21,13,-1495.6072,346.3554,-729.1464,0,노란 양초거미
22,13,-1394.7289,348.4096,-452.4297,0,노란 양초거미
23,13,-1456.2443,348.4096,-481.00793,0,노란 양초거미
24,13,-971.66583,308.1047,-416.09454,0,노란 양초거미
25,14,-39.02728,287.8995,-735.7073,0,노란 모야부
26,14,172.83566,287.6103,-635.85724,0,노란 모야부
27,14,2.486473,287.8995,-547.6205,0,노란 모야부
28,14,25.598595,267.3882,-180.95891,0,노란 모야부
29,14,62.978092,267.3882,-31.98759,0,노란 모야부
30,14,-20.392426,288.8775,313.08206,0,노란 모야부
34,14,-75.61022,302.4139,595.2877,0,노란 모야부
35,14,-562.8945,264.8956,970.7822,0,노란 모야부
36,14,-652.55884,264.8956,673.3268,0,노란 모야부
37,14,-682.9481,264.8956,1292.0686,0,노란 모야부
40,14,17.01374,320.618,1219.6868,0,노란 모야부
41,15,-393.17935,264.8956,664.6756,0,티켄 마법사
42,15,-777.0447,264.8956,951.34015,0,티켄 마법사
43,15,-398.28928,264.8956,1278.6414,0,티켄 마법사
44,15,7.0198975,264.8956,933.4533,0,티켄 마법사
45,15,406.29236,265.6605,1189.223,0,티켄 마법사
46,15,762.0242,285.2842,1172.4496,0,티켄 마법사
47,15,611.3837,285.2842,1221.2953,0,티켄 마법사
48,15,1111.5,265.3084,1169.4213,0,티켄 마법사
49,15,1162.2565,265.3084,1198.2839,0,티켄 마법사
50,15,-5.162483,288.8775,464.95148,0,티켄 마법사
51,15,-52.6895,267.3882,-264.86856,0,티켄 마법사
52,15,181.08148,267.3882,-77.911964,0,티켄 마법사
53,15,527.448,268.0223,-648.8202,0,티켄 마법사
56,15,936.3756,268.0223,-636.3021,0,티켄 마법사
57,15,1149.6759,343.4023,-233.77591,0,티켄 마법사
58,14,936.9818,268.0223,-374.90195,0,노란 모야부
59,14,993.7746,306.21997,-180.37065,0,노란 모야부
60,14,738.31323,268.0223,-643.98486,0,노란 모야부
61,16,2604.4297,391.71115,-1284.3707,0,몬젠X
62,16,2760.448,391.71115,-1695.4911,0,몬젠X
63,16,2993.3826,391.71115,-1447.8481,0,몬젠X
64,16,3174.3809,377.63248,-1063.2507,0,몬젠X
65,17,-439.51614,193.45506,-2002.3386,0,몬젠X
66,17,2268.249,308.35724,1303.3123,0,몬젠X
67,17,-2196.1843,348.4096,-462.05884,0,몬젠X
68,5,-389.3933,289.28323,-1535.1357,0,나무뿌리 수정
69,5,-803.8687,267.63602,-1272.4419,0,나무뿌리 수정
70,5,-7.08634,267.71896,-1217.0548,0,나무뿌리 수정
71,5,-12.05747,287.89948,-640.3467,0,나무뿌리 수정
72,5,945.51746,268.02234,-514.2242,0,나무뿌리 수정
73,5,154.24081,267.38824,0.80984735,0,나무뿌리 수정
74,5,-284.56848,264.89563,642.86816,0,나무뿌리 수정
75,5,-461.16595,264.89563,1136.0928,0,나무뿌리 수정
76,5,1581.5367,265.30844,1034.5483,0,나무뿌리 수정
77,5,2213.529,308.35724,1057.8691,0,나무뿌리 수정
78,5,-1826.5198,368.38885,-707.15674,0,나무뿌리 수정
79,1000,-126.31,265,1200.43,-135,
